"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","249257","Cenostigma nordestinum","","Fabaceae","Cenostigma","nordestinum","","E. Gagnon & G.P. Lewis",,,"","16632","","Queiroz, L.P.de",2019,5,8,"Brazil","Bahia","Morro do Chapéu","Ca. 29 km SW de Olho d'Água do Fagundes na estrada para a Gruta dos Brejões, a ca. 1,5 km da comunidade Gruta dos Brejões",-10.881111,-41.405556,"Floresta estacional decidual com dossel a ca. 3,5-4,0 m alt. Solo arenoso associado a afloramento calcáreo.","Cenostigma nordestinum E. Gagnon & G.P. Lewis","",,"GBIF"
"","UEFS","HUEFS","249235","Cenostigma nordestinum","","Fabaceae","Cenostigma","nordestinum","","E. Gagnon & G.P. Lewis",,,"","16638","","Queiroz, L.P.de",2019,5,8,"Brazil","Bahia","Morro do Chapéu","Entorno da comunidade da Gruta dos Brejões, ca. 31 km SW de Olho d'Água do Fagundes.",-11.011667,-41.713333,"Floresta estacional decidual com dossel a ca. 3,5-4,0 m alt. Solo arenoso associado a afloramento calcáreo.","Cenostigma nordestinum E. Gagnon & G.P. Lewis","",,"GBIF"
"","UEFS","HUEFS","246414","Cenostigma nordestinum","","Fabaceae","Cenostigma","nordestinum","","E. Gagnon & G.P. Lewis",,,"","5","","Araújo, A.B.",2018,3,5,"Brazil","Pernambuco","Itambé","Usina Olho D'Água.",,,,"Cenostigma nordestinum E. Gagnon & G.P. Lewis","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","22546","Cenostigma nordestinum","","Fabaceae","Cenostigma","nordestinum","","E. Gagnon & G.P. Lewis","A.M.Miranda",2018,"","5","","A.B. Araújo",2018,3,5,"Brazil","Pernambuco","Itambé","Usina Olho D#?#Água",,,"Árvore ca. 5 m alt. e 22 cm CAP; frutos marrons.","Cenostigma nordestinum E. Gagnon & G.P. Lewis","",,"GBIF"
"","UEFS","HUEFS","247043","Cenostigma nordestinum","","Fabaceae","Cenostigma","nordestinum","","E. Gagnon & G.P. Lewis","L.P.de Queiroz",2019,"","1113","","Moonlight, P.W.",2018,4,25,"Brazil","Paraíba","Campina Grande","INSA research centre, ca 700m off main road from Campina Grande, ca. 100m off end of road to southern-most flux tower.",-46.976389,-46.976389,"Typical Caatinga ca. 6m tall. Primarily deciduous with semi-dense canopy and many arborescent cacti. Dense shrub and herb layers including abundant Neoglaziovia variegata. Relatively few lianas and very few epiphytes.","Cenostigma nordestinum E. Gagnon & G.P. Lewis","",,"GBIF"
"","UEFS","HUEFS","247073","Cenostigma nordestinum","","Fabaceae","Cenostigma","nordestinum","","E. Gagnon & G.P. Lewis","L.P.de Queiroz",2019,"","1153","","Moonlight, P.W.",2018,5,1,"Brazil","Paraíba","Patos","Fazenda Tamandua, 13 km W of Patos as the crow flies. Around 5km from park entrance down minor road.",-37.396111,-37.396111,"Open Caatinga, canopy ca. 50% closed to 5 or rarely more meters. Medium-dense shrub layer. Dense herb layer. Little or no large lianas, few or no succulents or epiphytes. Shallow rocky and stony, sandy soil.","Cenostigma nordestinum E. Gagnon & G.P. Lewis","",,"GBIF"
"","UEFS","HUEFS","247132","Cenostigma nordestinum","","Fabaceae","Cenostigma","nordestinum","","E. Gagnon & G.P. Lewis","L.P.de Queiroz",2019,"","1225","","Moonlight, P.W.",2018,5,3,"Brazil","Paraíba","Patos","Fazenda Tamandua, 13 km W of Patos as the crow flies. Around 2 km from park entrance down minor road.",-37.403333,-37.403333,"Open woodland with >50% canopy, ca 5m. Few shrubs, dense layer of small herbs and grasses. Very few lianas or succulents.","Cenostigma nordestinum E. Gagnon & G.P. Lewis","",,"GBIF"
"","JBRJ","RB","RB01407351","Cenostigma nordestinum","","Fabaceae","Cenostigma","nordestinum","","E. Gagnon & G.P. Lewis","A.P. Fontana",2018,"","10029","","A.P. Fontana; D.P. Souza; J.R. Silva",2018,8,16,"Brazil","Pernambuco","Floresta","Jazida Mandantes",-8.673056,-38.179444,,"Cenostigma nordestinum E. Gagnon & G.P. Lewis","",,"GBIF"
"","UEFS","HUEFS","240027","Cenostigma nordestinum","","Fabaceae","Cenostigma","nordestinum","","E. Gagnon & G.P. Lewis","E.B.Souza & F.F.Araújo",2017,"","4448","","Souza, E.B.",2017,2,24,"Brazil","Ceará","Sobral","Teperuaba. Unidade de Conservação Refúgio de Vida Silvestre Pedra da Andorinha (REVIS).",-4.069444,-39.998889,"Área de vegetação de caatinga sobre solos arenosos e afloramentos graníticos.","Cenostigma nordestinum E. Gagnon & G.P. Lewis","",,"GBIF"
"","UEFS","HUEFS","246319","Cenostigma nordestinum","","Fabaceae","Cenostigma","nordestinum","","E. Gagnon & G.P. Lewis","F.G.Oliveira",2019,"","29","","Silva, M.C.G.",2017,2,10,"Brazil","Paraíba","Areia","Chã da Pia.",,,,"Cenostigma nordestinum E. Gagnon & G.P. Lewis","",,"GBIF"
