"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","15949","Chamaecrista aspleniifolia","","Fabaceae","Chamaecrista","aspleniifolia","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Geovane S. Siqueira",2019,"","1306","","Siqueira, G.S.",2019,2,1,"Brazil","Es","SOORETAMA",,,,"Floresta secundaria no MME <ll>dwc_commonname:</ll> Brauninha","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","211037","Chamaecrista aspleniifolia","","Fabaceae","Chamaecrista","aspleniifolia","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",,,"","1802","","Neves, D.M.",2014,3,18,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, próximo do alojamento. Beira de estrada para o herbario.",-19.151389,-40.069722,,"Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","JBRJ","RB","RB00846048","Chamaecrista aspleniifolia","","Fabaceae","Chamaecrista","aspleniifolia","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Lima, H.C.; Queiroz, L.P.; Lewis, G.P.",2014,"","1818","","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G.P.; Pezzini, F.; Siqueira, G.",2014,3,19,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, fragmento oeste. Cruzando a BR 101.",-19.151667,-40.065833,"Arvore 6m, flores amarelas legumes imaturos verdes","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","JBRJ","RB","RB00850389","Chamaecrista aspleniifolia","","Fabaceae","Chamaecrista","aspleniifolia","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Lima, H.C.; Queiroz, L.P.; Lewis, G.P.",2014,"","1802","","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G.P.; Siqueira, G.; Pezzini, F.",2014,3,18,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, proximo do alojamento. Beira de estrada para o herbario.",-19.151389,-40.069722,"Arvore 7m","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","231265","Chamaecrista aspleniifolia","","Fabaceae","Chamaecrista","aspleniifolia","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","H.C.Lima; L.P.Queiroz & G.P.Lewis",2014,"","1818","","Neves, D.M.",2014,3,19,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, fragmento oeste. Cruzando a BR 101.",-19.151667,-40.065833,"Mata Ombrófila densa rupícola.","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","212945","Chamaecrista aspleniifolia","","Fabaceae","Chamaecrista","aspleniifolia","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","L.P.Queiroz",2016,"","49","","Alves, P.A.C.",2014,7,27,"Brazil","Bahia","Medeiros Neto","Rodovia Texeira de Freitas/Medeiros Neto, depois da Usina de Santa Maria em direção ao Mun. De Lajedo, Fazenda Lagoa do Vinho. Região de Mata Higrófila Sul Baiana, ocupada atualmente com canaviais e pastagens.",-17.478611,-40.196944,"Mata Atlântica.","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","JBRJ","RB","RB00781718","Chamaecrista aspleniifolia","","Fabaceae","Chamaecrista","aspleniifolia","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","D.M. Neves",2017,"","1206","","Neves, D.R.M.; Pennington, R.T.; Lima, H.C.; Fraga, C.N.",2013,5,20,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, descendo a estrada Flamengo, próximo à antena. Borda de mussununga.",-19.209722,-39.958333,"Árvore 6m. Material banco DNA.","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","JBRJ","RB","RB00712825","Chamaecrista aspleniifolia","","Fabaceae","Chamaecrista","aspleniifolia","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","H.C. de Lima",,"","69","","Ribeiro, M; Lobão, A.Q; Oliveira, A.G; Gusson, M.F & Lopes, L.C.M",2010,1,19,"Brazil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama, Porção oeste, trilha do rio sul. Floresta de Tabuleiro.",,,"Árvore de 10 metros de altura com flores amarelas.","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","145978","Chamaecrista aspleniifolia","","Fabaceae","Chamaecrista","aspleniifolia","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","L.P.de Queiroz",2011,"","2407","","Cardoso, D.",2009,2,4,"Brazil","Bahia","Medeiros Neto","Fazenda Graciosa. Usina Santa Maria.",-17.4925,-40.192778,"Floresta semidecidual com pastagens.","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFMT","UFMT","40986","Chamaecrista aspleniifolia","","Fabaceae","Chamaecrista","aspleniifolia","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Nogueira, A.",2018,"","115","","Rebellato, L.",2006,12,,"Brazil","Mato Grosso","Poconé","Faz. N. S. Aparecida",,,"flores amarelas; campo de murundus","Chamaecrista aspleniifolia (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
