"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","249264","Chamaecrista blanchetii","","Fabaceae","Chamaecrista","blanchetii","","(Benth.) Conc. et al.",,,"","16645","","Queiroz, L.P.de",2019,5,9,"Brazil","Bahia","Morro do Chapéu","Ca. 20 km E de Morro do Chapéu na BA 052, área da Cachoeira do Ferro Doido.",-11.628333,-41.000833,"Campo rupestre sobre quartzito vermelho e solo arenoso raso.","Chamaecrista blanchetii (Benth.) Conc. et al.","",,"GBIF"
"","UFRB","HURB","19346","Chamaecrista blanchetii","","Fabaceae","Chamaecrista","blanchetii","","(Benth.) Conc. et al.","J.G.Rando",2018,"","425","","Sousa, N.X.M.; Sousa, J.C.",2018,6,20,"Brazil","Bahia","Boninal","Estrada Barra/Nova Colina;",-12.803056,-41.760833,,"Chamaecrista blanchetii (Benth.) Conc. et al.","",,"GBIF"
"","UFRB","HURB","22414","Chamaecrista blanchetii","","Fabaceae","Chamaecrista","blanchetii","","(Benth.) Conc. et al.","L.Lucresia",2018,"","5","","Alunos de Sistemática Evolução de Espermatófitas; Roque, N. et al.",2018,6,16,"Brazil","Bahia","Mucugê","Parque Sempre Viva; Trilha para cachoeira das Andorinhas",,,"ALCB 133929.","Chamaecrista blanchetii (Benth.) Conc. et al.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133929","Chamaecrista blanchetii","","Fabaceae","Chamaecrista","blanchetii","","(Benth.) Conc. et al.","Lucresia, L",2018,"","5","","Alunos de Sistemática Evolução de Espermatófitas; Roque, N; et al.",2018,6,16,"Brazil","Bahia","Mucugê","Parque Sempre Viva - Trilha para cachoeira das Andorinhas",-13.6725,-41.569444,"Altura ca. 1,8m. Folhas levemente discolores, verdes e cartáceas. Sépalas verde-avermelhadas. Pétalas amarelas. Anteras amareladas, ovário verde. Estilete amarelado, estames verdes-amarelados. Frutos imaturos verde-amarelados e maduro","Chamaecrista blanchetii (Benth.) Conc. et al.","",,"GBIF"
"","UESC","UESC","24393","Chamaecrista blanchetii","","Fabaceae","Chamaecrista","blanchetii","","(Benth.) Conc. et al.","Lucresia, L.",2018,"","5","","Roque, N.",2018,6,16,"Brazil","Bahia","Mucugê",,-12.999722,-41.569444,"Arbusto: Altura ca. 1,8m.","Chamaecrista blanchetii (Benth.) Conc. et al.","",,"GBIF"
"","UFRB","HURB","24182","Chamaecrista blanchetii","","Fabaceae","Chamaecrista","blanchetii","","(Benth.) Conc. et al.","L.Lucresia",2018,"","5","","Alunos de Sistemática Evolução de Espermatófitas; Roque, N.; et al.",2018,6,16,"Brazil","Bahia","Mucugê","Parque Sempre Viva; Trilha para cachoeira das Andorinhas",,,"arbusto: 1,8m de alt., folhas levemente discolores, verdes e cartáceas. Sépalas verde-avermelhadas, pétalas amarelas, anteras amareladas, ovário verde, estilete amarelado, estames... ALCB 133929","Chamaecrista blanchetii (Benth.) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","243561","Chamaecrista blanchetii","","Fabaceae","Chamaecrista","blanchetii","","(Benth.) Conc. et al.",,,"","1124","","Cota, M.M.T.",2018,7,9,"Brazil","Bahia","Mucugê","Trilha para o Vale do Pati, Gerais do Vieira.",-12.735556,-41.489722,,"Chamaecrista blanchetii (Benth.) Conc. et al.","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","38752A","Chamaecrista blanchetii","","Fabaceae","Chamaecrista","blanchetii","","(Benth.) Conc. et al.","Oliveira, EVS",2017,"","712","","Oliveira, EVS; Rocca, MA; et al.",2017,4,2,"Brazil","Bahia","Mucugê","Parque Municipal de Mucugê (projeto Sempre-viva), Trilha do museu do garimpo em direção a Mucugê (trilha dos polinizadores).",-12.5918,-41.2027,"Erva. Ca. de 2 m. Flores de cor amarela. Alguns poucos frutos imaturos. Na trilha para cachoeira do Tiburtino.; Cerrado lato sensu e Campos Rupestres","Chamaecrista blanchetii (Benth.) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","243436","Chamaecrista blanchetii","","Fabaceae","Chamaecrista","blanchetii","","(Benth.) Conc. et al.",,,"","999","","Cota, M.M.T.",2017,6,26,"Brazil","Minas Gerais","Espinosa","Estrada vicinal entre os municípios de Montezuma e Espinosa. Próximo a divisa dos municípios de Montezuma e Espinosa. Serra na fazenda do senhor Geraldo.",-15.063611,-42.642222,,"Chamaecrista blanchetii (Benth.) Conc. et al.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","135939","Chamaecrista blanchetii","","Fabaceae","Chamaecrista","blanchetii","","(Benth.) Conc. et al.","Carvalho, MLS",2019,"","488","","Carvalho, MLS; Alunos de Métodos de Estudos em Biologia",2017,7,28,"Brazil","Bahia","Mucugê","Parque Municipal de Mucugê, Projeto Sempre Viva.",-13.0225,-41.62,"Flores amareladas.","Chamaecrista blanchetii (Benth.) Conc. et al.","",,"GBIF"
