"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","243423","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.",,,"","986","","Cota, M.M.T.",2017,6,24,"Brazil","Minas Gerais","Botumirim","Campina do Bananal. Trilha de São Domingos, entrando pela Fazenda Serra da Canastra do senhor Afonso.",-16.846667,-43.046667,,"Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","JBRJ","RB","RB01382925","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","V.C. Souza",2017,"","40936","","V.C. Souza",2017,7,20,"Brazil","Bahia","Rio de Contas","Cerca de 18 Km de Rio de Contas em direção ao Pico do Itobira (-13466306; -41870056)",,,,"Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","140076","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","Souza, V.C.",2017,"","40936","","Souza, V.C.",2017,7,20,"Brazil","Bahia","Rio de Contas","Cerca de 18 km de Rio de Contas em direção ao Pico do Itobira . Cerrado denso.",,,"Arbusto, ca. 3 m alt.; flores amarelas.","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","234979","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","M.Cota",2019,"","298","","Souza, I.M.",2016,6,15,"Brazil","Bahia","Palmeiras","Caminho para Matão.",,,,"Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","UNIVASF","HVASF","23199","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","J.A. Siqueira Filho",2016,"","13","","E.D.S. Almeida",2016,7,16,"Brazil","Bahia","Jacobina","Serra dos Ventos, descida próxima a torre da Embratel.",-11.203361,-40.507305,"Arbusto ca. 1,5m de alt. Flores amareladas com leve odor adocicado, em plena floração, presença de botões florais.","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","UNIVASF","HVASF","22400","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","J.A. Siqueira-Filho",2015,"","3269","","J.A. Siqueira Filho",2015,1,27,"Brazil","Bahia","Morro do Chapéu","Nos arredores do Monumento Natural Cachoeira do Ferro Doido",-11.627805,-41.000444,"Arbusto, ca. de 2 m alt., folhas compostas, alternas, paripinadas. Flores amarelas, frutos amarronzados, deiscentes.","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","239110","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","L.P.Queiroz",2018,"","3732","","Cardoso, D.",2015,3,10,"Brazil","Minas Gerais","Itacambira","Estrada para a torre, na saída da cidade sentido Juramento.",-17.073889,-43.310833,,"Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","JBRJ","RB","RB00856002","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","Lima, H.C.; Queiroz, L.P.; Lewis, G.P.",,"","1724","","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G.P.; Vivas, C.V.; Paixao, J.L.",2014,3,12,"Brazil","Bahia","Canavieiras","Restinga. Beira de estrada para o Rio Pardo, entrada no entroncamento Canavieiras - Santa Luzia.",-15.641667,-39.095555,"Arvoreta ate 3m","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","228627","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.",,,"","1724","","Neves, D.M.",2014,3,12,"Brazil","Bahia","Canavieiras","Beira de estrada para o Rio Pardo, entrada no entrocamento Canavieiras-Santa Luzia.",-15.641667,-39.095556,"Restinga.","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","Cenargen","CEN","93251","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.",,,"","1724","","Danilo M. Neves",2014,3,12,"Brazil","Ba","CANAVIEIRAS","Beira da estrada para o Rio Pardo, entrada no entroncamento Canavieiras - Santa Luzia.",-15.641666,-39.095555,"Arvoreta até 3m. Doação Jardim Botânico do Rio de Janeiro - RB 598235.","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","114505","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","Guedes, ML",2014,"","21766","","Guedes, ML; Alunos de Botânica BIOC05",2014,6,13,"Brazil","Bahia","Piatã","Chapada Diamantina, Caminho para Cachoeira do Jovino.",-13.014444,-41.891667,"Folhas com folíolos coriáceos, discolores. Inflorescência com flores amarelo-ouro.","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","UFRB","HURB","8242","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","M.L. Guedes",2014,"","21766","","Guedes, M.L.; et al.",2014,6,13,"Brazil","Bahia","Piatã","Chapa Diamantina; caminho para a Cachoeira do Jovino",-13.05,-41.842778,,"Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","UNIVASF","HVASF","21832","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","D.P. Souza",2013,"","75","","D.P. Souza",2013,12,18,"Brazil","Bahia","Sento Sé","Trilha da Cachoeira do Zé do Leite, próximo ao Requeijão",,,"Arbusto, com ca. de 2 m alt.. Folhas compostas, alternas, paripinadas. Frutos amarronzados, indeiscentes.","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","UNIVASF","HVASF","13692","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","A.S. Conceição",2013,"","2697","","J.A. Siqueira Filho",2012,1,12,"Brazil","Pernambuco","Buíque","PARNA do Vale do Catimbau, Serra de Jerusalém",-8.583833,-37.238472,"Arbusto ca. 2,5m de alt.. Flores amarela e frutos marrons deiscentes.","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","UNIVASF","HVASF","14173","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","A.S. Conceição",2013,"","77","","C.R.S. Oliveira",2012,1,24,"Brazil","Pernambuco","Buíque","Parque Nacional do Catimbau, Vale do Catimbau.",-8.561555,-37.254,"Arbusto ca. de 2,5m alt. Folhas opostas. Legume marrom, seco, deiscente.","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
"","UNIVASF","HVASF","14259","Chamaecrista brachystachya","","Fabaceae","Chamaecrista","brachystachya","","(Benth.) Conc. et al.","R.A. Silva",2013,"","163","","C.R.S. Oliveira",2012,1,26,"Brazil","Pernambuco","Buíque","Parque Nacional do Catimbau, Vale do Catimbau, sul da Serra de Jerusalém",-8.589916,-37.236333,"Arbusto ca. de 1,5m alt. Flor amarela. Legume marrom, deiscente.","Chamaecrista brachystachya (Benth.) Conc. et al.","",,"GBIF"
