"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","135882","Chamaecrista confertiformis","","Fabaceae","Chamaecrista","confertiformis","","(H.S.Irwin & Barneby) Conc. et al.","Carvalho, MLS",2019,"","631","","Carvalho, MLS; Alunos de Métodos de Estudos em Biologia",2018,11,24,"Brazil","Bahia","Mucugê","Parque Municipal de Mucugê, Projeto Sempre Viva, rio piabinha.",-13.0225,-41.62,"Aprox. 2,10 m de alt., Flores com pétalas amarelas; sépalas verdes; estames amarelos.; Solo pedregoso.","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","243487","Chamaecrista confertiformis","","Fabaceae","Chamaecrista","confertiformis","","(H.S.Irwin & Barneby) Conc. et al.",,,"","1050","","Cota, M.M.T.",2017,8,3,"Brazil","Bahia","Mucugê","Parque Natural Municipal de Mucugê.",-12.993056,-41.341667,,"Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","243488","Chamaecrista confertiformis","","Fabaceae","Chamaecrista","confertiformis","","(H.S.Irwin & Barneby) Conc. et al.",,,"","1051","","Cota, M.M.T.",2017,8,3,"Brazil","Bahia","Mucugê","Parque Natural Municipal de Mucugê.",-12.993056,-41.341667,,"Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","243510","Chamaecrista confertiformis","","Fabaceae","Chamaecrista","confertiformis","","(H.S.Irwin & Barneby) Conc. et al.",,,"","1073","","Cota, M.M.T.",2017,8,4,"Brazil","Bahia","Jussiape","Estrada de terra saindo de Capâo da Volta sentido Jussiape.",-13.448056,-41.519167,,"Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","243514","Chamaecrista confertiformis","","Fabaceae","Chamaecrista","confertiformis","","(H.S.Irwin & Barneby) Conc. et al.",,,"","1077","","Cota, M.M.T.",2017,8,4,"Brazil","Bahia","Jussiape","Estrada de terra saindo de Capâo da Volta sentido Jussiape.",-13.448056,-41.521389,,"Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","225602","Chamaecrista confertiformis","","Fabaceae","Chamaecrista","confertiformis","","(H.S.Irwin & Barneby) Conc. et al.",,,"","92","","Chaves, E.S.",2016,2,17,"Brazil","Bahia","Mucugê","Entrada da cidade, lado esquerdo da estrada de terra, mais interior, área degradada.",-12.995556,-41.385,,"Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UNIVASF","HVASF","22838","Chamaecrista confertiformis","","Fabaceae","Chamaecrista","confertiformis","","(H.S.Irwin & Barneby) Conc. et al.","J.G. Rando",2018,"","3514","","J.A. Siqueira Filho",2015,11,28,"Brazil","Bahia","Mucugê","Chapada Diamantina, trilha da cachoeira do Cardoso, área de campo rupestre, na margem da trilha",-13.047027,-41.356027,"Arbusto ca. de 50 cm alt. Flores amarelas, enantiostílicas. Folhas opostas. Em pleno período de floração. Frequente.","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","113485","Chamaecrista confertiformis","","Fabaceae","Chamaecrista","confertiformis","","(H.S.Irwin & Barneby) Conc. et al.","Oliveira, GR de",2014,"","4291","","Roque, N; Alunos de Sistemática Evolução de Espermatófitas",2014,5,24,"Brazil","Bahia","Palmeiras","Trilha para Poço das Águas Claras.",-12.536944,-41.484722,"Ca. de 1,60m de alt. Folhas concolores. Sépalas verdes, pétalas amarelas. Fruto castanho.; Ecótono. Campos rupestres.","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","230774","Chamaecrista confertiformis","","Fabaceae","Chamaecrista","confertiformis","","(H.S.Irwin & Barneby) Conc. et al.",,,"","406","","Martins, C.T.V.D.",2014,5,2,"Brazil","Bahia","Mucugê","Córrego Sertãozinho.",-13.002778,-41.389167,,"Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","213917","Chamaecrista confertiformis","","Fabaceae","Chamaecrista","confertiformis","","(H.S.Irwin & Barneby) Conc. et al.","M.Cota",2017,"","60","","Alves, P.A.C.",2014,12,7,"Brazil","Bahia","Mucugê","Aprox. 3 Km da cidade de Mucugê sentido Barra da estiva, estrada a direita depois da ponte.",-12.999722,-41.389722,"Região de campo rupestre. Solo arenoso.","Chamaecrista confertiformis (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
