"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","239538","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.",,,"","HUEFS36","","Santos, F. da S.",2017,9,4,"Brazil","Bahia","Abaíra","Catolés Depois de Catolés de Cima",,,"Campo rupestre","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","JBRJ","RB","RB01316893","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","J.E.Q. Faria",,"","5433","","J.E.Q. Faria; D.A. Chaves; T.J.O. Otoni",2016,3,4,"Brazil","Minas Gerais","Gouveia","Estrada paralela aos moinhos de vento, entrando à direita sentido Gouveia/Curvelo. Sítio do Mulato, área de extração da empresa mineradora Tracomal",-18.523333,-43.913611,,"Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","JBRJ","RB","RB01337932","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Angela Mª S. da Fonseca Vaz",,"","19178","","G. Martinelli; T. Lima & L. Moraes",2016,3,21,"Brazil","Minas Gerais","Diamantina","Localidade Mocambo.",-18.120556,-43.3775,"Arbusto, 1,60 metros de altura, heliófila; folhas verdes, discolores; frutos imaturos vinosos com margens verdes.","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3392","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Faria, JEQ",2016,"","5408","","Faria, JEQ; Chaves, DA; Otoni, TJO",2016,3,4,"Brazil","Minas Gerais","Gouveia","Estrada paralela aos moinhos de vento, entrando à direita sentido Gouveia/Curvelo. Sítio do Mulato, área de extração da empresa mineradora Tracomal.",-18.523333,-43.913611,,"Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3417","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Faria, JEQ",2016,"","5433","","Faria, JEQ; Chaves, DA; Otoni, TJO",2016,3,4,"Brazil","Minas Gerais","Gouveia","Estrada paralela aos moinhos de vento, entrando à direita sentido Gouveia/Curvelo. Sítio do Mulato, área de extração da empresa mineradora Tracomal.",-18.523333,-43.913611,,"Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","JBRJ","RB","RB01317932","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","J.E.Q. Faria",,"","5640","","J.E.Q. Faria; T.J.O. Otoni",2016,4,15,"Brazil","Minas Gerais","Gouveia","Estrada entrando paralela aos moinhos de vento do Camilinho, sítio do Mulato, área de extração da Tracomal",-18.523889,-43.915,,"Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","3591","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Faria, JEQ",2016,"","5640","","Faria, JEQ; Otoni, TJO",2016,4,15,"Brazil","Minas Gerais","Gouveia","Estrada entrando paralala aos moinhos de vento do Camilinho, síto do Mulato, área de extração da Tracomal",-18.523889,-43.915,,"Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","Instituto de Botânica","SP","491682","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Faria, JEQ",2016,"","5640","","Faria, JEQ; Otoni, TJO",2016,4,15,"Brazil","Minas Gerais","Gouveia",,-18.523889,-43.915,,"Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","4142","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Faria, JEQ",2016,"","6179","","Faria, JEQ; Otoni, TJO; Vieira, AD",2016,7,5,"Brazil","Minas Gerais","Monjolos","Margem da estrada para a Tracomal",-18.439444,-43.898056,,"Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UFV","VIC","43036","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Coutinho, Í.A.C.",2014,"","453","","Coutinho, Í.A.C.; et al.",2014,3,25,"Brazil","Minas Gerais","Diamantina","Estrada de Terra que liga Diamantina a Curralinho.",,,"Planta de 1,5 a 2 m, população em plena floração, flores amarelas.","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UFV","VIC","43055","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Coutinho, Í.A.C.",2014,"","481","","Coutinho, Í.A.C.; et al.",2014,3,27,"Brazil","Minas Gerais","Diamantina","Diamantina estrada que liga medanha á Inhaí.",,,"Arvoreta de 2 m, população em plena floração, cálice vináceo, corola amarela.","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","USP","SPF","221637","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Cota, MMT",2015,"","697","","Cota, MMT",2014,3,28,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Trilha para as corredeiras.",-18.133889,-43.334444,"Arbusto rupestre; até 2 m. Botões amarelos esverdeados. Flores amarelas.; Campo rupestre com matas de galeria.","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UFOP","OUPR","28255","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Fortuna-Perez, A.P.",2014,"","10","","Fantini, I.F.; Fortuna-Perez, A.P. & Cândido, E.S.",2014,6,7,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Córrego do Taiobal. Campo rochoso e com areia",-18.157056,-43.317194,"Flores amarelas, população abundante. Arbusto 1,8m","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
"","UFOP","OUPR","28360","Chamaecrista decora","","Fabaceae","Chamaecrista","decora","","(H.S.Irwin & Barneby) Conc. et al.","Zeferino, L.C.",2014,"","36","","Zeferino, L.C.; Fortuna-Perez, A.P.; Soldevila, A.; Cândido, E.S. & Fantini, I.F.",2014,8,21,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Vau Bravo. Cerrado/Campo rupestre",-18.108056,-43.331278,"Arbusto, 1,2m. Flores amarelas. Frutos maduros avermelhados. Encontrada em abundância. Solo rochoso","Chamaecrista decora (H.S.Irwin & Barneby) Conc. et al.","",,"GBIF"
