"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153553","Chamaecrista duartei","","Fabaceae","Chamaecrista","duartei","","(H.S.Irwin) H.S.Irwin & Barneby","H.C. Lima",,"","1149","","Santos, E.A.",2016,2,16,"Brazil","Bahia","JAGUARIPE","Conglomerado BA_946-4-5-14",-13.113333,-38.895556,"<ll>dwc_commonname:</ll>","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153563","Chamaecrista duartei","","Fabaceae","Chamaecrista","duartei","","(H.S.Irwin) H.S.Irwin & Barneby","H.C. Lima",,"","1160","","Santos, E.A.",2016,2,16,"Brazil","Bahia","JAGUARIPE","Conglomerado BA_946-4-8-43",-13.113333,-38.895556,"<ll>dwc_commonname:</ll>","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153557","Chamaecrista duartei","","Fabaceae","Chamaecrista","duartei","","(H.S.Irwin) H.S.Irwin & Barneby","H.C. Lima",,"","1153","","Santos, E.A.",2016,2,16,"Brazil","Bahia","JAGUARIPE","Conglomerado BA_946-4-5-20",-13.113333,-38.895556,"<ll>dwc_commonname:</ll>","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153571","Chamaecrista duartei","","Fabaceae","Chamaecrista","duartei","","(H.S.Irwin) H.S.Irwin & Barneby","H.C. Lima",,"","1168","","Santos, E.A.",2016,2,16,"Brazil","Bahia","JAGUARIPE","Conglomerado BA_946-4-10-65",-13.113333,-38.895556,"<ll>dwc_commonname:</ll>","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","219949","Chamaecrista duartei","","Fabaceae","Chamaecrista","duartei","","(H.S.Irwin) H.S.Irwin & Barneby","M.Cota",2019,"","16166","","Queiroz, L.P.de",2015,11,24,"Brazil","Bahia","Nilo Peçanha","Jatimane.",-13.689444,-39.045,,"Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","",,"GBIF"
"","UFV","VIC","42000","Chamaecrista duartei","","Fabaceae","Chamaecrista","duartei","","(H.S.Irwin) H.S.Irwin & Barneby","Coutinho, I.A.C.",2014,"","303","","Coutinho, Í.A.C.; Fernandes, V.F.",2014,1,15,"Brazil","Bahia","Itacaré",,,,"Árvore com 10 metros , flores amarelas, odor adoçicado.","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","211033","Chamaecrista duartei","","Fabaceae","Chamaecrista","duartei","","(H.S.Irwin) H.S.Irwin & Barneby","M.Cota",2019,"","1792","","Neves, D.M.",2014,3,17,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada do Flamengo.",-19.151667,-40.060833,,"Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","",,"GBIF"
"","JBRJ","RB","RB00903466","Chamaecrista duartei","","Fabaceae","Chamaecrista","duartei","","(H.S.Irwin) H.S.Irwin & Barneby",,,"","1689","","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G.P.; Vivas, C.V.; Paixao, J.L.",2014,3,11,"Brazil","Bahia","Una","Rebio Una.",-15.178889,-39.063333,"Arvore 7m, caule fino","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","",,"GBIF"
"","JBRJ","RB","RB00903465","Chamaecrista duartei","","Fabaceae","Chamaecrista","duartei","","(H.S.Irwin) H.S.Irwin & Barneby",,,"","1686","","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G.P.; Vivas, C.V.; Paixao, J.L.",2014,3,11,"Brazil","Bahia","Una","Rebio Una.",-15.178889,-39.063333,"Arvore 4m","Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","212939","Chamaecrista duartei","","Fabaceae","Chamaecrista","duartei","","(H.S.Irwin) H.S.Irwin & Barneby","L.P.Queiroz",2015,"","43","","Alves, P.A.C.",2014,5,8,"Brazil","Bahia","Ilhéus","Campus da UESC.",,,,"Chamaecrista duartei (H.S.Irwin) H.S.Irwin & Barneby","",,"GBIF"
