"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFU","HUFU","79189","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby","Melo, G.N.; Filho, L.A.O.",2019,"","203","","Dias, A.G.; Cantarim, G.F.; Oliveira Filho, L.A. & Silva, R.P.",2019,4,23,"Brazil","Minas Gerais","Diamantina","Estrada Diamantina - Conselheiro Mata, MG 220, km 180, próximo a estrada.",-18.273056,-43.713333,"herbácea, inflorescência alva; Afloramento rochoso.Campo rupestre","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","UFOP","OUPR","31389","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby",,,"","431","","Pedrosa, L.G.",2018,6,12,"Brazil","Minas Gerais","Ouro Preto","APA Estadual Cachoeira das Andorinhas",,,"Arbusto, ca. 2,5m. Flores amarelas. Campo rupestre.","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","UFOP","OUPR","32395","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby","Pedrosa, L.G.",2018,"","1010","","Pedrosa, L.G.",2018,11,14,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi",,,"Subarbusto, ca. 2m. Ramos e folhas glandulosos. Flores amarelas. Campo rupestre.","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","UFOP","OUPR","27900","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby","Cota, M.M.T.",2014,"","106","","Soldevila, A.C.; Fortuna-Perez, A.P.; Cândido, E.S.; Vieira, L.G.M.; Mansano, V.F. & Cota, M.",2014,3,25,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Trilha para Corredeiras. Coletada próximo às Corredeiras. Solo rochoso, Cerrado/Campo rupestre quatzítico",-18.151111,-43.327306,"Flores amarelas, subarbusto 2m","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","UFOP","OUPR","28371","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby","Zeferino, L.C.",2014,"","53","","Zeferino, L.C.; Fortuna-Perez, A.P.; Soldevila, A.; Cândido, E.S. & Fantini, I.F.",2014,8,24,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Cerrado/Campo rupestre",-18.126889,-43.379806,,"Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","UFOP","OUPR","28372","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby","Zeferino, L.C.",2014,"","54","","Zeferino, L.C.; Fortuna-Perez, A.P.; Soldevila, A.; Cândido, E.S. & Fantini, I.F.",2014,8,25,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Cerrado/Campo rupestre",-18.126889,-43.379806,,"Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","226818","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby",,,"","797","","Cota, M.M.T.",2014,9,25,"Brazil","Minas Gerais","Olhos d' Água","Parque Nacional das Sempre Vivas. Fazenda Álamo. Campos arenosos entre afloramentos rochosos, vegetação arbustiva-arbórea, próximo a cursos d#?#agua",-17.616111,-43.769722,,"Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","226810","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby",,,"","754","","Cota, M.M.T.",2014,9,3,"Brazil","Minas Gerais","Buenópolis","Parque Nacional das Sempre Vivas. Entrada do distrito de Macacos, trilha margeando o rio Jequitaí, na divisa com a cidade de Bocaiúva",-17.909722,-43.820833,"campo rupestre.","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","USP","SPF","222009","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby","Cota, MMT",2014,"","754","","Cota, MMT",2014,9,3,"Brazil","Minas Gerais","Buenópolis","Parque Nacional das Sempre-Vivas, Entrada do distrito de Macacos; trilha próximo ao rio Jequitaí; na divisa com a cidade de Bocaiúva.",-17.909639,-43.82075,"Arbusto até 2;5 m alt. Corola amarela. Cálice verde-amarelado. Botões florais verdes. Frutos imaturos e maduros.; Campo rupestre.","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","NY","NY","02707781","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby",,,"","754","","M. M. T. Cota",2014,9,3,"Brazil","Minas Gerais",,"Parque Nacional das Sempre Vivas. Entrada do distrito de Macacos, trilha próximo ao rio Jequitaí, na divisa com a cidade de Bocaiúva.",-17.919167,-43.836983,,"Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","JBRJ","RB","RB01163703","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby","M.M.T. Cota",,"","797","","M.M.T. Cota; P.T. Sano; F.N. Costa; L. Echternacht; M. Trovó; N. Roque; R.R. Silva; C.O. Andrino",2014,11,28,"Brazil","Minas Gerais","Olhos d'Água do Oeste","Parque Nacional das Sempre Vivas. fazenda Álamo.",-17.616111,-43.769722,,"Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","USP","SPF","222008","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby","Cota, MMT",2015,"","797","","Cota, MMT",2014,11,25,"Brazil","Minas Gerais","Olhos-d'Água","Parque Nacional das Sempre-Vivas, Fazenda Álamo.",-17.61625,-43.769889,"Arbusto até 3 m. Pétalas amarelas. Sépalas verde-amareladas. Frutos maduros.; Campos arenosos entre afloramentos rochosos; vegetação arbustiva-árborea próximo a cursos d'água.","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","177895","Chamaecrista hedysaroides","","Fabaceae","Chamaecrista","hedysaroides","","(Vogel) H.S.Irwin & Barneby",,2015,"","579","","Gontijo, FD; Barros, AM; Braga",2014,12,10,"Brazil","Minas Gerais","Caeté",,-20.010833,-43.67,"Arbusto de 0,5 mts ; Flores amarelas; Frutos imaturos verdes.; Arbustivo. Campo rupestre sobre canga","Chamaecrista hedysaroides (Vogel) H.S.Irwin & Barneby","",,"GBIF"
