"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01415571","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby",,,"","4427","","I.L. Morais",2015,5,1,"Brazil","Goiás","Quirinópolis","Serra da Fortaleza.",-18.247222,-50.681667,,"Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","115588","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","Oliveira, GR de",2014,"","4375","","Roque, N; Roque, N; Alves, M; Gandara, A",2014,7,26,"Brazil","Bahia","Rio de Contas","Distrito de Arapiranga, estrada da cruzinha com acesso a mato grosso.",-13.489722,-41.805833,"ca. 1,7 m altura, folhas discolores, frutos verdes viscosos.","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","213569","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby",,,"","4375","","Roque, N.",2014,7,26,"Brazil","Bahia","Rio de Contas","Arapiranga Estrada da cruzadinha com acesso a mato grosso.",-13.489722,-41.805833,"Campo rupestre.","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","UnB","UB","189146","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","Souza, AO",2014,"","1214","","Zanatta, MRV; Mello, TRB",2012,3,5,"Brazil","Distrito Federal","Brasília","Reserva Biológica da Contagem (REBIO)",-15.666667,-47.868333,"Fotos (M.R.V.Zanatta); Arbusto, 2m. Planta pegajosa. Flor amarela, sépalas verde claro com mancha vermelha; Campo sujo úmido","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","UnB","UB","189234","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","Souza, AO",2014,"","1301","","Zanatta, MRV; Castro, BM",2012,4,13,"Brazil","Distrito Federal","Brasília","Reserva Biológica da Contagem (REBIO)",-15.657778,-47.893333,"Fotos (M.R.V.Zanatta); Árvore, 3,5m. Flor amarela, sépalas amarelas e verdes; Mata de galeria","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","28753","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","Cota, M",2016,"","2092","","Nóbrega, MGG; et al.",2012,5,4,"Brazil","Distrito Federal","Brasília","Estação Ecológica do Jardim Botânico de Brasília - Captações 2 e 3 da CAESB",-15.866667,-47.85,"Arbusto de 2 m, flor amarela; Interior mata de galeria","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","156374","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","J.G.Rando",2012,"","14357","","Queiroz, L.P.de",2009,4,28,"Brazil","Goiás","Campinorte","BR 153 entre Campinorte e Uruaçu, ca. 6 Km S de Campinorte.",-14.3825,-49.157222,"Cerrado.","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","Cenargen","CEN","78356","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","R. T. Queiroz",,"","470","","Daniela Inácio Junqueira - UEG",2009,8,10,"Brazil","Go","CALDAS NOVAS","Parque Estadual Serra de Caldas Novas.",-17.794444,-48.661944,"Doação Herbário UB - Brasil - Goiás.","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","25706","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","Bringel Júnior, JBA",2009,"","1893","","Ramos, AE; et al.",2009,8,11,"Brazil","Distrito Federal","Recanto das Emas","Núcleo Rural Monjolo",-15.929722,-48.083333,"Mata de Galeria; Relevo Levemente ondulado","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","UnB","UB","88256","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","Matos, RG",2018,"","s.n.Árvore","","Moraes, L",2004,6,12,"Brazil","Goiás","Valparaíso de Goiás","Valparaíso de Goiás, Chácara Ipiranga",-16.0658,-47.9786,,"Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","Cenargen","CEN","54684","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","B. M. T. Walter",,"","155","","Francisco Ferreira de Miranda Santos",2004,8,8,"Brazil","Df","BRASILIA","Brazlândia. Coletado no cerrado pedregoso, margeando mata de galeria. Estrada vicinal a DF-180, ca. de 3 km antes do km16, sentido Goiás - Brasília.",,,"Planta viscosa.","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","Cenargen","CEN","38477","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","C. G. Fontes",,"","234","","Juliana Guimarães Faria",1999,6,15,"Brazil","Df","BRASILIA","Fazenda Sucupira. Mata de galeria (córrego do Açudinho II).",-15.91667,-48.01667,"Anteras amarelas.","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","42533","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby",,2001,"","3760","","Árbocz, G.F.",1997,4,15,"Brazil","Mato Grosso","Comodoro","Estrada do assentamento Noroagro para a cidade de Comodoro. Contato Savana Florestada e Floresta Estacional perturbado. Relevo plano. Solo de Areia Quartzosa. 85.17.807UTM; 1.85.197UTM",,,"Arbusto de 2,5m. Folhas e ramos novos pegajosos. Flores amarelas.","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","76667","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby",,,"","17506","","Souza, V.C.",1997,5,9,"Brazil","Mato Grosso","Tapurah","Beira do Córrrego Falcão. 65 km NE (em linha reta) de Tapurah. Estrada para Projeto Ipiranga.",-12.283333,-56.1,"Mata ciliar.","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","43594","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","V.C. Souza",1997,"","17506","","V.C. Souza; J. Paula-Souza; A.R. Duarte; P.H. Miyagi",1997,6,9,"Brazil","Mato Grosso","Tapurah","Beira do Córrego Falcão, 65 Km NE (em linha reta) de Tapurah. Estrada para Projeto Ipiranga. 12º17'S 56º06'W.",,,"Arbusto, ca. 1,5m alt.; flores amarelas.","Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
"","USP","SPF","160300","Chamaecrista machaeriifolia","","Fabaceae","Chamaecrista","machaeriifolia","","(Benth.) H.S.Irwin & Barneby","Souza, VC",2001,"","17506","","Souza, VC",1997,6,9,"Brazil","Mato Grosso","Tapurah",,-12.283333,-56.1,,"Chamaecrista machaeriifolia (Benth.) H.S.Irwin & Barneby","",,"GBIF"
