"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFU","HUFU","19636","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, M.M.T.",2012,"","338","","Elias, S.I.; Rolim, G.S. de",1999,3,23,"Brazil","Minas Gerais",,"Parque Nacional da Serra da Canastra, Estrada a caminho da nascente do rio São Francisco.",,,"Subarbusto, de 40-50 cm. Flores amarelas.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFU","HUFU","19625","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, M.M.T.",2012,"","340","","Elias, S.I.; Rolim, G.S. de",1999,3,23,"Brazil","Minas Gerais",,"Parque Nacional da Serra da Canastra, Estrada a caminho da nascente do rio São Francisco.",,,"Arbusto de 40 cm. Flores amarelas.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","USP","SPF","137600","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, MMT",2018,"","292","","Farinaccio, MA",1999,5,14,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra",,,,"Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFU","HUFU","24335","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, M.M.T.",2012,"","292","","Farinaccio, M.A.; Campos-Filho, E.M. & Vechi, C.",1999,12,14,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada São Roque de Minas - Sacramento. Torre de observação próximo ao Curral de Pedras.",,,"Arbusto, ca. 1m. Flores de cálice verde amarelado, corola amarela. Frutos verdes com tricomas avermelhados glutinosos.; Afloramento rochoso.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFU","HUFU","14141","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, M.M.T.",2012,"","2332","","Nakajima, J.N.; Romero, R.; Farinaccio, M.A. & Miranda, V.F.O.",1997,4,18,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Chapadão do Diamante.",,,"Arbusto, ca. 1,2m. Cálice esverdeado, corola amarelada, estames creme e estilete esverdeado.; Campo rupestre.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFU","HUFU","14332","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, M.M.T.",2012,"","4031","","Romero, R.; Nakajima, J.N.; Farinaccio, M.A. & Miranda, V.F.O.",1997,4,16,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Nascente do córrego dos Peixes.",,,"Arbusto, ca. 1m. Cálice verde-amarelado, corola amarela, estames amarelos e estilete verde.; Campo rupestre.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","USP","SPF","229820","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, MMT",2018,"","4031","","Romero, R",1997,4,16,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra",,,,"Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFU","HUFU","15454","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, M.M.T.",2012,"","4334","","Romero, R.; Nakajima, J.N. & Farinaccio, M.A.",1997,6,29,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Chapadão do Diamante.",,,"Subarbusto, ca. 1,8m. Cálice avermelhado, corola e estames amarelados. Pistilos esverdeados.; Campo rupestre.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","USP","SPF","229818","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, MMT",2018,"","4334","","Romero, R",1997,6,29,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra",,,,"Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFU","HUFU","12394","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, M.M.T.",2012,"","3345","","Romero, R.; Nakajima, J.N.",1996,3,20,"Brazil","Minas Gerais","São Roque de Minas","Trilha para o Sítio João Domingos",,,"Arbusto, ca. 1m. Cálice esverdeado-amarelado, corola amarelada e anteras creme.; Campo rupestre.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFU","HUFU","12401","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, M.M.T.",2012,"","3361","","Romero, R.; Nakajima, J.N.",1996,3,20,"Brazil","Minas Gerais","São Roque de Minas","Morro após a nascente do rio São Francisco.",,,"Subarbusto, ca. 1,2m. Cálice esverdeado-amarelado. Corola amarelada e estames amarelados.; Campo rupestre.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFU","HUFU","12664","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, M.M.T.",2012,"","1810","","Nakajima, J.N.; Romero, R.",1996,5,26,"Brazil","Minas Gerais","São Roque de Minas","Estrada para sítio João Domingos.",,,"Arbusto, ca. 1,5m. Cálice esverdeado-amarelado. Corola e estames amarelados. Gineceu esverdeado.; Campo rupestre.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","USP","SPF","229817","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, MMT",2018,"","1810","","Nakajima, JN",1996,5,26,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra",,,,"Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","USP","SPF","229819","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Cota, MMT",2018,"","1880","","Nakajima, JN",1996,7,9,"Brazil","Minas Gerais","São Roque de Minas",,,,,"Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFU","HUFU","8191","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Barneby, R.",1996,"","1921","","Romero, R.; Nakajima, J.N.; Zanini, E. & Cesar, R.",1995,3,17,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Morro próximo a sede administrativa.",,,"Arbusto ca. 0,5m. Cálice esverdeado - amarelado. Corola e estames amarelados.; Campo rupestre.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UFU","HUFU","8307","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Barneby, R.",1995,"","831","","Nakajima, J.N.; Romero, R.; Cesar, R. & Zanini, E.",1995,3,18,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada do Chapadão Diamante.",,,"Arbusto ca. 1m. Cálice verde - amarelado. Corola e estames amarelados.; Campo rupestre.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","185636","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",,,"","831","","Nakajima, J.N.",1995,3,18,"Brazil","Minas Gerais","São Roque de Minas","Estrada do Chapadão Diamante, PARNA Serra da Canastra.",,,"Campo rupestre.","Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","NY","NY","00978484","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","R. C. Barneby",1995,"","831","","J. N. Nakajima",1995,3,18,"Brazil","Minas Gerais",,"Estrada do Chapadão Diamante,  PARNA Serra da Canastra.",-20.2494098380551,-46.3659792666644,,"Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","NY","NY","00978459","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","R. C. Barneby",1995,"","1921","","R. Romero",1995,3,17,"Brazil","Minas Gerais",,"Morro próximo a sede administrativa, PARNA Serra da Canastra.",-20.2494098380551,-46.3659792666644,,"Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","USP","SPF","226245","Chamaecrista nuda","","Fabaceae","Chamaecrista","nuda","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Barneby, RC",1995,"","831","","Nakajima, JN",1995,3,18,"Brazil","Minas Gerais","São Roque de Minas","Parna da Serra da Canastra. Estrada do Chapadão Diamante.",,,,"Chamaecrista nuda (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
