"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","209091","Chamaecrista pteropoda","","Fabaceae","Chamaecrista","pteropoda","","Barneby","J.G.Rando",2019,"","389","","Silva, L.R.",2013,11,26,"Brazil","Pernambuco","Goiana","Ponta de Pedras. Mata de restinga.",,,,"Chamaecrista pteropoda Barneby","",,"GBIF"
"","UEFS","HUEFS","44189","Chamaecrista pteropoda","","Fabaceae","Chamaecrista","pteropoda","","Barneby","M.Cota",2019,"","68571","","Hatschbach, G.",1998,10,17,"Brazil","Bahia","Olivença","Parque dos Orixás.",,,"Restinga arbóres.","Chamaecrista pteropoda Barneby","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","61568","Chamaecrista pteropoda","","Fabaceae","Chamaecrista","pteropoda","","Barneby",,1999,"","63155","","Hatschbach, GM; Hatschbach, M; Motta, JT",1995,8,19,"Brazil","Bahia","Jandaíra","Rodovia Linha Verde, 10-20km S de Abadia",,,"Pequena árvore, 4m., flor amarela (trunciflora) mata pluvial.; Junto a córrego","Chamaecrista pteropoda Barneby","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","88134","Chamaecrista pteropoda","","Fabaceae","Chamaecrista","pteropoda","","Barneby","G. Hatschbach",,"","63155","","G. Hatschbach",1995,8,19,"Brazil","Bahia","JANDAÍRA","Rodovia Linha Verde, 10-20Km ao S de Abadia. Junto a córrego.",,,,"Chamaecrista pteropoda Barneby","",,"GBIF"
"","USP","SPF","147000","Chamaecrista pteropoda","","Fabaceae","Chamaecrista","pteropoda","","Barneby",,,"","63155","","Hatschbach, G; Hatschbach, M; Motta, JT",1995,8,19,"Brazil","Bahia","Jandaíra","Rodovia Linha verde, 10-20 Km. S de Abadia.",,,"Pequena árvore, 4 m., flor amarela (trunciflora) mata pluvial, Junto a córrego.","Chamaecrista pteropoda Barneby","",,"GBIF"
"","UEFS","HUEFS","64743","Chamaecrista pteropoda","","Fabaceae","Chamaecrista","pteropoda","","Barneby",,,"","63155","","Hatschbach, G.",1995,8,19,"Brazil","Bahia","Jandaíra","Rodovia Linha Verde, 10-20km S de Abadia.",,,"Mata pluvial. Junto a córrego.","Chamaecrista pteropoda Barneby","",,"GBIF"
"","UEFS","HUEFS","116024","Chamaecrista pteropoda","","Fabaceae","Chamaecrista","pteropoda","","Barneby",,,"","63155","","Hatschbach, G.",1995,8,19,"Brazil","Bahia","Jandaíra","Rodovia Linha Verde, 10-20km S de Abadia.",,,,"Chamaecrista pteropoda Barneby","",,"GBIF"
"","MBM","MBM","180910","Chamaecrista pteropoda","","Fabaceae","Chamaecrista","pteropoda","","Barneby","Barneby, R",1996,"","63155","","Hatschbach, G",1995,8,19,"Brazil","Bahia","Jandaíra","Rodovia Linha Verde, 10-20 km S de Abadia",,,"Pequena árvore, 4m, flor amarela (trunciflora). Mata pluvial junto à córrego; Pequena árvore, 4m, flor amarela (trunciflora).; Mata pluvial, junto a córrego.","Chamaecrista pteropoda Barneby","",,"GBIF"
"","JBRJ","RB","RB00539523","Chamaecrista pteropoda","","Fabaceae","Chamaecrista","pteropoda","","Barneby",,,"","63155","","Hatschbach, G.; M. Hatschbach & T.J. Motta",1995,8,19,"Brazil","Bahia","Jandaíra","Rodovia Linha Verde, 10-20 km S de Abadia.",,,"Pequena árvore 4 m de alt. Flor amarela (trunciflora). Mata pluvial, junto a córrego.","Chamaecrista pteropoda Barneby","",,"GBIF"
"","NY","NY","39362","Chamaecrista pteropoda","","Fabaceae","Chamaecrista","pteropoda","","Barneby",,,"","63155","","G. G. Hatschbach",1995,8,19,"Brazil","Bahia",,"Rodovia Linha Verde, 10-20 km S de Abadia (Mun. Jandaíra)",,,,"Chamaecrista pteropoda Barneby","",,"GBIF"
