"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","124204","Chamaecrista spinulosa","","Fabaceae","Chamaecrista","spinulosa","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Souza, AO",2017,"","1433","","Rodrigues, RS; Belinello, R; Flores, AS; Barbosa, AR; Simões, AO",2002,2,11,"Brazil","Goiás","Alto Paraíso de Goiás","Rod. GO 118, km 175, Borda de vereda, solo encharcado.",-14.073806,-47.507056,"Arbusto 3,0 m de altura, corola amarela.","Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","88086","Chamaecrista spinulosa","","Fabaceae","Chamaecrista","spinulosa","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Barneby, R.C.",1975,"","36852","","Mike Hopkins",1975,5,,"Brazil","Goiás",,"Chapada dos Veadeiros",,,,"Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UNICAMP","UEC","6387","Chamaecrista spinulosa","","Fabaceae","Chamaecrista","spinulosa","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Barneby, R",1975,"","36852","","Hatschbach, G",1975,5,25,"Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, Orla mata de galeria.",,,"Arbusto com até 2,0 m, flor amarela.","Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","USP","SPF","19203","Chamaecrista spinulosa","","Fabaceae","Chamaecrista","spinulosa","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Rando, JG",2009,"","36852","","Hatschbach, G",1975,5,25,"Brazil","Goiás","Cavalcante","Chapada dos Veadeiros",,,,"Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","US","Botany","2839343","Chamaecrista spinulosa","","Fabaceae","Chamaecrista","spinulosa","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",,,"","36852","","G. Hatschbach",1975,5,25,"Brazil","Goiás",,"Chapada dos veadeiros",,,,"Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","NY","NY","00978992","Chamaecrista spinulosa","","Fabaceae","Chamaecrista","spinulosa","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",,,"","36852","","G. G. Hatschbach",1975,5,25,"Brazil","Goiás",,"Chapada dos Veadeiros",-13.8011790502698,-47.4585377147004,,"Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"",,"Botany","WAG.1625777","Chamaecrista spinulosa","","Fabaceae","Chamaecrista","spinulosa","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",,,"",,"","Hatschbach GG",1975,5,25,"Brazil",,,"Chapada dos Veadeiros (mun. Cavalcante) Goias.",,,,"Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","Instituto de Botânica","SP","151996","Chamaecrista spinulosa","","Fabaceae","Chamaecrista","spinulosa","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Mamede, MCH",2007,"","36852","","Hatschbach, G",1975,5,25,"Brazil","Goiás","Cavalcante","Chapada dos Veadeiros",,,,"Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","MNHN","P","P02436080","Chamaecrista spinulosa","","Fabaceae","Chamaecrista","spinulosa","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby",,,"",,"","Irwin, H.S.|Harley, R.M.|Smith, G.L.",1971,3,23,"Brazil","goias",,,,,,"Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
"","UnB","UB","1757","Chamaecrista spinulosa","","Fabaceae","Chamaecrista","spinulosa","","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","Barneby, R",,"","33035","","Irwin, HS; Harley, RM; Smith, GL",1971,3,23,"Brazil","Goiás",,"Ca. 30 km N de Alto Paraíso",,,"Tipo.; Árvore 6m x 8cm. Flor amarela. Fruto verde-avermelhado.; Cerrado. Solo: Rochoso.","Chamaecrista spinulosa (H.S.Irwin & Barneby) H.S.Irwin & Barneby","",,"GBIF"
