"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","77306","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","IAC Coutinho",,"","1080","","M. Fonseca",1997,11,29,"Brazil","Bahia","PRADO","Pai Inácio - N.",-17.266667,-39.183333,,"Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","MO","MO","3247833","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","Barneby",1985,"","Vilhena 976","","R. Vilhena|Edith L. Taylor|George E. Schatz|R. Thimothy|Carlos S. Rosário|M.R. dos Santos",1983,3,10,"Brazil","Maranhão",,"Maranhao, estrada a direita entre Grajaú e Arame. km 52.",,,,"Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","US","Botany","3225139","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby",,,"","976","","R. Vilhena, E. L. Taylor, G. E. Schatz, T. Richard, C. S. Rosário & M. R. Santos",1983,3,10,"Brazil","Maranhão",,"Between grajau and arame",,,,"Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","NY","NY","00978977","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","R. C. Barneby",1985,"","976","","R. Vilhena",1983,3,10,"Brazil","Maranhão",,"Estrada a direita entre Grajaú e Arame. Km 52",,,,"Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","K","Herbarium","K000835384","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","Barneby, R.",,"","976","","Rosário, C.; Schatz, G.C.; Richard, T.; Taylor, E.; Santos, M.R.; Vilhena, R.",1983,3,10,"Brazil",,,"Estrada a direita entre Grajaú e Arame. Km 52.",,,"Plantas da Amazônia.","Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","MO","MO","3247973","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","Barneby",1985,"","Taylor 1319","","Edith L. Taylor|Carlos S. Rosário|J.B.F. da Silva",1983,4,23,"Brazil","Maranhão",,"Municipio Grajau; Mondelandia (42km. N from BR226 on road that leaves highway E of Grajau). terra devoluta of Sr. Pesoa (sp?), 4 km. W of Mondelandia on path that runs to Rio Grajau and ultimately to Balaio. 1000 hectares of transition forest on ridge above capoiera sout of the path. Transition forest is relatively undisturbed short wit a few large emergents. Level, relatively undisturbed (some charcoal in soil), understory open, some areas of tree fall with many vines. The only mature forest in the entire region; the rest has been clearcut. Pariana dominates understory; Rutaceae and Rubiaceaem subcanopy; Cenostigma, Duguetia, Annoa, Cassia, Dipteryx, Guabiraba (Myrtaceae) canopy.",,,,"Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","US","Botany","3197310","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby",,,"","1319","","E. L. Taylor, C. S. Rosário & J. B. F. Silva",1983,4,23,"Brazil","Maranhão",,"W of mondelandia",,,,"Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","NY","NY","00978976","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","R. C. Barneby",1985,"","E1319","","E. L. Taylor",1983,4,23,"Brazil","Maranhão",,"Mondelandia (42 km N from BR 226 on road that leaves highway E of Grajau); terra devoluta of Sr. Pesoa (sp?), 4 km W of Mondelandia on path that runs to Rio Grajau and ultimately to Balaio, 1000 hectares of transition forest on ridge above capoeira south of path.",-5.82291479592426,-46.1389433428757,,"Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","K","Herbarium","K000835385","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","Barneby, R.",,"","E1319","","Rosario, C.S.; Taylor, E.L.; Silva, J.B.F.",1983,4,23,"Brazil",,"Grajaú","Mondelandia (42Km N from BR-226 on road that leaves highway E of Grajau); terra devoluta of Sr. Pesoa (sp?), 4Km W of Mondelandia on path that runs to Rio Grajaú and ultimately to Balaio.",,,"Programa Flora. Fieldwork supported by the National Science Foundation and the Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq). Wood sample.","Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","7973","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","Fernandes, A.",1994,"","s.n.","","Fernandes, A.",1980,2,22,"Brazil","Maranhão",,"Entre São João dos Patos e Passagem Franca. Substrato arenoso",,,"Arbórea, 7-9m, independente, rara, folhas alternas. Flor Amarela. Fruto Marrom; Mata","Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","8028","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","Fernandes, A.",1994,"","s.n.","","Fernandes, A.",1980,2,23,"Brazil","Maranhão",,"Entre São João dos Patos e Passagem Franca. Substrato arenoso",,,"Arbórea, 5-7m, independente, rara, folhas alternas. Flor Amarela. Fruto Marrom; Mata","Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","139479","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby",,,"","EAC8028","","Fernandes, A.",1980,2,23,"Brazil","Maranhão",,"Entre São joão dos Patos e Passagem Franca.",,,"Substrato arenoso.","Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","UEFS","HUEFS","140624","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby",,,"",,"","Fernandes, A.",1980,2,22,"Brazil","Maranhão",,"Entre São João dos Patos e Passagem Franca. Substrato arenoso.",,,"Mata.","Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Regional do Cariri","HCDAL","7264","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","Fernandes, A.",1994,"","HCDAL7264","","Fernandes, A.; Martins, P.",1980,2,22,"Brazil","Maranhão",,"Entre São João dos Patos e Passagem Franca",,,"Arbórea ca 7-9m, independente, rara; flor amarela; fruto marrom; folhas alternas.","Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","7804","Chamaecrista subpeltata","","Fabaceae","Chamaecrista","subpeltata","","(Rizzini) H.S.Irwin & Barneby","Fernandes, A.",1994,"","s.n.","","Martins, P.",1979,12,15,"Brazil","Maranhão","Passagem Franca","Entre São João dos Patos e Passagem Franca. Substrato arenoso",,,"Arbórea, 5-7m, independente, pouco frequente, folhas alternas. Flor Amarela.; Mata","Chamaecrista subpeltata (Rizzini) H.S.Irwin & Barneby","",,"GBIF"
