"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFV","VIC","38572","Chamaecrista unijuga","","Fabaceae","Chamaecrista","unijuga","","(Benth.) Conc. et al.","Coutinho, Í.A.C.",2012,"","111","","Coutinho, Í.A.C.; Terra, V.",2012,8,27,"Brazil","Sergipe","Santo Amaro das Brotas",,,,"Restinga, solo arenoso, peciolo verde, folhas crassas.","Chamaecrista unijuga (Benth.) Conc. et al.","",,"GBIF"
"","UFV","VIC","38573","Chamaecrista unijuga","","Fabaceae","Chamaecrista","unijuga","","(Benth.) Conc. et al.","Coutinho, Í.A.C.",2012,"","109","","Coutinho, Í.A.C.; Terra, V.",2012,8,27,"Brazil","Sergipe","Santo Amaro das Brotas",,,,"Restinga, solo arenoso, peciolo verde, folhas crassas.","Chamaecrista unijuga (Benth.) Conc. et al.","",,"GBIF"
"","UFV","VIC","38574","Chamaecrista unijuga","","Fabaceae","Chamaecrista","unijuga","","(Benth.) Conc. et al.",,2012,"","110","","Coutinho, Í.A.C.; Terra, V.",2012,8,27,"Brazil","Sergipe","Santo Amaro das Brotas",,,,"Restinga, solo arenoso, peciolo verde, folhas crassas.","Chamaecrista unijuga (Benth.) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","180472","Chamaecrista unijuga","","Fabaceae","Chamaecrista","unijuga","","(Benth.) Conc. et al.",,,"","240","","Matos, E.N.de",2011,7,25,"Brazil","Bahia","Jandaíra","Fazenda INVISA.",-11.691667,-49.496389,"Campestre e moitas","Chamaecrista unijuga (Benth.) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","101773","Chamaecrista unijuga","","Fabaceae","Chamaecrista","unijuga","","(Benth.) Conc. et al.","A.S.Conceição",2008,"","417","","Conceição, S.F.",2005,11,17,"Brazil","Bahia","Conde","Siribina, Cavalo Russo.",-12.315,-37.831389,"Restinga.","Chamaecrista unijuga (Benth.) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","91850","Chamaecrista unijuga","","Fabaceae","Chamaecrista","unijuga","","(Benth.) Conc. et al.","A.S.Conceição",2007,"","1","","Ribeiro, A.",2004,4,5,"Brazil","Sergipe","Santo Amaro das Brotas","Restingas do Lado direito do Rio Pomongas.",,,"Areias brancas de baixadas.","Chamaecrista unijuga (Benth.) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","101573","Chamaecrista unijuga","","Fabaceae","Chamaecrista","unijuga","","(Benth.) Conc. et al.","L.P.de Queiroz",2011,"","586","","Ribeiro, A.",2004,6,,"Brazil","Sergipe","Serra de Itabaiana",,,,"Areias brancas.","Chamaecrista unijuga (Benth.) Conc. et al.","",,"GBIF"
"","UEFS","HUEFS","112671","Chamaecrista unijuga","","Fabaceae","Chamaecrista","unijuga","","(Benth.) Conc. et al.",,2007,"","820","","Conceição, A.S.",2004,9,5,"Brazil","Sergipe","Pirambu","Estrada Pirambu - São José da Caatinga, ca. 8,2 km saindo de Pirambu, Fazenda Dr. Carlos, Mata lado direito da cancela.",-10.682222,-36.880833,"Mata de restinga.","Chamaecrista unijuga (Benth.) Conc. et al.","",,"GBIF"
"","Cenargen","CEN","65442","Chamaecrista unijuga","","Fabaceae","Chamaecrista","unijuga","","(Benth.) Conc. et al.","A. S. Conceição",2004,"","820","","A. S. Conceição",2004,9,5,"Brazil","Se","PIRAMBU","Serra de Itabaiana. Área da sede do IBAMA.",-10.682222,-36.880833,"Ramificado, cerca de 20 cm a partir do solo. Folhas verdes cartáceas, discolores. Flores com sépalas amarelas com tons vináceos, pétalas e estames amarelos, ovário e estigma verde claros. Frutos verdes com tons vináceos. Início da","Chamaecrista unijuga (Benth.) Conc. et al.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","76476","Chamaecrista unijuga","","Fabaceae","Chamaecrista","unijuga","","(Benth.) Conc. et al.",,,"","820","","Conceição, AS; Stapf, MNS",2004,9,5,"Brazil","Sergipe","Pirambu","Estrada Pirambu - São José da Caatinga, ca. 8,2km saindo de Pirambu, Fazenda Dr. Carlos, Mata lado direito da cancela",-10.682222,-36.880833,"até 2m alt., ramificado, ca. 20cm alt., a partir do solo. Folhas verdes, cartáceas, discolores. Flores com sépalas amarelas com tons vináceos, pétalas amarelas, estames amarelos, ovário e estigma verde-claros. Frutos jovens verdes com","Chamaecrista unijuga (Benth.) Conc. et al.","",,"GBIF"
