"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01391894","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","H.C. Lima",,"","2189","","Castro, W.; Oliveira, E.C.; Cunha-Neto, J.P.; Martins, J.C.; Silva, L.S.",2017,8,20,"Brazil","Rondônia","Vale do Anari","Reserva Biológica do Jaru, Unidade amostral 1 (Ponto amostral Oeste). Reserva Biológica do Jaru",-9.590555,-61.650556,"Árvore 40 m, DAP=820 mm  Placa:#422. Estéril","Copaifera piresii Ducke","",,"GBIF"
"","Universidade Federal de Mato Grosso","CNMT","5066","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","Giacoppini, D.R",2015,"","380","","Santos, J.P.; França, A.L.; Giacoppini, D.R.;Silva, G.M.X.",2015,2,,"Brazil","Mato Grosso","Cotriguaçu","Fazenda São Nicolau.",-9.483,-55.819278,"Projeto Caracterização da Flora e Modelos de Restauração de Áreas de Preservação Permanete (APP'S) Degradadas no Estado do Mato Grosso.","Copaifera piresii Ducke","",,"GBIF"
"","UNEMAT","HERBAM","9401","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","Silva, DR",2014,"","C107359","","Soares-Lopes, C R A; Benevides, L.C. & Freire, M.R.O.",2014,5,12,"Brazil","Mato Grosso","Alta Floresta","Área estrutural da UHE Salto Apiacás, margem direi, Afloramento Rochoso.",,,,"Copaifera piresii Ducke","",,"GBIF"
"","UNEMAT","HERBAM","9508","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","Gvasconcelos",2014,"","CB 087466","","Soares-Lopes, C.R.A.; Benevides, L.C. & Freire, M.R.O.",2014,5,26,"Brazil","Mato Grosso","Alta Floresta","PCH Cabeça-de-boi, área B1, Afloramento Rochoso.",,,,"Copaifera piresii Ducke","",,"GBIF"
"","UNEMAT","HERBAM","9549","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","Silva, DR",2014,"","CT 047507","","Soares-Lopes, C.R.A.; Benevides, L.C.; Freire, M.R.O. & Macedo, D.G.",2014,5,29,"Brazil","Mato Grosso","Alta Floresta","Área estrutural da PCH Cabeça-de-boi, margem esque, Área arenosa a margem do rio.",,,,"Copaifera piresii Ducke","",,"GBIF"
"","UNEMAT","HERBAM","9704","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","Gvasconcelos",2014,"","CD 617662","","Soares-Lopes, C.R.A.; Macedo, D.G.",2014,6,16,"Brazil","Mato Grosso","Alta Floresta","Área de empréstimo da PCH da Fazenda, ilha da área, Floresta ombrófila.",,,,"Copaifera piresii Ducke","",,"GBIF"
"","UNEMAT","HERBAM","9966","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","P. Assunção",2014,"","PA 37027924","","Soares-Lopes, C R A; Assunção, P.A.C.L.",2014,8,12,"Brazil","Mato Grosso","Alta Floresta","PCH Cabeça-de-boi, área próxima ao refeitório, mar, Mata Ciliar.",,,,"Copaifera piresii Ducke","",,"GBIF"
"","UNEMAT","HERBAM","10083","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","P. Assunção",2014,"","CD 1338041","","Soares-Lopes, C.R.A.; Pereira, S.; Dos Reis, O.; Soares, D.S.; Trevisan, L.R.; Fernandes, E.; Rodrigue",2014,9,6,"Brazil","Mato Grosso","Alta Floresta","PCH Cabeça-de-boi, margem esquerda, B1, Afloramento rochoso",,,,"Copaifera piresii Ducke","",,"GBIF"
"","Universidade Federal de Mato Grosso","CNMT","4837","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","Haroldo C.L.",2013,"","7738","","Haroldo, C.L.; Bonadeu, A.K.; Koch, L.E.A; Silva, S.; Maciel, L.; Lima S.R.",2013,8,23,"Brazil","Pará","Novo Progresso","Serra do Cachimbo, BR-163, Km 93.",-8.825556,-54.967778,"Frutos avermelhados e sementes com arilo amarelo. <ll>dwc_commonname:</ll> Copaiba. Doação herbário RJ - Jardim Botânico do Rio de Janeiro. RB 582934","Copaifera piresii Ducke","",,"GBIF"
"","JBRJ","RB","RB00800918","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","Haroldo C. de Lima",2013,"","7738","","Haroldo C. de Lima; F. Bonadeu, A.K. Koch, L.E.A. Silva, S. Maciel, L. Lima & S.R. de Jesus",2013,8,23,"Brazil","Pará","Novo Progresso","Serra do Cachimbo, BR-163,Km 93. Campinarana.",-8.825556,-54.967778,"Árvore pequena com 7 metros de altura. Copa larga com 10 m diametro. Tronco com casca fissurada e pardacenta. Frutos avermelhados e sementes com arilo amarelo. Frequente. Material para DNA. Fotos HCL & FB.","Copaifera piresii Ducke","",,"GBIF"
"","Cenargen","CEN","73591","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","M. Simon",2017,"","15121","","Glocimar Pereira-Silva",2010,3,22,"Brazil","Ro","PORTO VELHO","Cachoeira de Jirau.",-9.326944,-64.726388,"Botges florais verde ainda não abertos. Área de influência direta (lago).","Copaifera piresii Ducke","",,"GBIF"
"","Cenargen","CEN","89124","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","J. B. Bringel",,"","344","","João Bernardo de Azevedo Bringel Jr.",2007,6,6,"Brazil","Pa","ALTAMIRA","Serra do Cachimbo; BR-163, trecho entre Guarantã do Norte (MT) e Castelo dos Sonhos (PA).",,,"Sementes negra.","Copaifera piresii Ducke","",,"GBIF"
"","K","Herbarium","K000834488","Copaifera piresii","","Fabaceae","Copaifera","piresii","","Ducke","Silva, R.C.V.M.",,"","8946","","Boise, J.; Nee, M.; Lopes, E.A.; Lima, R.P.; Ferreira, C.A.C.; Oliveira, J.G.; Coelho, J.A.",1987,4,29,"Brazil",,"Alvorada d´Oeste","BR-429 entre o Rio Machado e a cidade de Alvorada do Oeste a 22 km da cidade.",-11.25,-62.33,"Plantas coletadas em Rondônia","Copaifera piresii Ducke","",,"GBIF"
