"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","140015","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","Souza, V.C.",2017,"","40875","","Souza, V.C.",2017,7,19,"Brazil","Bahia","Pindaí","Cerca de 32 km de Pindaí em direção a Brejinho das Ametistas (BA-156). Cerrado.",,,"Arbusto, ca. 2 m alt. Vegetativo.","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133494","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","Miranda, AM",2018,"","72","","Martins, K; Figueredo, A",2017,11,11,"Brazil","Bahia","São Desidério",,,,"ca. 5 m alt.; caule acinzentado, ""típico de myrtaceae""; folhas coriáceas; flores creme-amarelada com quatro sépalas. Ocasional.; Gerais.","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","JBRJ","RB","RB01400136","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","A.M.Miranda",2018,"","72","","K.Martins; A.Figueredo",2017,11,11,"Brazil","Bahia","São Desidério",,,,"Arvoreta ca. 5 mt alt. Caule acinzentado. ´´Típico de Myrtaceae´´. Folhas coriáceas, flores creme-amarelada com quatro sépalas.Ocasional","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","UEFS","HUEFS","246312","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz",,,"","72","","Martins, K.",2017,11,11,"Brazil","Bahia","São Desidério","Gerais.",,,,"Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","22060","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","A.M.Miranda",2018,"","72","","K.Martins; A.Figueredo",2017,11,11,"Brazil","Bahia","São Desidério",,,,"Arvoreta ca. 5 m alt.; caule acinzentado, #?#típico de myrtaceae#?#; folhas coriáceas; flores creme-amarelada com quatro sépalas. Ocasional.","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","UEFS","HUEFS","243582","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","L.P.de Queiroz",2018,"","486","","Souza, I.M.",2017,12,18,"Brazil","Bahia","Palmeiras","Vale do Guiné",,,,"Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","UEFS","HUEFS","205329","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz",,,"","1508","","Neves, D.M.",2013,7,29,"Brazil","Bahia","Coribe","Área TreeAtlan CerBA08",-13.874722,-44.471944,"Cerrado stricto sensu","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","UFRB","HURB","20779","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","J.Costa",,"","1041","","Ceolin, L.M.",2011,10,8,"Brazil","Bahia","Inhaúmas","Próximo a BR 135;",,,"BRBA 2625.","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","UEFS","HUEFS","156455","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz",,,"","14437","","Queiroz, L.P.de",2009,5,1,"Brazil","Bahia","Barreiras","Cerrado no entorno da Cachoeira do Acaba Vidas.",-11.885833,-45.596667,"Cerrado.","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","62104","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","L.P. de Queiroz",2011,"","574","","E.R. de Souza; B.M. Mota, PLR de Mor; et al.",2009,12,12,"Brazil","Bahia","Mucugê","Estrada: Piatã, a ca. de 25 km de Piatã",,,"Arbusto, ca. 2,0m alt. Folhas coriáceas. Flores com sépalas castanhas e anteras cremes. Frutos maduros castanhos. ""Material para DNA"".","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","UNICAMP","UEC","159200","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","Queiroz, LP",2011,"","574","","Souza, ER; Motta, BM; Moraes, PLR; Cardoso, D; et al.",2009,12,12,"Brazil","Bahia","Mucugê","Estrada de Piatã, cerca de 25 Km de Piatã",,,"Árvore ca. 2,0m alt. Folhas coráceas. Flores com sépalas castanhas e anteras cremes. Frutos maduros castanhos. Material para DNA.","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","UEFS","HUEFS","169918","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","L.P.de Queiroz",2011,"","574","","Souza, E.R.de",2009,12,12,"Brazil","Bahia","Mucugê","Estrada:Piatã, cerca de 25 Km de Piatã.",,,,"Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","UEFS","HUEFS","173241","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","J.Costa",2011,"","40","","Alves, L.J.",2009,12,13,"Brazil","Bahia","Urandi","Estrada para Licínio de Almeida, 37km após a localidade de Brejinhos das Ametistas.",,,"Cerrado.","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","UFG","UFG","46727","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","Queiroz, L.P.",2011,"","574","","Souza, E.R.; et al.",2009,12,12,"Brazil","Bahia","Mucugê",,,,,"Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","USP","SPF","188399","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","Rando, JG",2009,"","9272","","Paula-Souza, J",2007,10,10,"Brazil","Bahia","Luís Eduardo Magalhães",,-12.17,-45.652222,,"Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
"","Cenargen","CEN","62848","Copaifera sabulicola","","Fabaceae","Copaifera","sabulicola","","J.Costa & L.P.Queiroz","B. M. T. Walter",,"","10593","","Glocimar Pereira-Silva",2006,6,11,"Brazil","To","PALMEIROPOLIS","Balsa do coronel Valente, Palmeirópolis Km 08.",-13.030833,-48.190277,"Área de influência indireta.","Copaifera sabulicola J.Costa & L.P.Queiroz","",,"GBIF"
