"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","IPA","IPA","60959","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","Queiroz, L.P. de",2006,"","478","","Jost, T.; Ribeiro, T.; Tourinho, R.; Ribeiro, T.; Tourinho, R.",2002,4,8,"Brazil","Minas Gerais","Porteirinha","Morro da torre de telefone, a 5km da cidade de Porteirinha",-15.706667,-43.038611,"Arbusto ereto com ca. 2,5m de altura. folíolos levemente discolores, pubescentes. Flores roxas, cálice marrom","Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","13077","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","G. P. Lewis",,"","177","","L. A. Mattos-Silva",1978,4,19,"Brazil","Bahia","ITAPETINGA","Km 6 BR-415, trecho Itapetinga/Itororó. Faz. Barra da Negra.",,,,"Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","US","Botany","3013881","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.",,,"","177","","L. A. Mattos Silva, T. S. Santos & J. Hage",1978,4,19,"Brazil",,,"BA. Km 6 da Rod BR 415, trecho Itapetinga/Itororó, Faz Barra da Negra.",,,,"Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","19237","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","G. P. Lewis",,"","20004","","R. M. Harley",1977,3,25,"Brazil","Bahia","RIO DE CONTAS","13Km a E da Vila do Rio de Contas, Rod. p/ Marcolino Moura.",-13.583333,-41.75,,"Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","NY","NY","585968","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","M. Lavin",1986,"","20004","","R. M. Harley",1977,3,25,"Brazil","Bahia",,"Serra do Rio de Contas. 13 km E of the town of Vila do Rio de Contas on the road to Marcolino Moura",-13.58,-41.75,,"Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","K","Herbarium","K000188339","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","Lewis, G.P.",,"","20004","","Mayo, S.J.; Santos, T.S.; Storr, R.M.; Pinheiro, R.S.; Harley, R.M.",1977,3,25,"Brazil",,,"13km E of the town of Vila do Rio de Contas on the road to Marcolino Moura",-13.58,-41.75,,"Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","K","Herbarium","K000627894","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","Lewis, G.P.",1983,"","20004","","Harley, R.M.",1977,3,25,"Brazil",,,"Estado da Bahia; Serra dp Rio de Contas; 13km. East of the town of Vila do Rio de Contas on the road to Marcolino Moura",-13.58,-41.83,,"Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","5263","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","G. P. Lewis",,"","420","","T. S. dos Santos",1969,10,23,"Brazil","Bahia","ITAJÚ DO COLÔNIA","12Km da estr. em direcao a Feirinha, a W. Marg. esq. do Rio Corró.",,,,"Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","BR",,"BR0000006584450","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.",,,"","S.N.","","Wied M.",1827,,,"Brazil",,,,,,,"Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","MBM","MBM","141266","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","Queiróz, LP de",,"","55175","","Hatschbach, G",,,,"Brazil","Bahia","Bom Jesus da Lapa","Rio das Rãs",,,,"Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","JBRJ","RB","RB00171741","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","M. Lavin",2006,"","177","","L A M Silva; T S SAntos",,,,"Brazil","Bahia","Bahia","km 6 da RO BR 415 trecho Itapetinga/Itororo - Fazenda Barra da Negra.",,,"Arbusto de 3m, flores verdes com sépalas roxas, legumes verdes com cerca de 10 a 13 sementes","Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","JBRJ","RB","RB00171765","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","M. Lavin",2006,"","420","","T S Santos",,,,"Brazil","Bahia","Bahia","Santa Cruz da Vitória km 18 da estrada a Itaju da Colonia.",,,"Arbusto de 1m, flores de estandarte vinho, margens amarelas, alas verde","Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"","JBRJ","RB","RB00171918","Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.","M. Lavin",2006,"","20004","","R M Harley",,,,"Brazil","Bahia","Rio de Contas","km 13 E of the town of Vila do Rio de Contas on the road to Marcolino Moura.",,,"Small tree 2m, leaflets mid green paler below, softly tomwentose, pods green, corolla white","Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
"",,,,"Coursetia vicioides","","Fabaceae","Coursetia","vicioides","","(Nees & Mart.) Benth.",,,"",,"",,,,,"Brazil",,,"Brazil:Bahia, Itapetinga-Itororo",-15.21,-40.1,,"Coursetia vicioides (Nees & Mart.) Benth.","",,"GBIF"
