"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01152861","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos","H.C. Lima",2016,"","1526","","L.J.T. Cardoso; P.R.C. Farag; O. Samor & P.O.M. Samor",2016,6,19,"Brazil","Bahia","Morro do Chapéu","Divisa  com  o  Município  de  Várzea  nova,  Serra  da  Babilônia,  Faz.  Bom  Jesus,  futura  área  de  implantação  do  Parque  Eólico  da  Serra  da  Babilônia.  Área  da  sub-estação.  Coordenadas  aroximadas  do  indivíduo  (WGS84).  Savana-estépica  arborizada  densa.",-11.100833,-41.331111,"Folhas membbranáceas e discolores; frutos maduos secos, coloração pelácea","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","UEFS","HUEFS","251040","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos",,,"","1961","","Nascimento, F.H.F.",2012,3,15,"Brazil","Bahia","Itaberaba","Gameleira. Fazenda Leão dos Brejos.",-12.4125,-40.526667,"Mata Atlântica ""lato sensu"". Floresta Estacional Semidecidual.","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","UEFS","HUEFS","195308","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos","L.P.Queiroz",2016,"","155","","Marinho, L.C.",2011,10,30,"Brazil","Bahia","Tanhaçu","Floresta Nacional Contendas do Sincorá.",,,,"Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","UEFS","HUEFS","161856","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos","L.P.de Queiroz",2011,"","14802","","Queiroz, L.P.de",2010,5,27,"Brazil","Bahia","Campo Formoso","Estrada Taquari para Delfino, ca. 26 Km E de Delfino.",-10.381944,-40.971111,"Caatinga arbustiva.","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","JBRJ","RB","RB00606034","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos","M. Aparecida da Silva & B. A. S. Pereira",2009,"","7029","","M. Aparecida da Silva; F. C. Pinheiro",2009,4,5,"Brazil","Distrito Federal","Brasília","Folha: SD-23-Y-C. Reserva Ecológica do IBGE. Margem esquerda da estrada da Sede da Reserva para a guarita próximo à antiga cascalheira.",-15.95,-47.866667,"Arvoreta ca. 2,5 m de altura. Frutos imaturos verde-claros. Folhas glabras discolores verdes. Planta introduzida na área.","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","90813","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos","Guedes, ML",2009,"","16116","","Guedes, ML; Gomes, FS; Melo, E; Silva, BM da",2009,10,25,"Brazil","Bahia","Barra do Mendes","Irecê, Barra do Mendes divisa com Ipupiara., Morrão",-11.8075,-42.234722,"de ca 2 m de altura. Folhas com folíolos cartáceos. Flores amarelas. Frutos imaturos, verdes.","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","94891","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos","Guedes, ML; Medeiros, L",2010,"","6841","","Melo, E; Silva, BM; Guedes, ML; Gomes, FS",2009,10,25,"Brazil","Bahia","Barra do Mendes","Irecê, Povoado de São Bento",-11.8275,-42.136389,"1,5-2 m alt. Folhas membranáceas. Flores amarelas.; Proximidades do rio seco.","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","UEFS","HUEFS","158521","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos",,,"","16116","","Guedes, M.L.S.",2009,10,25,"Brazil","Bahia","Irecê","Barra do Mendes, Barra do Mendes divisa com Ipupiara., Morrão.",-11.8075,-42.234722,"Mata Ciliar.","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","UESC","UESC","12123","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos",,,"","1287","","Paixão, J.L.,",2007,2,2,"Brazil","Bahia","São Bento do Sul",,-13.322222,-41.766667,"Cerrado.; Arbusto semi-escandente.","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","UEFS","HUEFS","124149","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos",,,"","1287","","Paixão, J.L.",2007,2,2,"Brazil","Bahia","Abaíra","Estrada de Ouro verde-catolés, ca. 10,8 Km de Catolés.",-13.322222,-41.766667,"Cerrado.","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","JBRJ","RB","RB00521124","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos","R.D. Ribeiro",2010,"","499","","V.F. Mansano; L. Kohlman, M. Simonelli & L.F. Magnano",2007,12,16,"Brazil","Espírito Santo","Espírito Santo","Nova esperança. Fragmento próximo a Pedra da Botelha. Árvore 10m, beira da estrada, solo arenoso da mata de tabuleiros, frutos imaturos esverdeados e maduros castanhos.",-18.410556,-40.222222,,"Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","UEFS","HUEFS","105108","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos","L.P.de Queiroz & D.Cardoso",2006,"","12029","","Queiroz, L.P.de",2006,1,17,"Brazil","Bahia","Rui Barbosa","Serra do Orobó. Trilha para o Pátio das Orquídeas.",-12.3025,-40.487778,"Floresta estacional semidecídua.","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
"","JBRJ","RB","RB00476030","Dalbergia decipularis","","Fabaceae","Dalbergia","decipularis","","Rizzini & A.Mattos","J.E.Meireles",,"",,"","Equipe do Arboreto",2006,1,17,"Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto do JBRJ, Canteiro 32 D.",,,"Individuo 6667. árvore cerca de 12m de altura, material estéril","Dalbergia decipularis Rizzini & A.Mattos","",,"GBIF"
