"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","15979","Dalbergia glaucescens","","Fabaceae","Dalbergia","glaucescens","","(Mart. ex Benth.) Benth.","Geovane S. Siqueira",2019,"","7640","","Folli, D.A.",2019,6,18,"Brazil","Mg","BRUMADINHO","Córrego Feijão",,,"<ll>dwc_commonname:</ll> Jacarandá miúdo","Dalbergia glaucescens (Mart. ex Benth.) Benth.","",,"GBIF"
"","JBRJ","RB","RB01422404","Dalbergia glaucescens","","Fabaceae","Dalbergia","glaucescens","","(Mart. ex Benth.) Benth.","G.S. Siqueira",2019,"","7640","","D.A. Folli",2019,6,18,"Brazil","Minas Gerais","Brumadinho","Córrego do Feijão.   UTM: 595782-7777261.",,,,"Dalbergia glaucescens (Mart. ex Benth.) Benth.","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","31612","Dalbergia glaucescens","","Fabaceae","Dalbergia","glaucescens","","(Mart. ex Benth.) Benth.",,2016,"","s.n.","","VALEC",2015,4,9,"Brazil","Bahia","São Félix do Coribe",,,,"SIRGAS 2000 23S - N 8516595,37 / L 586705,04; Arbórea","Dalbergia glaucescens (Mart. ex Benth.) Benth.","",,"GBIF"
"","UEFS","HUEFS","215392","Dalbergia glaucescens","","Fabaceae","Dalbergia","glaucescens","","(Mart. ex Benth.) Benth.",,,"","1842","","Neves, D.M.",2014,5,27,"Brazil","Goiás","Corumbá de Goiás","Ca. 14 Km ao sul de Corumba de Goiás, beira da BR 414.",-15.987222,-48.830833,,"Dalbergia glaucescens (Mart. ex Benth.) Benth.","",,"GBIF"
"","Cenargen","CEN","89634","Dalbergia glaucescens","","Fabaceae","Dalbergia","glaucescens","","(Mart. ex Benth.) Benth.",,,"","1842","","Danilo M. Neves",2014,5,27,"Brazil","Go","CORUMBA DE GOIAS","Cerca de 12 km ao sul de Corumbá de Goiás. Beira da BR - 414.",-15.987222,-48.830833,"Árvore remanescente de mata semidecídua, desmatada para formação de pasto. Estéril. DNA. Doação Jardim Botânico do Rio de Janeiro - RB 607890. Proj. Niche evolution of South America trees and its consequences.","Dalbergia glaucescens (Mart. ex Benth.) Benth.","",,"GBIF"
"","JBRJ","RB","RB00889625","Dalbergia glaucescens","","Fabaceae","Dalbergia","glaucescens","","(Mart. ex Benth.) Benth.",,,"","1842","","Neves, D.M.; Simon, M.F.; Santos, A.A.",2014,5,27,"Brazil","Goiás","Corumbá de Goiás","ca. 14km ao sul de Corumba de Goias, Beira da BR 414.",-15.987222,-48.830833,,"Dalbergia glaucescens (Mart. ex Benth.) Benth.","",,"GBIF"
"","UEFS","HUEFS","185548","Dalbergia glaucescens","","Fabaceae","Dalbergia","glaucescens","","(Mart. ex Benth.) Benth.",,,"","3247","","Carvalho-Sobrinho, J.G.de",2012,1,18,"Brazil","Bahia","Morro do Chapéu","Fazenda São Judas.",-11.816667,-41.3,"Caatinga.","Dalbergia glaucescens (Mart. ex Benth.) Benth.","",,"GBIF"
"","UEFS","HUEFS","194057","Dalbergia glaucescens","","Fabaceae","Dalbergia","glaucescens","","(Mart. ex Benth.) Benth.","L.P.Queiroz",2014,"","33539","","Souza, V.C.",2009,5,9,"Brazil","Rio de Janeiro","Santa Maria Madalena","Subida para a Pedra Dubois.",,,"Floresta com transição para campo de altitude.","Dalbergia glaucescens (Mart. ex Benth.) Benth.","",,"GBIF"
"","UESC","UESC","12125","Dalbergia glaucescens","","Fabaceae","Dalbergia","glaucescens","","(Mart. ex Benth.) Benth.",,,"","1289","","Paixão, J.L.,",2007,2,2,"Brazil","Bahia","São Bento do Sul",,-13.305278,-41.804444,"Cerrado.; Árvore ca. 8m alt.","Dalbergia glaucescens (Mart. ex Benth.) Benth.","",,"GBIF"
"","UEFS","HUEFS","124148","Dalbergia glaucescens","","Fabaceae","Dalbergia","glaucescens","","(Mart. ex Benth.) Benth.",,,"","1289","","Paixão, J.L.",2007,2,2,"Brazil","Bahia","Abaíra","Estrada de Ouro verde-catolés, ca. 8,8 Km de Catolés.",-13.305278,-41.804444,"Cerrado.","Dalbergia glaucescens (Mart. ex Benth.) Benth.","",,"GBIF"
