"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","234507","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke","Ducke, A.",1938,"","s.n.","","Mike Hopkins",1937,1,25,"Brazil","Amazonas",,"Mata",,,,"Dicymbe amazonica Ducke","",,"GBIF"
"","MN","R","54521","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"",,"","Ducke, W.A.",1937,1,25,"Brazil","Amazonas","São Paulo de Olivença",,,,,"Dicymbe amazonica Ducke","",,"GBIF"
"","UEFS","HUEFS","161292","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"","RB35091","","Ducke, A.",1937,1,25,"Brazil","Amazonas","São Paulo de Olivença","São Paulo de Olivença.",,,"Mata.","Dicymbe amazonica Ducke","",,"GBIF"
"","S","VascularPlants","S-R-9125","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"","35091","","A. Ducke",1937,1,25,"Brazil","Amazonas",,"[Brazil] Civ. Amazonas, São Paulo de Olivença",,,"[Collection dates:] 25-1-1937 flor; III-1037 fruct","Dicymbe amazonica Ducke","",,"GBIF"
"","MPEG","HERBMG","MG196827","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"",,"","Strudwick, J.J.",1937,1,25,"Brazil","Amazonas",,"São Paulo de Olivenças",,,,"Dicymbe amazonica Ducke","",,"GBIF"
"","US","Botany","1694216","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"","35091","","A. Ducke",1937,1,25,"Brazil","Amazonas",,"Sao Paulo de Olivenca.",,,"Protologue cites a single collection (Ducke 35091) but includes two elements (syntypes) with different collection dates, 25 Jan 1937 (fl.) and Mar 1938 (fr).","Dicymbe amazonica Ducke","",,"GBIF"
"","US","Botany","1693967","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"","312","","A. Ducke",1937,1,25,"Brazil","Amazonas",,"São Paulo de Olivença (Rio Solimoes, civ. Amazonas)",,,"Protologue cites a single collection (Ducke 35091) but includes two elements (syntypes) with different collection dates, 25 Jan 1937 (fl.) and Mar 1938 (fr).  ""Coll. No."" 312, with ""Ducke 35091"" written on label","Dicymbe amazonica Ducke","",,"GBIF"
"","JBRJ","RB","RB00539562","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"",,"","Ducke, A.",1937,1,25,"Brazil","Amazonas","São Paulo de Olivença",,,,"Flor branca, base das pétalas avermelhadas. Árvore bastante grande. Mata de solo arenoso.","Dicymbe amazonica Ducke","",,"GBIF"
"","JBRJ","RB","RB00585674","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"",,"","Ducke, A.",1937,1,25,"Brazil","Amazonas","São Paulo de Olivença",,,,"Flor branca, base das pétalas avermelhadas. Árvore bastante grande. Mata de solo arenoso.","Dicymbe amazonica Ducke","",,"GBIF"
"","JBRJ","RB","RB00585675","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"",,"","Ducke, A.",1937,1,25,"Brazil","Amazonas","São Paulo de Olivença",,,,"Flor branca, base das pétalas avermelhadas. Árvore bastante grande. Mata de solo arenoso.","Dicymbe amazonica Ducke","",,"GBIF"
"","JBRJ","RB","RB00585673","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"",,"","Ducke, A.",1937,1,25,"Brazil","Amazonas","São Paulo de Olivença",,,,"Flor branca, base das pétalas avermelhadas. Árvore bastante grande. Mata de solo arenoso.","Dicymbe amazonica Ducke","",,"GBIF"
"","NY","NY","1185439","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"","s.n.","","W. A. Ducke",1937,1,25,"Brazil","Amazonas",,"São Paulo de Olivença",-3.471174,-68.935084,,"Dicymbe amazonica Ducke","",,"GBIF"
"","NY","NY","4332","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"","RB35091","","W. A. Ducke",1937,1,25,"Brazil","Amazonas",,"São Paulo de Olivença, Rio Solimões",-3.459084,-68.93558,,"Dicymbe amazonica Ducke","",,"GBIF"
"","NY","NY","4333","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"","RB35091","","W. A. Ducke",1937,1,25,"Brazil","Amazonas",,"São Paulo de Olivença, Rio Solimões",-3.459084,-68.93558,,"Dicymbe amazonica Ducke","",,"GBIF"
"","NY","NY","4331","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"","RB35091","","W. A. Ducke",1937,1,25,"Brazil","Amazonas",,"São Paulo de Olivença, Rio Solimões",-3.459084,-68.93558,,"Dicymbe amazonica Ducke","",,"GBIF"
"",,"Botany","U  0108190","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke","Cowan RS",,"",,"","Ducke A",1937,1,25,"Brazil","Amazonas",,"São Paulo de Olivença (Amazonas).",,,,"Dicymbe amazonica Ducke","",,"GBIF"
"",,"Botany","WAG.1637777","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"",,"","Ducke A",1937,1,25,"Brazil",,,"Sao Paulo de Oliveica (Aruzonas) in silva 'eatinga'altiore.",,,,"Dicymbe amazonica Ducke","",,"GBIF"
"","Instituto de Botânica","SP","429592","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke","Mamede, MCH",2011,"","s.n.","","Ducke, A",1937,1,25,"Brazil","Amazonas","São Paulo de Olivença","Mata de terra firme alta arenosa",,,"Árvore bastante grande, flores brancas, base das pétalas avermelhadas","Dicymbe amazonica Ducke","",,"GBIF"
"","MNHN","P","P03602349","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"",,"","Ducke, A.",1937,1,25,"Brazil",,,,,,,"Dicymbe amazonica Ducke","",,"GBIF"
"","K","Herbarium","K000264490","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke","Ducke, A.",,"","1938","","Ducke, A.",1937,1,25,"Brazil",,,"Sao Paolo de Olivenca",,,"March 1937 fruiting","Dicymbe amazonica Ducke","",,"GBIF"
"","K","Herbarium","K000264489","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke","Ducke, A.",,"","1938","","Ducke, A.",1937,1,25,"Brazil",,,"Sao Paolo de Olivenca",,,"March 1937 fruiting","Dicymbe amazonica Ducke","",,"GBIF"
"","K","Herbarium","K000858692","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke","Ducke, A.",,"","s.n.","","Ducke, A.",1937,1,25,"Brazil",,,"São Paulo de Olivença.",,,"Jardim Botanico do Rio do Janeiro, Herb. No. 35091.","Dicymbe amazonica Ducke","",,"GBIF"
"","S","VascularPlants","S-PL-10214","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"","312","","Ducke",,,,"Brazil",,,"Brazil",,,"Voucher in Herb: US","Dicymbe amazonica Ducke","",,"GBIF"
"","US","Botany","USw8744","Dicymbe amazonica","","Fabaceae","Dicymbe","amazonica","","Ducke",,,"","312","","A. Ducke",,,,"Brazil","Amazonas",,,,,,"Dicymbe amazonica Ducke","",,"GBIF"
