"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00469265","Dicymbe arenicola","","Fabaceae","Dicymbe","arenicola","","W.A.Rodrigues","H.C. de Lima",,"","473","","Meireles, J.E.",2006,8,13,"Brazil","Amazonas","Presidente Figueiredo","Cachoeira Iracema.",,,"Árvore 5 metros de altura. Folíolos subcartáceos, discolores. Cálice rosa-chá, pétalas brancas, mas a superior variando de verde bem claro até amarelo forte. Frequente","Dicymbe arenicola W.A.Rodrigues","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","98457","Dicymbe arenicola","","Fabaceae","Dicymbe","arenicola","","W.A.Rodrigues","Coêlho, L.F.",1982,"","45","","Mike Hopkins",1980,9,4,"Brazil","Amazonas",,"Estrada Manaus-Caracaraí Km 130, igarapé das Lages.",,,,"Dicymbe arenicola W.A.Rodrigues","",,"GBIF"
"","MPEG","HERBMG","MG069028","Dicymbe arenicola","","Fabaceae","Dicymbe","arenicola","","W.A.Rodrigues","Rodrigues, W.A.",,"",,"","Zarucchi, J.L.",1979,9,14,"Brazil","Amazonas",,"Amazonas",,,,"Dicymbe arenicola W.A.Rodrigues","",,"GBIF"
"","MPEG","HERBMG","MG076062","Dicymbe arenicola","","Fabaceae","Dicymbe","arenicola","","W.A.Rodrigues","Barneby",,"",,"","Ferreira, C.A.C.; Buck, W.R.",1979,9,1,"Brazil","Amazonas",,"Amazonas",,,,"Dicymbe arenicola W.A.Rodrigues","",,"GBIF"
"","JBRJ","RB","RB00183018","Dicymbe arenicola","","Fabaceae","Dicymbe","arenicola","","W.A.Rodrigues","H.C. de Lima",,"","951","","C.A. CID ; V.R BUCK, B.W. SELSON, F;ALMEIDA, C.D.A. MOTA, J. LIMA",1979,9,1,"Brazil","Amazonas","Amazonas","ESTRADA MANAUS -CARACARAÍ KM 47, ENTRADA DA HIDRTELÉTRICA BALBINA KM 13 ESQUERDO, .",,,"ÁRVORE DE  18m DE ALTURA X 15 CM DE DIÂMETRO; FLORES COM SEPAS ARROXEADAS; PÉTALAS E ESTAMES AMARELOS, AROMÁTICAS, MADEIRA COM ALBURNO VERNELHO- CLARO, CERNE VERMELHO-ESCURO","Dicymbe arenicola W.A.Rodrigues","",,"GBIF"
"","MO","MO","100935486","Dicymbe arenicola","","Fabaceae","Dicymbe","arenicola","","W.A.Rodrigues",,,"","Cid Ferreira 951","","C.A. Cid Ferreira|William R. Buck|Bruce W. Nelson|F. Almeida|C.D.A. da Mota|J. Lima",1979,9,1,"Brazil","Amazonas",,"BR-174 estrada Manaus-Caracaraí km 97, estrada da Hidroelectrica Balbina km 13 lado esquerdos.",,,,"Dicymbe arenicola W.A.Rodrigues","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","69330","Dicymbe arenicola","","Fabaceae","Dicymbe","arenicola","","W.A.Rodrigues","Coêlho, L.F.",1982,"","9785","","Mike Hopkins",1977,9,22,"Brazil","Amazonas",,"BR174 Km 115, igarapé das Lages, Estrada Manaus-Caracaraí Km 115, igarapé das Lages, sítio Rivas.",,,,"Dicymbe arenicola W.A.Rodrigues","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","43840","Dicymbe arenicola","","Fabaceae","Dicymbe","arenicola","","W.A.Rodrigues","Coêlho, L.F.",1982,"","INPA43840","","Mike Hopkins",1974,8,8,"Brazil","Amazonas",,"Estrada Manaus-Caracaraí Km 130.",,,,"Dicymbe arenicola W.A.Rodrigues","",,"GBIF"
"","JBRJ","RB","RB00142012","Dicymbe arenicola","","Fabaceae","Dicymbe","arenicola","","W.A.Rodrigues","H.C. de Lima",,"",,"","AS. Loureiro; D. Coelho & O.P. Monteiro",1974,8,8,"Brazil","Amazonas","Manaus","Estrada Manaus-Caracaraí km 130.",,,"Botões florais.","Dicymbe arenicola W.A.Rodrigues","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","41463","Dicymbe arenicola","","Fabaceae","Dicymbe","arenicola","","W.A.Rodrigues","Rodrigues, W.A.",1980,"","P18158","","Mike Hopkins",1973,9,27,"Brazil","Amazonas",,"BR-174, Road Manaus-Caracarai,  Km 140",,,,"Dicymbe arenicola W.A.Rodrigues","",,"GBIF"
