"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","191472","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews",,2018,"","133","","Vieira, KIC; Resende, HC; Werneck, HA",2018,7,30,"Brazil","Minas Gerais","Mariana","Bento Rodrigues, Proximo a escola",-20.236806,-43.417639,"Individuo com nº de ponto 047 - ID: RD 060; Vegetação crescendo sobre o rejeito de minerio","Erythrina speciosa Andrews","",,"GBIF"
"","FUNED","FUNED-POL","4747","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews",,,"",,"","Kamilla Castelan",2018,7,30,"Brazil","Mg","Mariana","Bento Rodrigues",,,,"Erythrina speciosa Andrews","",,"GBIF"
"","UTFPR","DVPR","6087","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","Silva, D.R.",2018,"","422","","Silva, D.R.; Pereira, J.P.; Piva, J.; Machado, C.; Moura, A.P.; Pereira, J.P.; Piva, J.; Machado, C.; Moura, A.P.",2018,7,25,"Brazil","Paraná","Capitão Leonidas Marques","Futuro reservatório da UHE Baixo Iguaçu, lado esquerdo do Rio Monteiro.",-25.3018,-53.3918,,"Erythrina speciosa Andrews","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","26330","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","M.G. Caxambu",2018,"","8451","","M.G. Caxambu",2018,8,23,"Brazil","Pr","Foz do Iguaçu","Parque Nacional do Iguaçu, próximo às",-25.629417,-54.463889,"arvoreta heliófita, ca. 4 m. Flores com cálice castanho-avermelhado e corola vermelha. Cultivada.","Erythrina speciosa Andrews","",,"GBIF"
"","JBRJ","RB","RB01398223","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","E.Fortes",2018,"","521","","J.Külkamp; E.Fortes; M.Camelo; D.Caldas; R.Guedes",2018,9,18,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico. Arboreto do Jardim Botânico do Rio de Janeiro, canteiro...",-22.965833,-43.224722,,"Erythrina speciosa Andrews","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","54595","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","Funez, L.A.",2017,"","6442","","Funez, L.A.; Marascalchi, M.N., Kassner-Filho, A.",2017,8,21,"Brazil","Santa Catarina","Blumenau","Ponte do Salto.",-26.879722,-49.1025,"Flores vermelhas Habitat: Entre rochas expostas Habito: árvore","Erythrina speciosa Andrews","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","55846","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","Schwirkowski, P.",2017,"","2347","","Schwirkowski, P.",2017,8,26,"Brazil","Santa Catarina","São Bento do Sul","Rio Natal. Parque das Aves. Descendo o rio sentido corupá.",-26.363056,-49.276667,"Flores vermelhas Habitat: Heliófita Habito: Árvore","Erythrina speciosa Andrews","",,"GBIF"
"","UNICAMP","UEC","197411","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews",,,"","1","","Braga, JO; Zanetti, BC",2017,8,23,"Brazil","São Paulo","Amparo","Arcadas, Sítio duas Cachoeiras, RPPN",-22.758056,-46.809722,"Árvore, sem látex, acúleos no caule, flores vermelhas; Área aberta","Erythrina speciosa Andrews","",,"GBIF"
"","JBRJ","RB","RB01373443","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","D.N.S. Machado",,"","2157","","D.N.S. Machado",2017,10,4,"Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto do Jardim Botânico do Rio de Janeiro. Vertente da Rua Pacheco Leão.",-22.965556,-43.224444,,"Erythrina speciosa Andrews","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","55384","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","Hannes, CO",2017,"","4","","Hannes, CO; et al.",2017,10,4,"Brazil","Paraná","Londrina","Campus Universitário Perobal",-23.326111,-51.202222,"Arvore pequena. Cultivada","Erythrina speciosa Andrews","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","131993","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews",,,"","2157","","Machado, DNS",2017,10,4,"Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto do jardim Botânico do Rio de Janeiro. Vertente da Rua Pacheco Leão.",-22.965556,-43.224444,"Ca 2m de altura. Heliófilo.","Erythrina speciosa Andrews","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","27654","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","Funez, L.A.",2016,"","5367","","Funez, L.A.",2016,7,27,"Brazil","Santa Catarina","Apiúna","Subida, margem do Rio Itajaí-Açu, próximo ao Ativa Rafting.",-27.076667,-49.436389,,"Erythrina speciosa Andrews","",,"GBIF"
"","IF","SPSF","50905","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","A. Maruyama",2016,"","503","","A. Maruyama & L. Cicco",2016,7,10,"Brazil","Sp","Ubatuba",,-23.449444,-45.059167,"COLETA: Arvoreta ca. 3,0 m alt. Indivíduo quase totalmente desprovido de folhas. Flores de coloração vermelha.; GEOGRAFIA: Mangue;","Erythrina speciosa Andrews","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","BOTU","32703","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","Fortuna-Perez, A.P.",2016,"","2","","Dias, H.B.A.",2016,8,12,"Brazil","São Paulo","Botucatu","Distrito de Rubião Júnior, campus da UNESP, Jardim Botânico, margem do lago",-22.983333,-48.433333,"<ll>dwc_commonname:</ll> Candelabro","Erythrina speciosa Andrews","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","60844","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","Pagnocca, T.S.",,"","44","","Pagnocca, T.S.",2016,8,2,"Brazil","Santa Catarina","Florianópolis",,-27.595556,-48.511111,"Árvore de 3 a 5 metros de altura, apresenta inflorescência em forma de candelabro composta de flores de coloração vermelha. Possui tronco espinhento, suas folhas são grandes em formato de losango","Erythrina speciosa Andrews","",,"GBIF"
"","JBRJ","RB","RB01341365","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","H.C. Lima",,"",,"","Naira Buzzo Anhesine",2016,8,27,"Brazil","São Paulo","São Paulo","Entre  Araraquara  e  São  Carlos,  Baixada  do  Chibarro.  Latitude:  -21,8812.  Longitude:  -48,0947",,,"Árvore 1. Flor vermelha. Período manhã.","Erythrina speciosa Andrews","",,"GBIF"
"","UESC","UESC","24151","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","L.A.Mattos-Silva",2019,"","5953","","Labiak, P.H.",2015,3,7,"Brazil","Tocantins","Natividade",,-11.619722,-47.6825,"Mata seca, alterada, sobre afloramento de calcário.; Arbusto 1,5m.","Erythrina speciosa Andrews","",,"GBIF"
"","USP","SPF","225663","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","Motta, LB",2015,"","1","","Furlan, CM",2015,10,25,"Brazil","São Paulo","São Paulo","Cidade Universitária Armando de Salles Oliveira, Próximo à Casa de Cultura Japonesa.",-23.563333,-46.720556,"Árvore de até 7 m alt., inflorescência em racemos terminais com flores vermelho vistosas, folhas compostas geralmente trifolioladas. Voucher de estudo fitoquímico.; Cultivada em arborização urbana.","Erythrina speciosa Andrews","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","129131","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","Colletta, G.D. et al.",2014,"","1547","","Colletta, G.D.",2014,5,15,"Brazil","São Paulo","Nova Odessa","Plantarum",,,"Árvore","Erythrina speciosa Andrews","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","13233","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","Völtz, R.R.",2014,"","399","","Völtz, R.R.; et al.",2014,10,6,"Brazil","Paraná","Curitiba","Capão do Cifloma",-25.4481,-49.2404,"Arvoreta 4m alt.; flores escarlates; frutos verdes; borda de capoeira, junto a macega. __COMMOM_NAME__: Mulungo-do-litoral","Erythrina speciosa Andrews","",,"GBIF"
"","UFV","VIC","041972","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews",,,"","867","","Siqueira, L.C. de",2013,7,30,"Brazil","Minas Gerais","Araponga","PESB, Em pastagem próximo a caso do Fabricio Marcolino.",,,"Árvore de cerca de 2 m, flores amarelas. Ausência de folhas no individuo.","Erythrina speciosa Andrews","",,"GBIF"
"","UNISANTA","HUSC","8029","Erythrina speciosa","","Fabaceae","Erythrina","speciosa","","Andrews","P. Sampaio",2014,"","20","","R. Guandalini",2012,3,13,"Brazil","São Paulo","Guarujá","Serra do Guararu, condomínio Iporanga.",,,"Floresta ombrofila densa","Erythrina speciosa Andrews","",,"GBIF"
