"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","44890","Exostyles venusta","","Fabaceae","Exostyles","venusta","","Schott","Pereira, O.J.",2019,"","1305","","Firmino, A.D.; Gudin, G.; Penha, J.; Pereira, O.J.",2019,8,20,"Brazil","Espírito Santo","Linhares","Cacimbas, ponto de amostragem 6.",-19.479167,-39.739167,,"Exostyles venusta Schott","",,"GBIF"
"","UFES","VIES","36928","Exostyles venusta","","Fabaceae","Exostyles","venusta","","Schott",,,"","JAC 446","","Gurtler, J.; Dutra, S.C.",2018,2,16,"Brazil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P5).",-18.783056,-40.441111,,"Exostyles venusta Schott","",,"GBIF"
"","JBRJ","RB","RB01423306","Exostyles venusta","","Fabaceae","Exostyles","venusta","","Schott","D.N.S. Machado",2018,"","50","","T.C. Soares; L.R. Caires.; J.L.L. Baeta Neves e D.N.S. Machado.",2018,10,31,"Brazil","Rio de Janeiro","Niterói","Pendotiba, Matapaca, Mata do Ministro.",-22.896389,-43.041944,,"Exostyles venusta Schott","",,"GBIF"
"","JBRJ","RB","RB01338537","Exostyles venusta","","Fabaceae","Exostyles","venusta","","Schott","D.N. da Silva Machado",2017,"","1154","","D.N.S. Machado; J.L.L. Baeta Neves; L.S. Simonato; L.S. Cunha & T.S. Mendes",2017,1,16,"Brazil","Rio de Janeiro","Niterói","São Francisco. Parque Natural Municipal de Niterói (PARNIT). Morro Santo Inácio.",-22.922222,-43.085,,"Exostyles venusta Schott","",,"GBIF"
"","JBRJ","RB","RB01370865","Exostyles venusta","","Fabaceae","Exostyles","venusta","","Schott",,,"","1751","","L.J.T. Cardoso; O. Samor; D. Belmont & A. Santiago",2017,3,9,"Brazil","Rio de Janeiro","Macaé","Macaé, região rural entre a RJ-106, a Estr. do Imburo, a Av. industrial e as localidades Balacó e Lot. Paradiso. Projeto - Terminal Portuário de Macaé. Coordenadas próximas ao indivíduo (WGS84). Isolada em área de pastagem próximo a fragmentos de F.O.D das terras baixas.",-22.278333,-41.768333,"CAP 31 cm; ritidoma desprendendo-se em escamas finas; copa bastante densa e fechada; folhas membranaceas e discolores, verde escuro na face adaxial, brilhantes","Exostyles venusta Schott","",,"GBIF"
"","JBRJ","RB","RB01421789","Exostyles venusta","","Fabaceae","Exostyles","venusta","","Schott","D.A. Folli",2016,"","7478","","D.A. Folli",2016,7,26,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada: Aceiro Arlindinho/Área da Fibria (m).   UTM: 388338 - 7885789",,,"Arbóreo, terrestre, com 10 m e 7 m de fuste. CAP 30 e com diâmetro de copa 2. Flor e botão rosados. Cor da exsudação: Incolor. Seiva.","Exostyles venusta Schott","",,"GBIF"
"","JBRJ","RB","RB01052480","Exostyles venusta","","Fabaceae","Exostyles","venusta","","Schott",,,"","3800","","D.Cardoso",2015,6,9,"Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto do Jardim Botânico do Rio de Janeiro.",,,"Árvore ca. 12 m alt. Folhas com folíolos papiráceos. Flores pêndulas com cálice verde-amarelado internamente e verde-rosado na face externa; pétalas esbranquiçadas passando a rosa intensa nas margens, fortemente imbricadas mesmo depois da antese. Foto. DNA. Flores coletadas em álcool.","Exostyles venusta Schott","",,"GBIF"
"","UEFS","HUEFS","226345","Exostyles venusta","","Fabaceae","Exostyles","venusta","","Schott","V.F.Mansano",2019,"","3800","","Cardoso, D.",2015,6,9,"Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto do Jardim Botânico do Rio de Janeiro.",,,,"Exostyles venusta Schott","",,"GBIF"
"","Cenargen","CEN","92858","Exostyles venusta","","Fabaceae","Exostyles","venusta","","Schott",,,"","3800","","D. Cardoso - RB",2015,6,9,"Brazil","Rj","RIO DE JANEIRO","Arboreto do Jardim Botânico do Rio de Janeiro",,,"Folhas com folíolos papiráceios. Flores pêndulas com cálice verde-amarelado internamente e verde-rosado na face externa; pétalas esbranquiçadas passando a rosa intensa na margens, fortemente imbricadas mesmo depois da antese. Foto","Exostyles venusta Schott","",,"GBIF"
"","MBM","MBM","405147","Exostyles venusta","","Fabaceae","Exostyles","venusta","","Schott",,,"","3800","","Cardoso, D",2015,6,9,"Brazil","Rio de Janeiro","Rio de Janeiro","Arboreto do Jardim Botânico do Rio de Janeiro",,,"Árvore ca. 12 m alt. Folhas com folíolos papiráceos. Flores pêndulas com cálice verde-amarelado internamente e verde-rosado na face externa; pétalas esbranquiçadas passando a rosa intensa nas margens, fortemente imbricadas mesmo depo","Exostyles venusta Schott","",,"GBIF"
