"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01402201","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","E.A. Fortes & H.C Lima",,"","95","","Elenice A. Fortes; Haroldo C. de Lima, Herick B. M. Viana, Mariana A. Faitanin",2019,1,8,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","EEEG. Na borda da mata, depois da entrada da P4 PPBio e trilha da Pitomba. Floresta Estacional Semidecidual sobre tabuleiro.",-21.3875,-41.083889,"Árvore ca. 8 m alt. Tronco com estrias superficiais avermelhadas, ramificado na base, DAP ca. 10+11+37 cm. Ramos castanho-alvacentos. Folhas discolor. Inflorescência  ereta, eixo castanho esverdeado, botões florais castanho-ferruginosos, sépalas reflexas, castanho-ferruginosas, pétalas brancas, filete branco, antera creme, ovário creme com manchas avermelhadas, estilete branco, estigma creme. Fotos EAF. Material em álcool.","Hymenaea altissima Ducke","",,"GBIF"
"","UEFS","HUEFS","237473","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke",,,"","95","","Fortes, E.A.",2019,1,8,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Estação Ecológica Estadual Guaxindiba. EEEG. Na borda da mata, depois da entrada da P1 PPBio e trilha da Pitomba.",-21.3875,-41.083889,"Floresta Estacional Semidecidual sobre tabuleiro.","Hymenaea altissima Ducke","",,"GBIF"
"","JBRJ","RB","RB01414933","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","H.C. de Lima",,"","8915","","Haroldo C. de Lima; Marcelo T. Nascimento, Davi N.S. Machado, Herick B.M. Viana, Patrícia M. Santos",2019,7,18,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Fazenda Santo Antônio. Fragmento de Floresta Estacional Semidecidual de Tabuleiro.",-21.299722,-41.091111,"Árvore com 10 m alt. Tronco com casca lisa. Ocasional. Amostra em sílica-gel.","Hymenaea altissima Ducke","",,"GBIF"
"","JBRJ","RB","RB01386438","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","C. Baez",,"","1589","","C. Baez; E. P. Fernandez & R. C. Gomes",2018,4,7,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Guapiaçu. REGUA - Trilha verde-claro. Parque Estadual dos Três Picos/Reserva Ecológica de Guapiaçu",-22.406111,-42.743333,"Árvore matriz nº 170; CAP 220 cm. Tronco com lenticelas. Corte rosado. Folhas glabras discolores. Estéril.","Hymenaea altissima Ducke","",,"GBIF"
"","JBRJ","RB","RB01386897","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","R.B. Pinto",2018,"","5","","Elenice A. Fortes; M.A. Faitanin, H.B.M. Viana, N.B. Neves Neto",2018,4,28,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Na borda da mata, onde passa a estrada de aceiro que contorna a faixa leste da mata, próximo à entrada da Trilha da Pitomba e Parcela 3 PPBio.  Floresta estacional.",-21.387222,-41.083889,"Árvore ca. 8 m alt. Tronco com casca  lisa, com estrias superficiais avermelhadas, ramificado na base, DAP ca. 10+11+37 cm. Resina esbranquiçada nas bifurcações dos ramos. Com cicatrizes de ramos foliares ao longo dos ramos principais. Frutos passados caídos no chão.","Hymenaea altissima Ducke","",,"GBIF"
"","UEFS","HUEFS","246712","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke",,,"","1589","","Baez, C.",2018,4,7,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Parque Estadual dos Três Picos/Reserva Ecológica de Guapiaçu. Guapiaçu. REGUA-Trilha verde-claro.",-22.406111,-42.743333,"Floresta Ombrófila Densa em avançado estágio de regeneração.","Hymenaea altissima Ducke","",,"GBIF"
"","JBRJ","RB","RB01394978","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","H.C. de Lima",,"","49","","Elenice A. Fortes; Haroldo C. de Lima, Mariana A. Faitanin, Herick B.M. Viana, Nilson B. Neves Neto",2018,7,19,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Na Trilha da Educação Ambiental. Floresta estacional. Estação Ecológica Estadual de Guaxindiba",-21.375278,-41.095,"Árvore cerca de 25 metros de altura, tronco cilíndrico, com casca lisa esbranquiçada, DAP 46 cm. Frutos passados no chão. Amostra banco DNA. Fotos EAF. RBcarpo 8679","Hymenaea altissima Ducke","",,"GBIF"
"","JBRJ","RB","RB01401472","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","E.A Fortes",,"","89","","Elenice A. Fortes; Herick B. M. Viana, Mel de C. Camelo, Nilson B. Neves Neto",2018,12,12,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Na borda da mata, estrada de aceiro que contorna a faixa leste da mata, depois da entrada da P4 PPBio e trilha da Pitomba. Floresta Estacional Semidecidual.",-21.3875,-41.083889,"Árvore ca. 8 m alt. Tronco com casca lisa, com estrias superficiais avermelhadas, ramificado na base, DAP ca. 10+11+37 cm. Ramos castanho-alvacento. Folhas discolor. Com botões florais castanho ferruginoso.","Hymenaea altissima Ducke","",,"GBIF"
"","UEFS","HUEFS","237471","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke",,,"","89","","Fortes, E.A.",2018,12,12,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Estação Ecológica Estadual Guaxindiba. EEEG. Na borda da mata, estrada de aceiro que contorna a faixa leste da mata, depois da entrada da P4 PPBio e trilha da Pitomba.",-21.3875,-41.083889,"Floresta Estacional Semidecidual.","Hymenaea altissima Ducke","",,"GBIF"
"","JBRJ","RB","RB01377583","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","R.B. Pinto",2018,"","8604","","Haroldo C. de Lima; D.N. Machado, A.N. Lima, M. Paixão, M. Faitanin & H. Viana",2017,11,29,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Início da trilha da Pitomba.",,,"Árvore com 7 m alt. Folhas cartáceas, discolores. Botões subaureos-tomentosos. Ocasional.","Hymenaea altissima Ducke","",,"GBIF"
"","JBRJ","RB","RB01113960","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","H.C. de Lima",,"","8227","","Haroldo C. de Lima; M.T. Nascimento, T. Pennington, K. Dexter, P.J. Rodrigues e T.P. Souza",2016,4,16,"Brazil","Rio de Janeiro","Campos dos Goytacazes","E.E.E. Guaxindiba, estrada principal, ca. 1 km do portão de entrada.",,,"Árvore com 9 m alt. tronco com casca levemente fissurada e pardo-acinzentada, DAP ca. 30 cm. Fruto imaturo esverdeado e maduro castanho-escuro. Ocasional. Material banco DNA e fotos TPS.","Hymenaea altissima Ducke","",,"GBIF"
"","UEFS","HUEFS","235061","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke",,,"","380","","Souza, I.M.",2016,10,13,"Brazil","Bahia","Camacan","Distrito ao Norte da BR 101, 8 Km ao Norte de Panelinha, 10 Km da entrada de Camacan.",,,,"Hymenaea altissima Ducke","",,"GBIF"
"","UEFS","HUEFS","235078","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke",,,"","397","","Souza, I.M.",2016,10,14,"Brazil","Bahia",,,,,,"Hymenaea altissima Ducke","",,"GBIF"
"","IAC","IAC","50310","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","R.B. Pinto",2015,"","484","","J.A.M.A. Gomes; O.A. Santos; S. Santos & F.J. Benedetti",2008,1,2,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela I (Parque Estadual da Serra do Mar, Núcleo Picinguaba)",-23.367009,-45.083511,"subparcela 17, indivíduo I 0360","Hymenaea altissima Ducke","",,"GBIF"
"","IAC","IAC","50311","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","R.B. Pinto",2015,"","483","","J.A.M.A. Gomes; O.A. Santos; S. Santos & F.J. Benedetti",2008,1,2,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela I (Parque Estadual da Serra do Mar, Núcleo Picinguaba)",-23.367009,-45.083511,"subparcela 9, indivíduo I 0216","Hymenaea altissima Ducke","",,"GBIF"
"","JBRJ","RB","RB01116195","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","R.B.PINTO",,"","484","","J.A.M.A. Gomes; O.A. Santos; S. Santos; F.J. Benedetti",2008,1,2,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela I (Parque Estadual da Serra do Mar - Núcleo Picinguaba)",,,"Flores brancas, perfumadas","Hymenaea altissima Ducke","",,"GBIF"
"","JBRJ","RB","RB01116186","Hymenaea altissima","","Fabaceae","Hymenaea","altissima","","Ducke","R.B.PINTO",,"","483","","J.A.M.A. Gomes; O.A. Santos; S. Santos; F.J. Benedetti",2008,1,2,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela I (Parque Estadual da Serra do Mar, Núcleo Picinguaba)",,,"Árvore, 28 m alt., 364,9 cm PAP.; flores brancas","Hymenaea altissima Ducke","",,"GBIF"
