"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01402209","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.","E.A. Fortes & H.C Lima",,"","104","","Elenice A. Fortes; Haroldo C. de Lima, Herick B. M. Viana, Mariana A. Faitanin",2019,1,8,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","EEEG. Na Trilha de acesso à Parcela PPBio, que se bifurca da Trilha da Educação. Floresta Estacional Semidecidual sobre tabuleiro.",-21.376944,-41.092778,"Árvore ca. 20 m alt., tronco cilíndrico, com casca descamando-se em placas retangulares, DAP 25,79 cm. Ramos casca descamando-se em placas retangulares finas. Folha discolor, coriácea, verde lustrosa na face adaxial e castanho-ferrugínea na abaxial. Estéril. Material DNA. Fotos EAF.","Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
"","JBRJ","RB","RB01377585","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.","R.B. Pinto",2018,"","8606","","Haroldo C. de Lima; D.N. Machado, A.N. Lima, M. Paixão, M. Faitanin & H. Viana",2017,11,29,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Fazenda Imburí, Parcela permanente no fragmento Imburí, Parcela 47.",,,"Arvoreta com 4 m alt.; indivíduo jóvem estéril. Ramos esfoliantes e folhas jovens mambranáceas, com tricomas ferrugíneos na face abaxial. Ocasional.","Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
"","JBRJ","RB","RB01176909","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.","T. S. Mendes",,"","952","","C. Baez; Thalis Lima, Patrícia da Rosa, Daniel Maurenza e João Marins",2016,8,28,"Brazil","Rio de Janeiro","Campos dos Goytacazes","região do rio Mocotó. Floresta de Galeria na parte de cima da Cachoeira Tombo D´Água. Parque Estadual do Desengano",-21.811389,-41.754722,"Terrícola, heliófila. Folhas pilosas discolores com indumento ferrugíneo. Frutos castanhos/alaranjados.","Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
"","UEFS","HUEFS","231102","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.","T.S.Mendes",2016,"","952","","Baez, C.",2016,8,28,"Brazil","Rio de Janeiro","Campos dos Goytacazes","Parque Estadual do Desengano, região do rio Mocotó.",-21.811389,-41.754722,"Floresta de galeria na parte de cima da Cachoeira Tombo D'Água.","Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
"","JBRJ","RB","RB01208128","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.",,,"","8480","","Haroldo C. de Lima; Andressa N. Lima, Igor S. Broggio & Walmir Macedo",2016,12,14,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Praça João Pessoa, Fazenda Santo Antonio. Fragmento de mata estacional de terras baixas.",-21.298889,-41.090555,"Árvore com 17 m alt. Tronco com casca levemente fissurada, pardo-acinzentada, CAP 82,7 cm. Frutos passados. Ocasional. Material banco DNA. Fotos HCL.","Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
"","NY","NY","02736365","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.",,,"","1651","","H. Medeiros",2015,4,21,"Brazil","Rondônia",,"Floresta Nacional do Jamari. Pedra Grande.",-9.198211,-63.081483,,"Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
"","UEFS","HUEFS","213460","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.",,,"","1672","","Neves, D.M.",2014,3,11,"Brazil","Bahia","Una","Rebio Una.",-15.176389,-39.059167,,"Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
"","JBRJ","RB","RB00903457","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.","Lima, H.C.; Queiroz, L.P.; Lewis, G.P.",,"","1672","","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G.P.; Vivas, C.V.; Paixao, J.L.",2014,3,11,"Brazil","Bahia","Una","Rebio Una.",-15.176389,-39.059167,"Arvoreta 3m","Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
"","UEFS","HUEFS","211631","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.",,,"","1371","","Nascimento, F.H.F.",2014,6,15,"Brazil","Ceará","Crateús","RPPN Serra das Almas.",-5.162222,-40.888333,,"Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
"","UEFS","HUEFS","211632","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.",,,"","1372","","Nascimento, F.H.F.",2014,6,15,"Brazil","Ceará","Crateús","RPPN Serra das Almas.",-5.162222,-40.888333,,"Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
"","UEFS","HUEFS","210016","Hymenaea aurea","","Fabaceae","Hymenaea","aurea","","Y.T.Lee & Langenh.",,,"","1113","","Nascimento, F.H.F.",2013,3,15,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",-19.15,-40.05,"Floresta Estacional Perenifólia.","Hymenaea aurea Y.T.Lee & Langenh.","",,"GBIF"
