"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00853989","Hymenaea cangaceira","","Fabaceae","Hymenaea","cangaceira","","R.B.Pinto, Mansano & A.M.G.Azevedo","R.B.Pinto , Mansano & A.M.G.Azevedo",2017,"","6594","","B.M.T. Walter; C.E.B. Proença; I.R. Costa; S.R. Silva",2014,1,22,"Brazil","Ceará","Jardim","Arredores da cidade de Jardim, nas proximidades do mirante do Padre Cícero (estátua).",-7.493333,-39.3625,"Árvore com 3m de altura","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","",,"GBIF"
"","UNIVASF","HVASF","22200","Hymenaea cangaceira","","Fabaceae","Hymenaea","cangaceira","","R.B.Pinto, Mansano & A.M.G.Azevedo","R.B. Pinto",2017,"","3281","","A.C.P. Oliveira",2014,2,4,"Brazil","Pernambuco","Arcoverde","Serra das Varas, ca. de 2 Km ao Sul da localidade Caraíbas de Cima. Brejo de Altitude (Floresta Estacional Semidecídua de Terras Baixas)",-8.44275,-36.96475,"Arbustivo, ca. de 2,0 m alt.. Folíolos coriáceos, face superior verde-escura, inferior verde-claro. Flores com corola alva a amarelada.","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","",,"GBIF"
"","UNIVASF","HVASF","19345","Hymenaea cangaceira","","Fabaceae","Hymenaea","cangaceira","","R.B.Pinto, Mansano & A.M.G.Azevedo","R.B. Pinto",2017,"","2328","","A.C.P. Oliveira",2013,1,29,"Brazil","Ceará","Mauriti","Sítio Bananeira",-7.323611,-38.558694,"Árvore com ca. de 7,00m alt.. Folha composta e alterna. Botões verdes. Flor branca.","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","",,"GBIF"
"","IPA","IPA","88233","Hymenaea cangaceira","","Fabaceae","Hymenaea","cangaceira","","R.B.Pinto, Mansano & A.M.G.Azevedo","Pinto, R.B.",2017,"","8","","Melo, L.L.S.; Silva, V.F.; Silva, V.F.",2012,1,27,"Brazil","Pernambuco","Glória do Goitá","Mata das Negras.",,,"Árvore ca. 6 m de altura, muito ramificado; caule marrom; flores em botões verde-amarronzados.","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","",,"GBIF"
"","UNIVASF","HVASF","14191","Hymenaea cangaceira","","Fabaceae","Hymenaea","cangaceira","","R.B.Pinto, Mansano & A.M.G.Azevedo","R.B. Pinto",2017,"","95","","C.R.S. Oliveira",2012,1,25,"Brazil","Pernambuco","Buíque","Parque Nacional do Catimbau, Vale do Catimbau, próximo a Serra de Jerusalém",-8.59125,-37.247833,"Árvore, ca. 5 m alt. Pré-floração imbricada. Flores polistêmones, com pétalas alvas, sépalas esverdeadas, ovário súpero, cálice persistente.","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","19485","Hymenaea cangaceira","","Fabaceae","Hymenaea","cangaceira","","R.B.Pinto, Mansano & A.M.G.Azevedo","R.B.Pinto",2017,"","8","","L.L.S.Melo; V.F.Silva",2012,1,27,"Brazil","Pernambuco","Glória de Goitá","Mata das Negras",,,"Árvore ca. 6 m alt., muito ramificado; caule marrom; flores em botões verde-amarronzados.","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","",,"GBIF"
"","UNIVASF","HVASF","14929","Hymenaea cangaceira","","Fabaceae","Hymenaea","cangaceira","","R.B.Pinto, Mansano & A.M.G.Azevedo","R.B. Pinto",2017,"","599","","E.V.R. Ferreira",2012,4,2,"Brazil","Pernambuco","Buíque","Parque Nacional do Catimbau, trilha do Chapadão",-8.5255,-37.241888,"Árvore ca. de 6m alt.Caule com lenticelas. Folhas compostas, alternas, pilosas na face axial. Legume imaturo.","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","",,"GBIF"
"","UEFS","HUEFS","186224","Hymenaea cangaceira","","Fabaceae","Hymenaea","cangaceira","","R.B.Pinto, Mansano & A.M.G.Azevedo","R.B.Pinto",2017,"","106","","Souza, I.M.",2012,4,4,"Brazil","Bahia","Palmeiras","Fazenda Rio Preto.",,,"Caatinga.","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","",,"GBIF"
"","UNIVASF","HVASF","17756","Hymenaea cangaceira","","Fabaceae","Hymenaea","cangaceira","","R.B.Pinto, Mansano & A.M.G.Azevedo","R.B. Pinto",2017,"","671","","D.G. Oliveira",2012,11,14,"Brazil","Paraíba","Esperança","Distrito da Lagoa de Pedra. Fazenda Timbaúba. Margem esquerda da estrada",-7.014833,-35.880361,"Árvore ca. de 6,00m alt.. Caule amarronzado. Folhas bifolioladas, alternas, glabras. Flores alvas, sépalas amarronzadas.","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","",,"GBIF"
"","IPA","IPA","85372","Hymenaea cangaceira","","Fabaceae","Hymenaea","cangaceira","","R.B.Pinto, Mansano & A.M.G.Azevedo","Pinto, R.B.",2017,"","15","","Costa, A.C.G.; Nadia, T.C.L.; Barral, E.C.; Ferreira, S.M.; Nadia, T.C.L.; Barral, E.C.; Ferreira, S.M.",2011,1,13,"Brazil","Pernambuco","Buíque","Parque Nacional do Catimbau, Serrinha.",,,"Árvore ca. 4m de altura. Flores brancas, noturnas.","Hymenaea cangaceira R.B.Pinto, Mansano & A.M.G.Azevedo","",,"GBIF"
