"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","235634","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,,"","162","","Mizushima, M.",2017,4,18,"Brazil","Piauí","Buriti dos Lopes",,-3.175,-41.866944,"Caatinga","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54893","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3242","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.265111,-39.310778,"4m de altura.","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54886","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3267","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.287778,-39.253528,"10m de altura","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54878","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3272","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.304333,-39.2545,"10m de altura","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54891","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3241","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.151083,-39.548222,"10m de altura","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54882","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3264","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.288222,-39.254778,"10m de altura","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54887","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3266","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.287611,-39.254639,"10m de altura","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54895","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3252","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.286111,-39.260611,"7m de altura.","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54896","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3253","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.28625,-39.260667,,"Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54883","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3227","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.226611,-39.338333,"15m de altura","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54894","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3251","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.280778,-39.2825,"12m de altura","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","55104","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3258","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.287444,-39.257361,"4,5m altura","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54848","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3265","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.287722,-39.254722,"10m de altura","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","54884","Hymenaea longifolia","","Fabaceae","Hymenaea","longifolia","","(Benth.) I.M.Souza, Funch & L.P.Queiroz",,2017,"","3269","","Chaves, CL",2016,11,,"Brazil","Ceará","Juazeiro do Norte",,-7.288944,-39.251,"8m de altura","Hymenaea longifolia (Benth.) I.M.Souza, Funch & L.P.Queiroz","",,"GBIF"
