"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01202893","Inga congesta","","Fabaceae","Inga","congesta","","T.D.Penn.","D. S. N. Machado",2017,"","1201","","C. Baez; P. Rosa, E. Fernadez, M. Moraes, A.A.M. de Barros",2016,11,11,"Brazil","Rio de Janeiro","Maricá","Pico do Alto Mourão. Trilha no sub-bosque da mata. PEST",-22.965833,-43.023889,"Árvore, semi-heliófila. 5m. Folhas, ramos jovens e pecíolos com indumento castanho. Frutos amarelos. Flores verde/amareladas.","Inga congesta T.D.Penn.","",,"GBIF"
"","JBRJ","RB","RB01208847","Inga congesta","","Fabaceae","Inga","congesta","","T.D.Penn.","D.N.S. Machado",2015,"","719","","D.N.S. Machado; G.A. de Queiroz",2015,8,8,"Brazil","Rio de Janeiro","Niterói","Cafubá, Morro da Viração, mata acima da construção do Túnel",-22.935555,-43.087778,,"Inga congesta T.D.Penn.","",,"GBIF"
"","JBRJ","RB","RB01037205","Inga congesta","","Fabaceae","Inga","congesta","","T.D.Penn.","H.C. de Lima",,"","8114","","Haroldo C. de Lima; D.N.S. Machado; L. Cardoso; L. Caires; L. Cunha",2015,10,9,"Brazil","Rio de Janeiro","Niterói","Jurujuba, APA dos Fortes, Trilha p/ o Forte do Imbuí (Avenida Imbuí).",-22.940555,-43.114444,"Arvoreta com 3-4m alt. Tronco com casca lisa, frutos jovens esverdeados, maduros amarelados, semente com sarcotesta alva. Frequente. Material Banco de DNA.","Inga congesta T.D.Penn.","",,"GBIF"
"","JBRJ","RB","RB00862794","Inga congesta","","Fabaceae","Inga","congesta","","T.D.Penn.","D.N.S. Machado",2013,"","279","","D.N.S. Machado; L.A. Ribas",2013,5,28,"Brazil","Rio de Janeiro","Niterói","Itaipu, Parque Estadual da Serra da Tiririca, Morro das Andorinhas, Trilha das Andorinhas, ao lado da jaqueira.",-22.973333,-43.045,"Arbusto com cerca de 3,0m de altura, ciófilo, folhas cartáceas discolores verdes, inflorescência alva","Inga congesta T.D.Penn.","",,"GBIF"
"","JBRJ","RB","RB00608265","Inga congesta","","Fabaceae","Inga","congesta","","T.D.Penn.","A. A. M. de Barros",2008,"","2","","J. V. Paulino; J. F. Milani, A. A. M. de Barros & I. C. E. Jascomi",2008,7,24,"Brazil","Rio de Janeiro","Niterói","Itaipu. Parque Estadual da Serra da Tiririca. Morro das Andorinhas: Trilha das Andorinhas.",,,"Arbusto ca. 2 m de altura. Folhas cartáceas, discolores, verdes. Flores creme, cálice laranja, estames creme esverdeado quando jovens, tendendo a laranja em flores maduras, corola creme esverdeada, carpelo alvo.","Inga congesta T.D.Penn.","",,"GBIF"
"","JBRJ","RB","RB00608263","Inga congesta","","Fabaceae","Inga","congesta","","T.D.Penn.","A. A. M. de Barros",2008,"","3","","J. V. Paulino; J. F. Milani, A. A. M. de Barros & I. C. E. Jascomi",2008,7,24,"Brazil","Rio de Janeiro","Niterói","Itaipu. Parque Estadual da Serra da Tiririca. Morro das Andorinhas: Trilha das Andorinhas, em frente à casa do Sr. Bichinho.",-22.883333,-43.1,"Arbusto ca. 2 m de altura. Folhas cartáceas, discolores, verdes. Flores creme, cálice laranja, estames creme esverdeado quando jovens, tendendo a laranja em flores maduras, corola creme esverdeada, carpelo alvo.","Inga congesta T.D.Penn.","",,"GBIF"
"","UEFS","HUEFS","140065","Inga congesta","","Fabaceae","Inga","congesta","","T.D.Penn.","L.P.de Queiroz",2010,"","2342","","Cardoso, D.",2008,9,17,"Brazil","Bahia","Santa Terezinha","Serra da Jibóia. Reserva Jequitibá/GAMBA.",-12.869722,-39.476944,"Floresta ombrófila montana.","Inga congesta T.D.Penn.","",,"GBIF"
"","JBRJ","RB","RB00588910","Inga congesta","","Fabaceae","Inga","congesta","","T.D.Penn.","Ana Angélica M. de Barros",2005,"","08","","N. Coqueiro; A. A. M. de Barros & P. W. Feteira",2004,10,18,"Brazil","Rio de Janeiro","Rio de Janeiro","Divisa dos Municípios de Niterói e Maricá, Itaipuaçu, Parque Estadual da Serra da Tiririca, Alto Mourão.",,,"Arbusto com ca. de 2,0 m de altura, ciófila, folhas cartáceas discolores verdes; frutos verdes.","Inga congesta T.D.Penn.","",,"GBIF"
"","UEFS","HUEFS","88472","Inga congesta","","Fabaceae","Inga","congesta","","T.D.Penn.","J.M.Fernandes",2013,"","1440","","Oliveira, M.",2003,10,27,"Brazil","Alagoas","Ibateguara","Coimbra, Cerrado novo.",,,"Vegetação arbustivo-arbórea densa. Solo humoso.","Inga congesta T.D.Penn.","",,"GBIF"
"","JBRJ","RB","RB00588908","Inga congesta","","Fabaceae","Inga","congesta","","T.D.Penn.","Ana Angélica M. de Barros",2005,"","1116","","A. A. M. de Barros ; P. T. dos Santos",2001,10,15,"Brazil","Rio de Janeiro","Niterói","Itaipu, Parque Estadual da Serra da Tiririca, Morro das Andorinhas.",,,"Arbusto com ca. de 2,0 m de altura, ciófilo, folhas cartáceas discolores verdes, frutos amarelos de gosto adocicado.","Inga congesta T.D.Penn.","",,"GBIF"
