"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01398483","Leptolobium brachystachyum","","Fabaceae","Leptolobium","brachystachyum","","(Benth.) Sch.Rodr. & A.M.G.Azevedo","M.J. Falcão",,"","20076","","G. Martinelli; N. Pougy, T. Lima, M. Bocaiuva & H. Rocha",2018,2,25,"Brazil","Minas Gerais","Grão Mogol","Localidade de Extrema. Campos Rupestres.",-16.586944,-42.957222,"Arbusto, 1,30 metros de altura, heliófila, saxícola; folhas verdes, marcadamente discolores; flores com cálice e corola alva, estames alvos; botões florais verde-alvacentos; frutos imaturos de cor verde.","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","",,"GBIF"
"","JBRJ","RB","RB01398526","Leptolobium brachystachyum","","Fabaceae","Leptolobium","brachystachyum","","(Benth.) Sch.Rodr. & A.M.G.Azevedo","H.C. Lima",,"","20121","","G.Martinelli; N.Pougy, T.Lima, M.Bocaiuva. H.Rocha",2018,2,25,"Brazil","Minas Gerais","Grão Mogol","localidade de Extrema. Campos Rupestres. Parque Estadual de Grão Mogol",-16.586944,-42.957222,"arbusto, 1,50m, saxícola, heliófila; folhas verdes, discolores; frutos imaturos de cor verde com nuances castanhos.","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","",,"GBIF"
"","JBRJ","RB","RB01400828","Leptolobium brachystachyum","","Fabaceae","Leptolobium","brachystachyum","","(Benth.) Sch.Rodr. & A.M.G.Azevedo","H.C. Lima; C. Carvalho",,"","1698","","C. Baez; G. Martnelli, E.P.  Fernandez, N. Pougy",2018,9,20,"Brazil","Minas Gerais","Grão Mogol","Localidade ""Extrema"". Parque Estadual de Grão Mogol",-16.604167,-42.949444,"Arvoreta/arbusto. 2m. Cálice verde. Corola alva. Anteras amarelas.","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","",,"GBIF"
"","UEFS","HUEFS","247236","Leptolobium brachystachyum","","Fabaceae","Leptolobium","brachystachyum","","(Benth.) Sch.Rodr. & A.M.G.Azevedo",,,"","1698","","Baez, C.",2018,9,20,"Brazil","Minas Gerais","Grão Mogol","Parque Estadual de Grão Mogol, localidade Extrema.",-16.604167,-42.949444,,"Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","",,"GBIF"
"","UEFS","HUEFS","248811","Leptolobium brachystachyum","","Fabaceae","Leptolobium","brachystachyum","","(Benth.) Sch.Rodr. & A.M.G.Azevedo",,,"","3925","","Cardoso, D.",2016,1,10,"Brazil","Minas Gerais","Diamantina","Parque Estadual Biribiri.",-18.199722,-43.618333,"Cerrado com áreas de afloramentos.","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","",,"GBIF"
"","UEFS","HUEFS","248805","Leptolobium brachystachyum","","Fabaceae","Leptolobium","brachystachyum","","(Benth.) Sch.Rodr. & A.M.G.Azevedo",,,"","3919","","Cardoso, D.",2016,1,9,"Brazil","Minas Gerais","Diamantina","Parque Nacional das Sempre-Vivas, estrada para o alojamento.",-17.958889,-43.784444,"Campo aberto de cerrado, com áreas esparsas de afloramento rochosos.","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","",,"GBIF"
"","UEFS","HUEFS","248755","Leptolobium brachystachyum","","Fabaceae","Leptolobium","brachystachyum","","(Benth.) Sch.Rodr. & A.M.G.Azevedo",,,"","3869","","Cardoso, D.",2016,1,6,"Brazil","Minas Gerais","Grão Mogol","Parque Estadual Grão Mogol, campo rupestre seguindo a Trilha do Barão no entorno da cidade.",-16.553333,-42.890278,"Campo rupestre.","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","",,"GBIF"
"","UEFS","HUEFS","239102","Leptolobium brachystachyum","","Fabaceae","Leptolobium","brachystachyum","","(Benth.) Sch.Rodr. & A.M.G.Azevedo",,,"","3724","","Cardoso, D.",2015,3,10,"Brazil","Minas Gerais","Itacambira","Serra da torre na saída da cidade sentido Juramento.",-17.080833,-43.310278,,"Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","",,"GBIF"
"","UEFS","HUEFS","239099","Leptolobium brachystachyum","","Fabaceae","Leptolobium","brachystachyum","","(Benth.) Sch.Rodr. & A.M.G.Azevedo",,,"","3721","","Cardoso, D.",2015,3,10,"Brazil","Minas Gerais","Itacambira","Serra da torre na saída da cidade sentido Juramento.",-17.080833,-43.310278,,"Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","",,"GBIF"
"","JBRJ","RB","RB01049298","Leptolobium brachystachyum","","Fabaceae","Leptolobium","brachystachyum","","(Benth.) Sch.Rodr. & A.M.G.Azevedo",,,"","18832","","G.Martinelli; C.Baez",2015,10,12,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Vale das Estrelas.",-18.130556,-43.379167,"arbusto, 4,40m, heliófila; frequente; folhas verdes, discolores; inflorescência jovem com flores em botões de cor creme.","Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo","",,"GBIF"
