"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MBML","MBML-HERBARIO","40948","Lonchocarpus praecox","","Fabaceae","Lonchocarpus","praecox","","Mart. ex Benth.","Marco Octávio de Oliveira Pellegrini/06-09-2013",,"","368","","F. Z. Saiter",2010,5,31,"Brazil","Espírito Santo","Santa Teresa","São João de Petrópolis, Serra do São Brás",-19.815556,-40.697139,"Árvore de 18 metros de altura. Frutos secos de cor parda.","Lonchocarpus praecox Mart. ex Benth.","",,"GBIF"
"","Universidade Federal da Paraíba, UFPB","EAN","4177","Lonchocarpus praecox","","Fabaceae","Lonchocarpus","praecox","","Mart. ex Benth.",,,"","1086","","L. P. Félix; G. V. Dornelas",1988,1,18,"Brazil","Paraíba","Esperança",,,,"Arbustivo, flores roxas.","Lonchocarpus praecox Mart. ex Benth.","",,"GBIF"
"","K","Herbarium","K000188693","Lonchocarpus praecox","","Fabaceae","Lonchocarpus","praecox","","Mart. ex Benth.","Lewis, G.P.",,"","44145","","Hatschbach, G.",1981,10,11,"Brazil",,"Ibotirama","BR-242, 10km L de Ibotirama.",,,,"Lonchocarpus praecox Mart. ex Benth.","",,"GBIF"
"","K","Herbarium","K000188692","Lonchocarpus praecox","","Fabaceae","Lonchocarpus","praecox","","Mart. ex Benth.","Lewis, G.P.",,"","44148","","Hatschbach, G.",1981,10,11,"Brazil",,"Ibotirama","BR-242, 10km L de Ibotirama.",,,,"Lonchocarpus praecox Mart. ex Benth.","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","3506","Lonchocarpus praecox","","Fabaceae","Lonchocarpus","praecox","","Mart. ex Benth.","Fernandes, A.; Nunes, E.",1993,"","s.n.","","Fernandes, A.",1977,10,14,"Brazil","Maranhão","São Bernardo",".",,,"Árvore mediana.. Flor Lilás.","Lonchocarpus praecox Mart. ex Benth.","",,"GBIF"
"","Universidade Regional do Cariri","HCDAL","3506","Lonchocarpus praecox","","Fabaceae","Lonchocarpus","praecox","","Mart. ex Benth.","Fernandes, A.; Nunes, E.",1993,"","HCDAL7225","","Fernandes, A.; Matos",1977,10,14,"Brazil","Maranhão","São Bernardo",,,,"Árvore mediana; flor lilás.","Lonchocarpus praecox Mart. ex Benth.","",,"GBIF"
"","Universidade Regional do Cariri","HCDAL","7225","Lonchocarpus praecox","","Fabaceae","Lonchocarpus","praecox","","Mart. ex Benth.","Fernandes, A.; Nunes, E.",1993,"","HCDAL7225","","Fernandes, A.; Matos",1977,10,14,"Brazil","Maranhão","São Bernardo",,,,"Árvore mediana; flor lilás.","Lonchocarpus praecox Mart. ex Benth.","",,"GBIF"
"","IPA","IPA","74495","Lonchocarpus praecox","","Fabaceae","Lonchocarpus","praecox","","Mart. ex Benth.","Rizzini, C.T.",1974,"","13234","","Lima, D.P.",1973,9,21,"Brazil","Piauí","São Raimundo Nonato",,,,"Árvore mais ou menos 6m de altura por 18 cm de diâmetro. Flores roxas com pouco perfume.","Lonchocarpus praecox Mart. ex Benth.","",,"GBIF"
"","IPA","IPA","74956","Lonchocarpus praecox","","Fabaceae","Lonchocarpus","praecox","","Mart. ex Benth.","Rizzini, C.T.",1974,"","13234","","Lima, D.P.",1973,9,21,"Brazil","Piauí","São Raimundo Nonato",,,,"Árvore cerca de 6m de altura por 18cm de diâmetro. Flôres roxas com pouco perfume.","Lonchocarpus praecox Mart. ex Benth.","",,"GBIF"
"","IPA","IPA","75488","Lonchocarpus praecox","","Fabaceae","Lonchocarpus","praecox","","Mart. ex Benth.","Rizzini, C.T.",1974,"","13234","","Lima, D.P.",1973,9,21,"Brazil","Piauí","São Raimundo Nonato",,,,"Árvore com amsi ou menos 6m de altura por 18cm de diâmetro. Flores roxas compouco perfume.","Lonchocarpus praecox Mart. ex Benth.","",,"GBIF"
