"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","160756","Luetzelburgia amazonica","","Fabaceae","Luetzelburgia","amazonica","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","2920","","Cardoso, D.",2010,5,2,"Brazil","Rondônia","Campo Novo de Rondônia","Estrada da área antiga de mineração de casseterita, no sopé da Serra do Balateiro.",-10.621667,-63.6175,"Floresta estacional com grandes afloramentos rochosos.","Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","JBRJ","RB","RB00702928","Luetzelburgia amazonica","","Fabaceae","Luetzelburgia","amazonica","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","2920","","D. Cardoso; T. M. Moura & Sr. Joilson B. Marinho",2010,5,2,"Brazil","Rondônia","Campo Novo de Rondônia","Estrada da área antiga de mineração de casseterita, no sopé da Serra do Balateiro.",-10.621667,-63.6175,"Arvoreta ca. 4m alt., tronco cinza e quando raspado mostrando entrecas verdes, ramificação bem característica do gênero, com 3-8 ramos partindo do mesmo nó e as folhas agrupadas no ápice; planta muito rara no local, tendo sido encontrado apenas 1 indivíduo, folílos cartáceos com margem lisa ou às vezes esparsamente crenado-glandulosa; a glândula globosa e esverdeada. Estéril.","Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","F","Botany","V0386373F","Luetzelburgia amazonica","","Fabaceae","Luetzelburgia","amazonica","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","2920","","D. B. Cardoso & T. M. d. Moura",2010,5,2,"Brazil",,,,-10.8339,-52.8731,,"Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","NY","NY","880232","Luetzelburgia amazonica","","Fabaceae","Luetzelburgia","amazonica","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","2920","","D. B. O. S. Cardoso",2010,5,2,"Brazil","Rondônia",,"Campo Novo de Rondônia: Estrada da área antiga de minreação de casseterita, no sope da Serra do Balateiro.",-10.6217,-63.6175,,"Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","125978","Luetzelburgia amazonica","","Fabaceae","Luetzelburgia","amazonica","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Cardoso, D",2010,"","2920","","Cardoso, D; Moura, TM; Sr. Joilson; Marinho, B",2010,5,2,"Brazil","Rondônia","Campo Novo de Rondônia","estrada da área antiga de mineração de casseterita, no spé da Serra do Balateiro.",-10.621667,-63.6175,"ca. 4 m alt. Tronco cinza, quando raspado mostrando entrecascas verdes, ramificação bem característica do gêneo. Com 3-8 ramos partindo do mesmo nó e as folhas agrupadas no ápice. Planta muito rara no local. Tendo sido encontrado apen","Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","133079","Luetzelburgia amazonica","","Fabaceae","Luetzelburgia","amazonica","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","D. Cardoso",,"","2920","","D. Cardoso",2001,6,2,"Brazil","Roraima","CAMPO NOVO DE RONDÔNIA","Estrada de área antiga de mineração de cassaterita, no sopé da Serra do Balateiro.",-10.621667,-63.6175,,"Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","181071","Luetzelburgia amazonica","","Fabaceae","Luetzelburgia","amazonica","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Grimes, J.W.",1988,"","34997","","Mike Hopkins",1987,3,4,"Brazil","Rondônia",,"Ca. 5 km. S of Campo Novo, on road to old mining area at Balateiro.",-10.633333,-63.62,,"Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","181076","Luetzelburgia amazonica","","Fabaceae","Luetzelburgia","amazonica","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Grimes, J.W.",1988,"","35002","","Mike Hopkins",1987,3,4,"Brazil","Rondônia",,"Ca. 5 km. S of Campo Novo, on road to old mining area at Balateiro.",-10.633333,-63.62,,"Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","F","Botany","V0360651F","Luetzelburgia amazonica","","Fabaceae","Luetzelburgia","amazonica","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","RRC ID Flag",2012,"","8908","","C. A. Cid Ferreira",1987,4,23,"Brazil","Rondônia",,"Porto Velho, estrada da Serra do Balateiro a 3 km da Vila Campo Novon",-10.58,-63.65,,"Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","MO","MO","3197636","Luetzelburgia amazonica","","Fabaceae","Luetzelburgia","amazonica","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","D. Cardoso",2012,"","Nee 35002","","Michael H. Nee",1987,4,23,"Brazil","Rondônia",,"Forest on hill, ca. 5 km. S of Campo Novo, on road to old mining area at Balateiro. Many large granite boulders. Mun. Porto Velho.",-10.633333,-63.616667,,"Luetzelburgia amazonica D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
