"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","246067","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","4540","","Cardoso, D.",2018,3,22,"Brazil","Bahia","Boa Vista do Tupim","Fazenda Esperança, plot #1 Projeto Nordeste.",-12.724444,-40.710278,"Floresta estacional decidual.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133280","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Guedes, ML",2018,"","30511","","Guedes, ML; Oliveira, MAJ de; Lopes, EB; Alunos de Botânica Paisagismo",2018,6,17,"Brazil","Bahia","Maracás","Sudoeste, Fazenda Candial.",-13.545278,-40.544722,"de ca 5 m de altura. Folhas com folíolos coriáceos. Flores com cálice vináceo escuro e pétalas vináceas, com base branca.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","UEFS","HUEFS","246553","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","4202","","Cardoso, D.",2017,11,29,"Brazil","Bahia","Tanquinho","Serra de Tanquinho, floresta tropical sazonalmente seca no topo do afloramento granítico.",-11.999722,-39.102778,,"Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","UEFS","HUEFS","238907","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","3520","","Cardoso, D.",2015,1,11,"Brazil","Bahia","Santa Teresinha","Afloramento na beira da estrada entre Santa Teresinha e Elísio Medrado.",-12.803611,-39.541389,,"Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","131854","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","3520","","Cardoso, D; Ramos, G; Araújo, LC",2015,1,11,"Brazil","Bahia","Santa Teresinha","Recôncavo Sul, Afloramento na beira da estrada entre Santa Teresinha e El?sio Medrado.",-12.803611,-39.541389,"ca. 10 m alt., bastante ramificada, copa ampla e baixa, ramos podendo ser alcançados a ca. 1 m alt.; tronco com entrecasca verde. Folhas com folíolos papiráceos. Estéril. DNA. Foto.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","135350","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","Cardoso, D; Ramos, G",2015,"","89","","Ramos, G; Cardoso, D",2015,1,10,"Brazil","Bahia","Santa Teresinha","Recôncavo Sul, Serra da Jibóia. Estrada da Reserva do Gambá.",,,"ca. 10 m. Folíolos concolores.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","UEFS","HUEFS","186367","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","11109","","Melo, E.",2012,5,19,"Brazil","Bahia","Itatim","Inselbergue Morro das Tocas, base e encosta do morro.",-12.727778,-39.704444,"Caatinga.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","UEFS","HUEFS","186468","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","L.P.Queiroz",2014,"","11200","","Melo, E.",2012,6,30,"Brazil","Bahia","Itatim","Inselbergue Morro das Tocas. Base.",-12.727778,-39.704444,"Mata na base do inselbergue.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","UEFS","HUEFS","196055","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","3255","","Cardoso, D.",2012,10,13,"Brazil","Bahia","Anagé","ca. 5 km na estrada para a barragem.",-14.6375,-41.168333,"Caatinga arbórea.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","UEFS","HUEFS","196049","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","3249","","Cardoso, D.",2012,10,12,"Brazil","Bahia","Itaberaba","BR-242, afloramento granítico do lado direito da rodavia sentido Itaberaba.",-12.522778,-40.339167,"Caatinga.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","UEFS","HUEFS","196063","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","3263","","Cardoso, D.",2012,10,15,"Brazil","Bahia","Planaltino","ca. 30 km N de Maracás.",-13.25,-40.35,"Caatinga.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","UEFS","HUEFS","178060","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","E.Melo",2011,"","10521","","Melo, E.",2011,11,2,"Brazil","Bahia","Maracás","Ca. 3 Km da cidade. Estrada de terra.",-13.460833,-40.493333,,"Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","UEFS","HUEFS","160680","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","2844","","Cardoso, D.",2010,3,20,"Brazil","Bahia","Itatim","Morro do Coité (ou Morro do letreiro Tiresoles).",-12.724722,-39.718889,"Caatinga arbórea na encosta do inselberg.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","UFRB","HURB","7985","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","1115","","Costa, G.; A. Jardim & A.A. Conceição",2009,1,20,"Brazil","Bahia","Bom Jesus da Serra","Área da mineradora de amianto;",,,"estéril.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
"","JBRJ","RB","RB00616525","Luetzelburgia purpurea","","Fabaceae","Luetzelburgia","purpurea","","D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima",,,"","2558","","Sergio Miana Faria; Eduardo Fonseca Silva",2009,3,,"Brazil","Rio de Janeiro","Rio de Janeiro","Embrapa. Agribiologia.",,,"2 mudas sem nódulos.","Luetzelburgia purpurea D.B.O.S.Cardoso, L.P.Queiroz & H.C.Lima","",,"GBIF"
