"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00901552","Machaerium caratinganum","","Fabaceae","Machaerium","caratinganum","","Kuhlm. & Hoehne","Fabiana Filardi",,"","7850","","Haroldo C. de Lima; Rogério Gribel & Marcus F.O. Silva",2014,10,20,"Brazil","Minas Gerais","Jequitinhonha","Itaobim, BR-367, Km 186, Mumbuca, estrada vicinal para plantação de Eucaliptos. Caatinga/floresta estacional.",-16.532222,-41.2475,"Trepadeira com ramos achatados. Frutos passados com núcleo castanho e ala pardo-clara. Frequente. Material para banco de DNA.","Machaerium caratinganum Kuhlm. & Hoehne","",,"GBIF"
"","MBML","MBML-HERBARIO","41056","Machaerium caratinganum","","Fabaceae","Machaerium","caratinganum","","Kuhlm. & Hoehne","A.P. Fontana/29-VI-2016",,"","1127","","D.R. Couto; Manhães, V. Kollmann, L. & Fontana, A.",2009,3,17,"Brazil","Espírito Santo","Alegre","São João do Norte",,,"Árvore 6,5 metros; frutos imaturos verde/ amarelado. Árvore 83. PCH Santa Fé.","Machaerium caratinganum Kuhlm. & Hoehne","",,"GBIF"
"","JBRJ","RB","RB00522559","Machaerium caratinganum","","Fabaceae","Machaerium","caratinganum","","Kuhlm. & Hoehne",,,"","958","","Robson D. Ribeiro; H.C. de Lima; M. Otávia; J.M.L.Gomes; C. de Mello & F. Schaeffer",2008,4,2,"Brazil","Espírito Santo","Aracruz","Córrego d´agua. Faz. do Retiro ( Proprietário Manoel Pedro Cararetto). Fragmento de Floresta sobre morrete, solo argiloso.",-19.729167,-40.278056,"Trepadeira lenhosa com ramos roliços. Folhas concolores. Estéril. Frequente na área. Planta armada. DNA","Machaerium caratinganum Kuhlm. & Hoehne","",,"GBIF"
"","JBRJ","RB","RB00467299","Machaerium caratinganum","","Fabaceae","Machaerium","caratinganum","","Kuhlm. & Hoehne","Filardi, F.L.R.",2011,"","753","","Filardi, F.L.R.; Lima, H.C.; Ribeiro, R.D. & Meireles, J.E.",2007,4,3,"Brazil","Espírito Santo","Espírito Santo","Município de Aracruz, Santa Cruz, Vila de Itaparica, Fazenda D´Omar (prop. Sérgio Bellotti).",,,"Liana armada, estéril. Material DNA.","Machaerium caratinganum Kuhlm. & Hoehne","",,"GBIF"
"","JBRJ","RB","RB00467333","Machaerium caratinganum","","Fabaceae","Machaerium","caratinganum","","Kuhlm. & Hoehne","Filardi, F.L.R.",,"","761","","Filardi, F.L.R.; Lima, H.C.; Ribeiro, R.D. & Meireles, J.E.",2007,4,4,"Brazil","Espírito Santo","Espírito Santo","Município de Serra, estrada entre Santa Cruz e Santa Rosa.",,,"Liana armada, estéril.","Machaerium caratinganum Kuhlm. & Hoehne","",,"GBIF"
"","JBRJ","RB","RB00467329","Machaerium caratinganum","","Fabaceae","Machaerium","caratinganum","","Kuhlm. & Hoehne","Filardi, F.L.R.",,"","759","","Filardi, F.L.R.; Lima, H.C.; Ribeiro, R.D. & Meireles, J.E.",2007,4,4,"Brazil","Espírito Santo","Espírito Santo","Município de Serra, estrada entre Santa Cruz e Santa Rosa.",,,"Liana com estípulas espinescentes, estéril.","Machaerium caratinganum Kuhlm. & Hoehne","",,"GBIF"
"","JBRJ","RB","RB00672093","Machaerium caratinganum","","Fabaceae","Machaerium","caratinganum","","Kuhlm. & Hoehne","F.L.R. Filardi",,"","5110","","D.A. Folli",2005,10,20,"Brazil","Espírito Santo","Linhares","Reserva Natural da CVRD. Aceiro BR- 101.",,,"Trepadeira. Porte lenhoso. Exsudação incolor. Fruto maduro marrom. Fruto imaturo verde.","Machaerium caratinganum Kuhlm. & Hoehne","",,"GBIF"
"","JBRJ","RB","RB00704158","Machaerium caratinganum","","Fabaceae","Machaerium","caratinganum","","Kuhlm. & Hoehne","F. Filardi",,"","5110","","D.A. Folli",2005,10,20,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Aceiro BR - 101.",,,"Trepadeira. Fruto maduro marrom, fruto imaturo verde. Seiva incolor. Lenhoso.","Machaerium caratinganum Kuhlm. & Hoehne","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","102993","Machaerium caratinganum","","Fabaceae","Machaerium","caratinganum","","Kuhlm. & Hoehne","F. L. R. Filardi",,"","13630","","W. W. Thomas",2004,1,30,"Brazil","Bahia","macarani","11.6Km ao S de Macarani Rod. p/ Bandeiras, Minas Gerais.",-15.641111,-40.483889,,"Machaerium caratinganum Kuhlm. & Hoehne","",,"GBIF"
"","NY","NY","00749530","Machaerium caratinganum","","Fabaceae","Machaerium","caratinganum","","Kuhlm. & Hoehne","F. L. R. Filardi",2010,"","13630","","W. W. Thomas",2004,1,30,"Brazil","Bahia",,"11.6 km S of Macarani on rd to Bandeiras, Minas Gerais.",-15.641111,-40.483889,,"Machaerium caratinganum Kuhlm. & Hoehne","",,"GBIF"
