"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01414948","Machaerium incorruptibile","","Fabaceae","Machaerium","incorruptibile","","(Vell.) Benth.","H.C. de Lima",,"","8930","","Haroldo C. de Lima; Marcelo T. Nascimento, Davi N.S. Machado, Herick B.M. Viana, Patrícia M. Santos",2019,7,19,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Funil. Fragmento de Floresta Estacional Semidecidual de Tabuleiro.",-21.544444,-41.204722,"Árvore com ca. 10 m alt. Tronco com casca escamosa, placas finas, pardo-acinzentada, DAP 18 cm. Folhas membranáceas, discolores. Frutos esverdeados.","Machaerium incorruptibile (Vell.) Benth.","",,"GBIF"
"","JBRJ","RB","RB01414902","Machaerium incorruptibile","","Fabaceae","Machaerium","incorruptibile","","(Vell.) Benth.","E.A. Fortes",2019,"","8883","","Haroldo C. de Lima; Marcelo T. Nascimento, Davi N.S. Machado, Herick B.M. Viana, Patrícia M. Santos",2019,7,17,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Santa Luzia, Mata do Mico. Fragmento de Floresta Estacional Semidecidual de Tabuleiro.",-21.340278,-41.231111,"Árvore pequena, com 6 m alt. Tronco com casca escamosa, placas finas, pardo-escura, DAP ca. 10 cm. Estéril.","Machaerium incorruptibile (Vell.) Benth.","",,"GBIF"
"","UEFS","HUEFS","237438","Machaerium incorruptibile","","Fabaceae","Machaerium","incorruptibile","","(Vell.) Benth.",,,"","8930","","Lima, H.C.de",2019,7,19,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Mata do Funil.",-21.544444,-41.204722,"Fragmento de Floresta Estacional Semidecidual de Tabuleiro.","Machaerium incorruptibile (Vell.) Benth.","",,"GBIF"
"","JBRJ","RB","RB01394002","Machaerium incorruptibile","","Fabaceae","Machaerium","incorruptibile","","(Vell.) Benth.","H.C. de Lima",,"","27","","Elenice A. Fortes; Haroldo C. de Lima, Igor S. Broggio, Herick B. M. Viana, Nilson B. Neves",2018,6,7,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Ponta norte da mata. Condomínio, próximo à estrada da Cobiça. Floresta Estacional. Estação Ecológica Estadual de Guaxindiba",-21.367222,-41.081944,"Árvore, muito ramificada na base,  DAP 15+10+8.5+8+6+5.5+5+4 cm. Ramos  terminais roliços acinzentados, inermes, com lenticelas. Ramos mais jovens tomentosos, pecíolo tomentoso. Folíolos face adaxial verde clara, brilhosa. Sâmaras com núcleo seminífero verde escuro e estriado, ala verde-clara amarelada com mancha marrom no ápice e com nervuras longitudinais. Fotos HCL e EAF.","Machaerium incorruptibile (Vell.) Benth.","",,"GBIF"
"","UEFS","HUEFS","246505","Machaerium incorruptibile","","Fabaceae","Machaerium","incorruptibile","","(Vell.) Benth.",,,"","27","","Fortes, E.A.",2018,6,7,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Estação Ecológica Estadual de Guaxindiba. Ponta norte da mata. Condomínio, próximo à estrada da Cobiça.",-21.367222,-41.081944,"Floresta Estacional.","Machaerium incorruptibile (Vell.) Benth.","",,"GBIF"
"","JBRJ","RB","RB01401468","Machaerium incorruptibile","","Fabaceae","Machaerium","incorruptibile","","(Vell.) Benth.","E.A Fortes",,"","82","","Elenice A. Fortes; Herick B. M. Viana, Mel de C. Camelo, Nilson B. Neves Neto",2018,12,11,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Na borda da mata, estrada de aceiro que contorna a faixa leste da mata. Floresta Estacional Semidecidual.",-21.406944,-41.083056,"Arvoreta ca. 7 m alt. , tronco com casca escura, desprendendo-se em pedaços finos, DAP 18,1+9,5 cm. Com frutos jovens. Fotos EAF.","Machaerium incorruptibile (Vell.) Benth.","",,"GBIF"
"","UEFS","HUEFS","237481","Machaerium incorruptibile","","Fabaceae","Machaerium","incorruptibile","","(Vell.) Benth.",,,"","82","","Fortes, E.A.",2018,12,11,"Brazil","Rio de Janeiro","São Francisco de Itabapoana","Estação Ecológica Estadual Guaxindiba. Na borda da mata, estrada de aceiro que contorna a faixa leste da mata.",-21.406944,-41.083056,"Floresta Estacional Semidecidual.","Machaerium incorruptibile (Vell.) Benth.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","139504","Machaerium incorruptibile","","Fabaceae","Machaerium","incorruptibile","","(Vell.) Benth.","Filardi, F.R.L.",2017,"","413","","Cornia, M. G. K., Silva, R. F; Nahssen, M. H. C; Fernandes, N. L; Alves, D. M; Souza, V. C; Rodrigues, R. R; Koch, I. Colletta, G.",2017,4,21,"Brazil","Rio de Janeiro","Rio de Janeiro","Ilha do Governador. Base de Fusileiros Navais. Floresta Ombrófila Densa",,,"Frutos amarronzados.","Machaerium incorruptibile (Vell.) Benth.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","140974","Machaerium incorruptibile","","Fabaceae","Machaerium","incorruptibile","","(Vell.) Benth.","Filardi, F.R.L.",2017,"","413","","Cornia, M. G. K.; Silva, R. F; Nahssen, M. H. C; Fernandes, N. L; Alves, D. M; Souza, V. C; Rodrigues, R. R; Koch, I. Colletta, G. D.",2017,4,21,"Brazil","Rio de Janeiro","Rio de Janeiro","Ilha do Governador. Base de Fusileiros Navais. Floresta Ombrófila Densa",,,"Frutos amarronzados.","Machaerium incorruptibile (Vell.) Benth.","",,"GBIF"
"","UFRB","HURB","17270","Machaerium incorruptibile","","Fabaceae","Machaerium","incorruptibile","","(Vell.) Benth.",,,"",,"","Almeida, T.",2016,4,19,"Brazil","Bahia","Salvador","Ipitanga; APA Joanes",,,"P 219 A1. <ll>dwc_commonname:</ll> Juerana","Machaerium incorruptibile (Vell.) Benth.","",,"GBIF"
