"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01379545","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","Fabiana Filardi & Davi N. S.",2018,"","2189","","D.N.S. Machado; L.R. Caires, J. Melo e L.P.M. de Moraes.",2017,12,27,"Brazil","Rio de Janeiro","Niterói","Itaipu. Início da Trilha para o Alto Mourão, Estrada Francisco da Cruz Nunes. Parque Estadual da Serra da Tiririca",-22.961944,-43.030278,"Árvore com cerca de 6,0 m de altura, heliófila, folhas membranáceas discolores verdes, caule e ramos com grandes espinhos, frutos marrons.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","221358","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","8113","","Lima, H.C.de",2015,10,9,"Brazil","Rio de Janeiro","Niterói","Jurujuba, APA dos Fortes, trilha para o Forte do Imbuí (Avenida Imbuí).",-22.940833,-43.113889,"Mata baixa sobre afloramento rochoso.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB01037204","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","H.C. de Lima",,"","8113","","Haroldo C. de Lima; D.N.S. Machado; L. Cardoso; L. Caires; L. Cunha",2015,10,9,"Brazil","Rio de Janeiro","Niterói","Jurujuba, APA dos Fortes, Trilha p/ o Forte do Imbuí (Avenida Imbuí).",-22.940833,-43.113889,"Árvore com 12m alt. Tronco com casca lisa, aneis transversais. Rebroto na base do caule com espinhos ou estípulas espinescentes, DAP ca 25cm. Frutos passados. Muito Frequente. Material Banco de DNA.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB01037209","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","H.C. de Lima",,"","8118","","Haroldo C. de Lima; D.N.S. Machado; L. Cardoso; L. Caires; L. Cunha",2015,10,9,"Brazil","Rio de Janeiro","Niterói","Jurujuba, APA dos Fortes, Trilha p/ o Forte do Imbuí (Avenida Imbuí).",-22.940555,-43.113333,"Árvore com 10m alt. Flores de rebroto na base. Frutos passados. Material Banco de DNA. Frequente","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","211807","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","1507","","Nascimento, F.H.F.",2014,1,30,"Brazil","Bahia","Jussari","RPPN Serra do Teimoso.",-15.158333,-39.535,,"Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","211800","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","1500","","Nascimento, F.H.F.",2014,1,30,"Brazil","Bahia","Jussari","RPPN Serra do Teimoso.",-15.158333,-39.535,,"Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","218524","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","7762","","Lima, H.C.de",2014,3,10,"Brazil","Bahia","Itaju do Colônia","Fazenda Nova Esperança.",-14.9,-39.625556,"Mata Seca.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","218529","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","7770","","Lima, H.C.de",2014,3,13,"Brazil","Bahia","Porto Seguro","Rod. BA-367, Km 36, Estação Ecológica do Pau-Brasil /ESPAB. Estrada do ronco d'água.",-16.386111,-39.176944,"Mata de tabuleiro.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","218531","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","7772","","Lima, H.C.de",2014,3,14,"Brazil","Bahia","Porto Seguro","Rod. BA-367, Km 36, Estação Ecológica do Pau-Brasil /ESPAB. Estrada do Pequiá.",-16.376389,-39.173333,"Mata de tabuleiro.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00841094","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","H.C. de Lima",,"","7762","","Haroldo C. de Lima; D.M. Neves, G.P. Lewis, L.P. Queiroz, C.Vivas, J.L. Paixão",2014,3,10,"Brazil","Bahia","Itaju do Colônia","Faz. Nova Esperança. Mata Seca.",-14.9,-39.625556,"Árvore com 15 m alt. Tronco com casca lisa, DAP ca. 20 cm. Inflorescências passadas, flores com cálice ferrugíneo. Ocasional. Material DNA.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00850415","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","F. Filardi",,"","1801","","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G; Pezzini, F.",2014,3,17,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Proximo do barracao do viveiro.",-19.163611,-39.974722,"Arvore 3m","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","NY","NY","02704091","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","7762","","H. C. Lima",2014,3,10,"Brazil","Bahia",,"Faz. Nova Esperança. Mata Seca.",-14.9,-39.625556,,"Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","USP","SPF","226195","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","Lima, HC",2014,"","7762","","Lima, HC",2014,3,10,"Brazil","Bahia","Itaju do Colônia","Faz. Nova Esperança.",-14.9,-39.625556,,"Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","138478","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","H. C. de Lima",,"","7762","","H. C. de Lima",2014,3,10,"Brazil","Bahia","ITAJÚ DO COLÔNIA","Faz. Nova Esperança.",-14.9,-39.625556,"<ll>dwc_commonname:</ll>","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","209981","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","1079","","Nascimento, F.H.F.",2013,3,15,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",-19.15,-40.05,"Floresta Estacional Perenifólia.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","209980","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","1078","","Nascimento, F.H.F.",2013,3,15,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",-19.15,-40.05,"Floresta Estacional Perenifólia.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","209979","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","1077","","Nascimento, F.H.F.",2013,3,15,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",-19.15,-40.05,"Floresta Estacional Perenifólia.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00607459","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","941","","Fabiana L.R. Filardi; Haroldo C. de Lima & Vitor H.S. Maia",2011,2,3,"Brazil","Rio de Janeiro","Rio de Janeiro","Canteiro 32 D. Jardim Botânico.",,,"Árvore ca. 10 m alt. Estéril. DNA (sementes provinientes de Itaobim- MG). Nº da coleção viva 6668.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","177846","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","L.P.Queiroz",2014,"","10307","","Melo, E.",2011,8,18,"Brazil","Ceará","Missão Velha","Distrito de Arajara.",-7.340833,-39.416389,,"Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00704172","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","F. Filardi",,"","6678","","D.A. Folli",2010,8,21,"Brazil","Espírito Santo","Domingos Martins","Propriedade R.M. de Jesus.",-20.414167,-46.613889,"Arbóreo. Terrestre. Fruto maduro marrom, fruto imaturo marrom, seiva incolor, fuste cilindrico alt 7 m Cap 41 cm, diamentro da copa 2 m. Alt 10 m,","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00519286","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","Filardi, F. L. R.",2008,"","797","","Filardi, F. L. R.; Guimarães, E. F.; Mansano, V. F.; Pereira, L. A. & Heiden, G.",2008,1,19,"Brazil","Espírito Santo","Pinheiros","Reserva Natural Victorio Orletti, nos arredores da Rebio Córrego do Veado.",-18.497778,-40.257222,"Árvore caída, rebroto ca. 2M alt., ramos mais velhos com acúleos grandes e espessos e ramos mais jovens com acúleos delgados com indumento  ferrugíneo semelhante ao dos ramos, raque foliar, peciólulos e nervura principal na face abaxial dos folíolos, face adaxial glabra, lustrosa, estéril. Material DNA.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","MBML","MBML-HERBARIO","41338","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","A.M. Assis/30-03-2008",,"","1437","","A. M. Assis; Valdir G. Demuner; Karla Fabiola O. Faria",2008,3,15,"Brazil","Espírito Santo","Itapemirim","Fazenda do Ouvidor - Usina Paineiras. Porção oeste do Fragmento de 600 ha. Acesso pela Rodovia ES-490.",-20.938056,-41.047222,"Árvore 10 m. Fruto verde. Borda da Mata. Floresta Estacional Semidecidual em Estágio Avançado de Regeneração.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","MBML","MBML-HERBARIO","41339","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","A.M. Assis/30-03-2008",,"","1426","","A. M. Assis; Valdir G. Demuner",2008,3,14,"Brazil","Espírito Santo","Itapemirim","Fazenda do Ouvidor - Usina Paineiras. Porção oeste do Fragmento de 600 ha. Acesso pela Rodovia ES-490.",-20.938056,-41.047222,"Arvoreta 7 m. Flor lilás; frutos verdes. Borda da Mata. Floresta Estacional Semidecidual em Estágio Avançado de Regeneração.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00522567","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","965","","Robson D. Ribeiro; H.C. de Lima; M. Otávia; J.M.L.Gomes; C. de Mello & F. Schaeffer",2008,4,2,"Brazil","Espírito Santo","Aracruz","Vila do Riacho, Cuias, Fazenda Manuá. Prppriedade do Sr. Levi Bastos. Fragmento de Floresta sobre tabuleiro, solo argiloso arenoso.",-19.662222,-40.158889,"Árvore com 7 metros de altura, tronco cilindrico pardo acizentado, não visto espinhos. Folhas discolores com raque de indumento vinoso. DNA. Frequente na área.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UEFS","HUEFS","135869","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","401","","Carvalho, P.D.",2008,5,24,"Brazil","Bahia","Palmeiras","Estrada Palmeiras - Guiné, após a ponte.",-12.613611,-41.574167,"Transição caatinga e cerrado.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00536772","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","Filardi, F.L.R.",2008,"","851","","Filardi, F.L.R.; Lima, H.C.; Ribeiro, R.D.; Silva, A.G. & Calvet, A.A.",2008,7,22,"Brazil","Bahia","Mucuri","Rod. BA 698 Km 35.",-18.047222,-39.624722,"Arvoreta com ca. 2m de alt., armada, estéril. Material DNA.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00467219","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","Filardi, F.L.R.",,"","748","","Filardi, F.L.R.; Lima, H.C.; Ribeiro, R.D. & Meireles, J.E.",2007,4,3,"Brazil","Espírito Santo","Espírito Santo","Município de Aracruz, Santa Cruz, Vila de Itaparica, Fazenda D´Omar (prop. Sérgio Bellotti).",,,"Árvore cerca de 6 metros de altura, CAP=31+26+15cm, tronco escamoso, amarronzado, rebrotos armados, estéril. Material DNA e folíolos fixados para anatomia.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00467322","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","Filardi, F.L.R.",,"","756","","Filardi, F.L.R.; Lima, H.C.; Ribeiro, R.D. & Meireles, J.E.",2007,4,3,"Brazil","Espírito Santo","Espírito Santo","Município de Aracruz, Santa Cruz, Vila Itaparica, Fazenda D´Omar (prop. Sérgio Bellotti).",,,"Árvore cerca de 7 metros de altura, DAP=14+15+17cm, armada, estéril.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","MBML","MBML-HERBARIO","41369","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","1220","","A. M. Assis; Valdir G. Demuner; Karla Fabiola O. Faria",2007,12,28,"Brazil","Espírito Santo","Itapemirim","Fazenda do Ouvidor - Usina Paineiras. Fragmento 125 ha (altitude 20-100 m). Acesso pela Rodovia ES-490, entrada à esquerda, 2,5 km após o trevo da SAFRA, em direção à Marataízes",-20.9325,-41.055,"Arvoreta 9 m. DAP 15 cm. Botões marrons; flor lilas; frutos vináceos. Borda da Mata. Floresta Estacional Semidecidual em Estágio Médio/Avançado de Regeneração.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","MBM","MBM","314165","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","6068","","Lima, HC de",2003,2,18,"Brazil","Rio de Janeiro","Rio das Ostras","Mar do Norte, loteamento do Mar do Norte, Rodovia Amaral Peixoto, km 163",,,"Árvore com 8 metros de altura. Tronco com casca acinzentada e fissurada. DAP ca. 40 cm, Botões verde sub-áureos.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","F","Botany","V0372194F","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","6068","","H. C. de Lima et al.",2003,2,18,"Brazil",,,,-10.8339,-52.8731,,"Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","88670","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","F. L. R. Filardi",,"","6911","","A. M. de Carvalho",2001,8,14,"Brazil","Bahia","RIBEIRÃO DO LARGO","Ca. 23Km na estrada, Itambé/Encruzilhada.",-15.3275,-40.751389,,"Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00355228","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","F. L. R. Filardi",2010,"","5833","","Haroldo C. de Lima; Robelio D.Santana, Gilvan A.Costa",2001,8,1,"Brazil","Bahia","Pau Brasil","Vadiação, Faz. Bom Jardim, Prop.Cosme Leoni.",,,"árvore com 4m de altura, tronco e ramos com acúleos, estéril","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","JBRJ","RB","RB00169494","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","F.R. Filardi & H.C. Lima",,"","2239","","S.M.DE FARIA; J.P. DA SILVA, J.L. OLIVEIRA",2001,10,24,"Brazil","Bahia","Licínio de Almeida","FEIXE DE VARA.",,,"ÁRV. COM 2 M, ARMADA COM ESPINHOS LONGOS ESTÉRIL NÃO OBSERVADO A NODULAÇÃO.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","57645","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd",,,"","550","","Mendonça Filho, CV",2000,5,19,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico, cultivada de sementes proveniente",,,"Arvoreta ca. 5 m, ramificada na base, tronco acinzentado, lenticelas horizontais e acúleos robustos","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
"","UNICAMP","UEC","114665","Machaerium ovalifolium","","Fabaceae","Machaerium","ovalifolium","","Glaz. ex Rudd","Mendonça Filho, CV",2002,"","550","","Mendonça Filho, CV",2000,5,19,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico",,,"Arvoreta ca. 5m, ramificada na base. Frutos imaturos verdes. Tronco acinzentado, lenticelas horizontais e acúleos robustos de base larga.","Machaerium ovalifolium Glaz. ex Rudd","",,"GBIF"
