"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","213413","Macrolobium brevense","","Fabaceae","Macrolobium","brevense","","Ducke",,,"","1997","","Neves, D.M.",2014,8,29,"Brazil","Pará","Melgaço","Flona Caxiuana, Estação Científica Ferreira Penna, praia da fazenda.",-1.778333,-51.425,"Borda de capoeira (mata de tera firme secundária).","Macrolobium brevense Ducke","",,"GBIF"
"","JBRJ","RB","RB00903512","Macrolobium brevense","","Fabaceae","Macrolobium","brevense","","Ducke","Neves, D.M.",,"","1997","","Neves, D.M.; Silva, A.S.L.; Carvalho, C.; Barbosa, C.V.O.; Teixeira, L.A.",2014,8,29,"Brazil","Pará","Melgaço","Flona Caxiuana, Estacao Cientifica Ferreira Penna, praia da fazenda.",-1.778333,-51.425,"Macrolobium brevense","Macrolobium brevense Ducke","",,"GBIF"
"","MPEG","HERBMG","MG228500","Macrolobium brevense","","Fabaceae","Macrolobium","brevense","","Ducke","Carvalho, C.",,"",,"","Carvalho, C.; Neves, D.; Silva, A.; Texeira, L.",2014,8,28,"Brazil","Pará",,"Floresta Nacional de Caxiuanã",-1.778333,-51.425,,"Macrolobium brevense Ducke","",,"GBIF"
"","JBRJ","RB","RB00903551","Macrolobium brevense","","Fabaceae","Macrolobium","brevense","","Ducke","Neves, D.M.",2015,"","2040","","Neves, D.M.; Silva, A.S.L.; Carvalho, C.; Barbosa, C.V.O.; Teixeira, L.A.",2014,9,2,"Brazil","Pará","Melgaço","Flona Caxiuana Estacao Cientifica Ferreira Penna, Batelao.",-1.786389,-51.543889,"Arvore ca. 25m alt., foliolos papiraceos, inflorescencia com botoes e flores, calice verde, corola branca, estames vermelhos","Macrolobium brevense Ducke","",,"GBIF"
"","JBRJ","RB","RB00652082","Macrolobium brevense","","Fabaceae","Macrolobium","brevense","","Ducke","H.C. Lima",,"","7358","","Haroldo C. de Lima; M.A. Moraes, A. Quinet & A. Santos",2011,8,19,"Brazil","Amazonas","Barcelos","Igarapé Preto, afluente do rio Jauari. Vegetação de margem de rio.",,,"Árvore com 8 metros de altura. Frutos imaturos. Ocasional na mata de margem de rio (igapó). Material para banco de DNA.","Macrolobium brevense Ducke","",,"GBIF"
"","MPEG","HERBMG","MG167369","Macrolobium brevense","","Fabaceae","Macrolobium","brevense","","Ducke","Lobato, L.C.B.",,"",,"",,2001,8,23,"Brazil","Pará",,"Tucuruí",-3.936944,-49.660278,,"Macrolobium brevense Ducke","",,"GBIF"
"","MPEG","HERBMG","MG176877","Macrolobium brevense","","Fabaceae","Macrolobium","brevense","","Ducke","Félix-da-Silva, M.M.",,"",,"","Silva, A.S.L. da; Rosário, C.S.; Gomes, A.O.",1999,12,14,"Brazil","Pará",,"Melgaço",,,,"Macrolobium brevense Ducke","",,"GBIF"
"","US","Botany","3301633","Macrolobium brevense","","Fabaceae","Macrolobium","brevense","","Ducke",,,"","9912","","C. A. Cid Ferreira, A. J. Henderson, A. Scariot & J. G. Oliveira",1989,1,2,"Brazil","Amazonas",,"Fronteita entre Brasil e Peru, Rio Javari, Municipio de Atalia do Norte",-4.5,-71.67,,"Macrolobium brevense Ducke","",,"GBIF"
"","NY","NY","1162174","Macrolobium brevense","","Fabaceae","Macrolobium","brevense","","Ducke",,,"","9912","","C. A. Cid Ferreira",1989,1,,"Brazil","Amazonas",,"Rio Javari Fronteira entre Brasil e Peru, localidade Brasil.",-4.60773,-71.961694,,"Macrolobium brevense Ducke","",,"GBIF"
"","K","Herbarium","K000834735","Macrolobium brevense","","Fabaceae","Macrolobium","brevense","","Ducke","Barneby, R.",,"","9912","","Scariot, A.O.; Ferreira, C.A.C.; Oliveira, J.G.; Henderson, A.J.",1989,1,2,"Brazil",,"Atalaia do Norte","Rio Javarí. Fronteira entre Brasil e Peru.",-4.5,-71.67,"Plantas do Rio Javarí","Macrolobium brevense Ducke","",,"GBIF"
