"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","126539","Macrolobium rigidum","","Fabaceae","Macrolobium","rigidum","","R.S.Cowan","Guedes, ML",2017,"","25296","","Guedes, ML; Medeiros, A; et al.",2017,1,25,"Brazil","Bahia","Varzedo","Rio Cai Camarão.",-14,-40.25,"Folhas com folíolos coriáceos, discolores. Fruto imaturo.","Macrolobium rigidum R.S.Cowan","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","128689","Macrolobium rigidum","","Fabaceae","Macrolobium","rigidum","","R.S.Cowan","Guedes, ML",2017,"","s.n.","","Guedes, ML",2016,5,28,"Brazil","Bahia","Conde",,-11.8,-37.6,"Folhas com folíolos coriáceos, discolores. Inflorescência com flores vistosas.","Macrolobium rigidum R.S.Cowan","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","113285","Macrolobium rigidum","","Fabaceae","Macrolobium","rigidum","","R.S.Cowan","Guedes, ML",2014,"","21331","","Guedes, ML; Costa, TF",2014,4,5,"Brazil","Bahia","Barra do Itariri","Estrada na entrada das malvinas.",-12.583333,-38.016667,"Folhas com folíolos coriáceos, falciformes. Frutos imaturos verdes.","Macrolobium rigidum R.S.Cowan","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","117919","Macrolobium rigidum","","Fabaceae","Macrolobium","rigidum","","R.S.Cowan","Guedes, ML",2014,"","22979","","Guedes, ML; Kelmo, F; Alunos de Kelmo da Disciplina Ecologia",2014,11,6,"Brazil","Bahia","Maraú","Litoral Sul, Caminho Barra Grande para Itaipú de Fora.",-13.95,-38.933333,"de ca 6 m de altura. Folhas com folíolos coriáceos, discolores. Frutos imaturos.","Macrolobium rigidum R.S.Cowan","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","117935","Macrolobium rigidum","","Fabaceae","Macrolobium","rigidum","","R.S.Cowan","Guedes, ML",2014,"","22995","","Guedes, ML; Kelmo, F; Alunos de Kelmo da Disciplina Ecologia",2014,11,6,"Brazil","Bahia","Maraú","Litoral Sul, Caminho Barra Grande para Itaipú de Fora.",-13.95,-38.933333,"de ca 2 m de altura. Folhas com folíolos coriáceos. inflorescência com flores passadas.","Macrolobium rigidum R.S.Cowan","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","117988","Macrolobium rigidum","","Fabaceae","Macrolobium","rigidum","","R.S.Cowan","Guedes, ML",2015,"","23048","","Guedes, ML; Kelmo, F; Alunos de Kelmo da Disciplina Ecologia",2014,11,8,"Brazil","Bahia","Maraú","Litoral Sul, Ponto 02 a 8 km de Barra Grande.",-13.95,-38.933333,"de ca 6 m de altura. Inflorescência com botões esverdeados.","Macrolobium rigidum R.S.Cowan","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","52296","Macrolobium rigidum","","Fabaceae","Macrolobium","rigidum","","R.S.Cowan","Miranda, AM",2013,"","6575","","Miranda, AM; Barros, R; Silva, V",2013,7,11,"Brazil","Bahia","Mata de São João","Restinga arbórea",,,"arvoreta ca. 2m de alt.; caule enegrecido, folhas levemente coriáceas, flores alvas, muito frequente; Restinga Arbustiva","Macrolobium rigidum R.S.Cowan","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","54401","Macrolobium rigidum","","Fabaceae","Macrolobium","rigidum","","R.S.Cowan","Miranda, A.M.",2013,"","6575","","Miranda, A.M.",2013,7,11,"Brazil","Bahia","Mata de São João","Fragmento de mata atlântica, Usina São José.",,,"Arvoreta, ca. 2m, abundante; caule enegrecido; folha levemente coriácea; flor alva.; Restinga arbórea.","Macrolobium rigidum R.S.Cowan","",,"GBIF"
"","UFSJ","HUFSJ","6860","Macrolobium rigidum","","Fabaceae","Macrolobium","rigidum","","R.S.Cowan",,,"","6575","","Miranda, AM; Barros, R; Silva, V",2013,7,11,"Brazil","Bahia","Mata de São João","Restinga arbórea.",,,"Arvoreta, ca. 2m de altura, caule enegrecido, folhas levemente coriáceas, flores alvas. Muito frequente.","Macrolobium rigidum R.S.Cowan","",,"GBIF"
"","UEFS","HUEFS","199328","Macrolobium rigidum","","Fabaceae","Macrolobium","rigidum","","R.S.Cowan",,,"","6575","","Miranda, A.M.",2013,7,11,"Brazil","Bahia","Mata de São João",,,,"Restinga Arbórea","Macrolobium rigidum R.S.Cowan","",,"GBIF"
