"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFU","HUFU","79366","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.","Barbosa, B.D.; Silva, R. .P.",2019,"","202","","Fontelas, J.C.; Godoi, M.V.S.; Bertolini, M.A. & Brito, R.S.",2019,4,23,"Brazil","Minas Gerais","Diamantina","Estrada Diamantina - Conselheiro Mata, MG-220, próximo ao eucalipto",-18.291944,-43.7375,"Subarbusto ca 10cm, flores róseas; Campo rupestre","Mimosa adenotricha Benth.","",,"GBIF"
"","Cenargen","CEN","96704","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.","M. Simon",2017,"","5673","","Jair Eustáquio Quintino de Faria Jr.",2016,4,15,"Brazil","Mg","GOUVEIA","Estrada entrando paralela aos moinhos de vento do Camilinho, sítio do Mulato, área de extração do Tracomal.",-18.519722,-43.883611,"Doação do Herbário HDJF-3624.","Mimosa adenotricha Benth.","",,"GBIF"
"","USP","SPF","217874","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.","Borges, LM",2014,"","282","","Cota, MMT",2012,1,22,"Brazil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata. Próximo à entrada para Batatais.",-18.206278,-43.854281,,"Mimosa adenotricha Benth.","",,"GBIF"
"","JBRJ","RB","RB01098740","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.","L.M. Borges",2013,"","668","","L.M. Borges; B. Loeuille; M.T.C Watanabe",2012,4,28,"Brazil","Minas Gerais","Francisco Dumont","Serra do Cabral. estrada Joaquim Felício-Várzea da palma, 21,3 km de Joaquim Felício. Estrada Joaquim Felício-Francisco Dumont, bifurcação à 1802 km do início da estrada; 900 m no ramal à esquerda, Margem direita.Vereda antropizada.",-17.566389,-44.332778,"Arvore delgada ca. 3 m alt. Ramos verdes, parcialmente vináceos. Foliólulos verde. Corola alva. filetes róseos. Brácteas verdes com ápice vináceo. Formando população densa.","Mimosa adenotricha Benth.","",,"GBIF"
"","JBRJ","RB","RB01129305","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.","L.M. Borges",2012,"","671","","L.M. Borges; B. Loeuille; M.T.C. Watanabe",2012,4,28,"Brazil","Minas Gerais","Francisco Dumont","Serra do Cabral. Estrada Joaquim Felício- Várzia da Palma, 21,3 km de Joaquim Felício. Estrada Joaquim Felício- Francisco Dumont, bifurcação à 18,2 km do início da estrada; 3,9 km no ramal à direita.",-17.556944,-44.289444,,"Mimosa adenotricha Benth.","",,"GBIF"
"","USP","SPF","217709","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.","Borges, LM",2012,"","671","","Borges, LM",2012,4,28,"Brazil","Minas Gerais","Francisco Dumont","Serra do Cabral, Estrada Joaquim Felício#?#Várzea da Palma, 21,3 km de Joaquim Felício. Estrada Joaquim Felício#?#Francisco Dumont, bifurcação à 18,2 km do início da estrada; 3,9 km m no ramal à direita.",-17.557056,-44.289583,"Arvoreta delgada ca. 4 m alt. Ramos verdes, parcialmente vináceos. Foliólulos verde-claros. Pedúnculos vináceos. Corola creme-esverdeado. Filetes róseos. Frutos imaturos verdes, velhos enegrecidos. Amostra em sílica (RBdna e/ou SPF).","Mimosa adenotricha Benth.","",,"GBIF"
"","USP","SPF","217711","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.","Borges, LM",2013,"","645b","","Borges, LM",2012,4,26,"Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, Estrada Joaquim Felício#?#Várzea da Palma, 7-8,7 km de Joaquim Felício, margem direita.",-17.708361,-44.192194,"Arvoreta ca. 3 m alt. Ramos e raques verde-claros. Acúleos vináceos. Foliólulos verdes. Frequente localmente. Amostra em sílica (RBdna e/ou SPF). Prensado em álcool.; Campo rupestre após campo úmido. Entre rochas.","Mimosa adenotricha Benth.","",,"GBIF"
"","USP","SPF","217710","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.","Borges, LM",2013,"","668","","Borges, LM",2012,4,28,"Brazil","Minas Gerais","Francisco Dumont","Serra do Cabral, Estrada Joaquim Felício#?#Várzea da Palma, 21,3 km de Joaquim Felício. Estrada Joaquim Felício#?#Francisco Dumont, bifurcação à 18,2 km do início da estrada; 900 m no ramal à esquerda, margem direita.",-17.566472,-44.332806,"Arvoreta delgada ca. 3 m alt. Ramos verdes, parcialmente vináceos. Foliólulos verdes. Corola alva. Filetes róseos. Brácteas verdes com ápice vináceo. Formando população densa. Amostra em sílica (RBdna e/ou SPF). Prensado em álcool.;","Mimosa adenotricha Benth.","",,"GBIF"
"","USP","SPF","217875","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.","Borges, LM",2014,"","164","","Cota, MMT",2011,11,18,"Brazil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Próximo ao heliporto.",-18.088911,-43.339061,,"Mimosa adenotricha Benth.","",,"GBIF"
"","USP","SPF","198654","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.","Borges, LM",2010,"","345","","Borges, LM",2009,2,4,"Brazil","Minas Gerais","Congonhas do Norte","Serra do Cipó, Serra Talhada.",-18.861111,-43.75,,"Mimosa adenotricha Benth.","",,"GBIF"
"","NY","NY","02702151","Mimosa adenotricha","","Fabaceae","Mimosa","adenotricha","","Benth.",,,"","3162","","R. de Mello-Silva",2009,2,7,"Brazil","Minas Gerais",,"Contagem.  Fazenda Galheiros, de Julio Caetano Rodrigues (vulgo Julho Barbalho), ca. 3 km em estrada vicinal saindo a leste da rodovia Gouveia-Curvelo (BR259), ao sul da fazenda Contagem. Sopés da extremidade norte da Serra do Indaial, base de inselberg proximo ao Ribeirao da Contagem.",,,,"Mimosa adenotricha Benth.","",,"GBIF"
