"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01034816","Mimosa capito","","Fabaceae","Mimosa","capito","","Barneby","L.M. Borges",2012,"","598","","L.M. Borges; P.C. Baleeiro; M.T.C. Watanabe",2012,3,24,"Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros. Estrada GO 239, Alto Paraíso de Goiás - São Jorge, 9 km de Alto Paraíso; margem direita da estrada.",-14.157222,-47.599167,"Arvoreta ca. 2,5m alt. Copa obtriangular e corimbosa. Ramos verdes com indumento alvo passando a alaranjados após deiscência da periderme e então acinzentados. Foliólulos verde-claros, discolores. Raques verde-claras a vináceas. Brácteas laranjas a vináceas. Perianto alvo. Filetes rosados. Frutos jovens verdes; imaturos vináceos passando a marrons","Mimosa capito Barneby","",,"GBIF"
"","USP","SPF","217781","Mimosa capito","","Fabaceae","Mimosa","capito","","Barneby",,,"","598","","Borges, LM",2012,3,24,"Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, Estrada GO 239, Alto Paraíso de Goiás-São Jorge, 9 km de Alto Paraíso; margem direita da estrada.",-14.157278,-47.599333,"Arvoreta ca. 2,5 m alt. Copa obtriangular e corimbosa. Ramos verdes com indumento alvo passando a alaranjados após deiscência da periderme e então acinzentados. Foliólulos verde-claros, discolores. Raques verde-claras a vináceas. Brá","Mimosa capito Barneby","",,"GBIF"
"","NY","NY","02681520","Mimosa capito","","Fabaceae","Mimosa","capito","","Barneby",,,"","598","","L. M. Borges",2012,3,24,"Brazil","Goiás",,"Chapada dos Veadeiros. Estrada GO 239, Alto Paraíso de Goiás - São Jorge, 9 km de Alto Paraíso; margem direita da estrada.",-14.15728,-47.59933,,"Mimosa capito Barneby","",,"GBIF"
"","Cenargen","CEN","92141","Mimosa capito","","Fabaceae","Mimosa","capito","","Barneby","L. M. Borges",2017,"","510","","Leonardo Maurici Borges",2010,12,15,"Brazil","Go","ALTO PARAISO DE GOIAS","Chapada dos Veadeiros. Estrada GO 239, Distrito de São Jorge - Alto Paraíso, margem esquerda.",-14.156944,-47.598888,"Arvoreta ca. 3m com copa globosa a plana. Ramos cinza a alaranjados após deiscência da epiderme marron-acinzentada, indumento da porção apical alvo. Folhas levemente pendentes com eixos verde-claros. Foliólulos cartáceos verde. Fr","Mimosa capito Barneby","",,"GBIF"
"","USP","SPF","217780","Mimosa capito","","Fabaceae","Mimosa","capito","","Barneby","Borges, LM",2016,"","510","","Borges, LM",2010,12,15,"Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, Estrada GO 239 - Distrito de São Jorge - Alto Paraíso, margem esquerda.",-14.157028,-47.598972,"Arvoreta ca. 3 m com copa globosa a plana. Ramos cinza a alaranjados após deiscência da epiderme marrom-acinzentada, indumento da porção apical alvo. Folhas levemente pendentes com eixos verde-claros. Foliólulos cartáceos verdes. Fru","Mimosa capito Barneby","",,"GBIF"
"","UEFS","HUEFS","166632","Mimosa capito","","Fabaceae","Mimosa","capito","","Barneby","L.M.Borges",2015,"","16451","","Martinelli, G.",2009,4,15,"Brazil","Goiás","Cavalcante","Parque Nacional da Chapada dos Veadeiros. Alto do Cruzeiro.",-13.943889,-47.696111,"Campos Rupestres.","Mimosa capito Barneby","",,"GBIF"
"","JBRJ","RB","RB00570125","Mimosa capito","","Fabaceae","Mimosa","capito","","Barneby","L.M. Borges",2012,"","16451","","G. Martinelli; M.A.Moraes, E.Ferrnandes",2009,4,15,"Brazil","Goiás","Cavalcante","Parque Nacional da Chapada dos Veadeiros. Alto do Cruzeiro, campos rupestres.",-13.943889,-47.696111,"Arvoreta, com 4m, heliófila, saxícola; freqüente; folhas discolores; ramos laminais com pelos avermelhados; frutos imaturos de cor verde com pêlos ferrugíneos.","Mimosa capito Barneby","",,"GBIF"
"","UnB","UB","75183","Mimosa capito","","Fabaceae","Mimosa","capito","","Barneby","Borges, LM",2015,"","3405","","Proença, CEB; Harris, SA",2007,8,12,"Brazil","Goiás","Alto Paraíso de Goiás","Entre Alto Paraíso de Goiás e o Vale da Lua",,,"Vários ramos do mesmo caule rasteiro.; SubArbusto. Fruto imaturo castanho.; .","Mimosa capito Barneby","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","12732","Mimosa capito","","Fabaceae","Mimosa","capito","","Barneby","Barneby, R.",1991,"","3629","","Furlan, A.",1990,2,4,"Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros",,,"Arbol 2-3m alt., tronco liso, flores rosadas.","Mimosa capito Barneby","",,"GBIF"
"","NY","NY","00932894","Mimosa capito","","Fabaceae","Mimosa","capito","","Barneby","R. C. Barneby",1991,"","3629","","M. M. Arbo",1990,2,4,"Brazil","Goiás",,"Chapada dos Veadeiros, 9 km W de Alto Paraiso de Goias, camino a Niquelandia",-14.1361863978701,-47.5101417129434,,"Mimosa capito Barneby","",,"GBIF"
