"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01398558","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","L.S.B. Jordão",2019,"","20153","","G.Martinelli; N.Pougy, T.Lima, M.Bocaiuva. H.Rocha",2018,2,26,"Brazil","Minas Gerais","Grão Mogol","localidade de Chapada do Cardoso,caminho que liga a comunidade de Taquaral a comunidade de Tingui. Cerrado arbustivo. Parque Estadual de Grão Mogol",-16.500556,-42.837222,"arbusto, 2m, heliófila, saxícola; folhas verdes, discolores; inflorescência jovem de cor verde; botões florais de cor verde-amarelados.","Mimosa gardneri Benth.","",,"GBIF"
"","Cenargen","CEN","98289","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","L. M. Borges",2017,"","1108","","Leonardo Maurici Borges",2017,3,5,"Brazil","Go","CAVALCANTE","Reserva Natural Serra do Tombador. Estrada GO 241, Cavalcante - Minaçu; 3 km após a sede da reserva, estrada de acesso local à esquerda, cerca de 600 m da GO 241.",-13.67226,-47.820277,"Ramos com súber desenvolvido e acizentado. Indumento ferrugineo. Folhas verdes com eixos mais claros. Infrutescência excerta. Frutos coriáceos. Corola amarela. Amostra em sílica-gel (CEN e/ou RB). Doação Universidade Federal de Sã","Mimosa gardneri Benth.","",,"GBIF"
"","Cenargen","CEN","98348","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","L. M. Borges",2017,"","1152","","Leonardo Maurici Borges",2017,3,7,"Brazil","Go","CAVALCANTE","Serra Santana. Estrada GO 241, Minaçu-Cavalcante; 56 km após a sede da reserva.",-13.54566,-47.5271,"Indumento ferrugíneo. Folhas verdes. Sinflorescência excerta ca. 80 cm. Filetes róseos passando a alvos. Amostra em sílica-gel (CEN e/ou RB). Doação Universidade Federal de São Carlos - Herbário SPSC.","Mimosa gardneri Benth.","",,"GBIF"
"","Cenargen","CEN","103256","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","M. Simon",2017,"","6363","","Anderson Cássio Sevilha",2017,3,15,"Brazil","Mg","SANTO ANTÔNIO DO RETIRO","Sucuriu.",-15.338333,-42.7525,"Projeto Bem Diverso.","Mimosa gardneri Benth.","",,"GBIF"
"","Cenargen","CEN","103267","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","M. Simon",2017,"","6374","","Anderson Cássio Sevilha",2017,3,15,"Brazil","Mg","SANTO ANTÔNIO DO RETIRO","Sucuriu.",-15.338333,-42.7525,"Projeto Bem Diverso.","Mimosa gardneri Benth.","",,"GBIF"
"","Cenargen","CEN","103718","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","M. Simon, IN LIT. L. P. Queiroz",2017,"","6770","","Anderson Cássio Sevilha",2017,3,21,"Brazil","Mg","MONTEZUMA","Sítio 17. Ponto 2. Em quebra de relevo de chapada.",-15.388888,-42.412222,"Projeto Bem Diverso.","Mimosa gardneri Benth.","",,"GBIF"
"","Cenargen","CEN","104160","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","M. Simon",2018,"","6981","","Anderson Cássio Sevilha",2017,6,21,"Brazil","Mg","RIO PARDO DE MINAS","Comunidade Brejo. Sítio 24 - Ponto 1.",-15.915555,-42.482777,"Projeto Bem Diverso.","Mimosa gardneri Benth.","",,"GBIF"
"","Cenargen","CEN","95583","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","L. M. Borges",2017,"","2978","","Marcelo Fragomeni Simon",2016,4,15,"Brazil","To","ARRAIAS","Ao longo da TO - 050, 1 km ao sul de Arraias.",-12.9725,-46.901666,"Arbusto pouco ramificado com até 10 cm de diâmetro na base. Eixo da inflorescência longo, 50 cm, bem acima da folhagem, podendo apresentar até 3 ramificaçges. Filetes rosa. Comum no local.","Mimosa gardneri Benth.","",,"GBIF"
"","Cenargen","CEN","101154","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","M. Simon",2016,"","2989","","Marcelo Fragomeni Simon",2016,9,20,"Brazil","Go","CRISTALINA","Ao longo da BR - 050, 7 km ao sul do entroncamento com a BR - 040. Fragmento próximo à rodovia.",-16.804444,-47.655,"Subarbusto crescendo de xilopódio com caule rasteiro, 30 cm. Filetes róseos. Ocasional.","Mimosa gardneri Benth.","",,"GBIF"
"","Cenargen","CEN","103234","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","M. Simon",2018,"","6341","","Anderson Cássio Sevilha",2016,12,8,"Brazil","Mg","SANTO ANTÔNIO DO RETIRO","Sítio 10. Ponto 3.",-15.333611,-42.7525,"Botão floral. Projeto Bem Diverso.","Mimosa gardneri Benth.","",,"GBIF"
"","JBRJ","RB","RB01098228","Mimosa gardneri","","Fabaceae","Mimosa","gardneri","","Benth.","L.M. Borges",2012,"",,"","L.M. Boges; P. C. Baleeiro; M.T.C. Watanabe",2012,3,19,"Brazil","Goiás","Cristalina","Serra  dos  Cristais.  Estrada  de  terra  para  a  Reserva  Particular  do  Patrimônio  Natural  Linda  Serra  dos  Topázios,  a  partir  da  rodovia  BR-050,  a  ca.  de  3  km  S  de  Cristalina.  Ramal  secundário  da  estrada.  Campo  arenoso  úmido  com  áreas  alagáveis  .",-16.777222,-47.6525,"Substrato com xilopódio reptante. Ramos apressos ao solo com folhas dispostas horizontalmente. Ramos e raques levemente albos. Foliólulos verdes. Sinflorescência assurgentes. Perianto alvo. População abundante. Amostra em sílica.Prensado em álcool.","Mimosa gardneri Benth.","",,"GBIF"
