"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00874471","Mimosa schomburgkii","","Fabaceae","Mimosa","schomburgkii","","Benth.","LUCAS JORDÃO",,"","115","","G. A. de Queiroz; A.A.M. de Barros, M. Bovini, F.A. Masullo e W.S. França.",2013,4,5,"Brazil","Rio de Janeiro","Niterói","Parque Estadual da Serra da Tiririca, Morro do Telégrafo, Córrego dos Colibris.",-22.953611,-43.021667,"Árvore ciófila, folíolos membranáceos discolores verde, inflorescência amarela.","Mimosa schomburgkii Benth.","",,"GBIF"
"","Cenargen","CEN","86828","Mimosa schomburgkii","","Fabaceae","Mimosa","schomburgkii","","Benth.","M. Simon",2017,"","1817","","Marcelo Fragomeni Simon",2013,5,11,"Brazil","Df","BRASILIA","Parque Olhos D'água.",-15.741388,-47.883888,"Filetes brancos.","Mimosa schomburgkii Benth.","",,"GBIF"
"","JBRJ","RB","RB00895832","Mimosa schomburgkii","","Fabaceae","Mimosa","schomburgkii","","Benth.","LUCAS JORDÃO",2017,"","s/n","","Pimentel, L. B.; Junqueir, A. S. C.; Ramos, M. & Giovanetti-Alves, R.",2013,11,28,"Brazil","Rio de Janeiro","Macuco","Conglomerado 184-3-8-26. Coord. Lat -22,05 Long 43,3. Alt.: 370 m.",,,"Árvore.","Mimosa schomburgkii Benth.","",,"GBIF"
"","UEFS","HUEFS","199593","Mimosa schomburgkii","","Fabaceae","Mimosa","schomburgkii","","Benth.",,,"","1662","","Simon, M.F.",2012,9,25,"Brazil","Pará","Belém","Bosque próximo ao Herbáro.",-1.438056,-48.444444,"Floresta secundária.","Mimosa schomburgkii Benth.","",,"GBIF"
"","Cenargen","CEN","82149","Mimosa schomburgkii","","Fabaceae","Mimosa","schomburgkii","","Benth.",,,"","1662","","Marcelo Fragomeni Simon",2012,9,25,"Brazil","Pa","BELEM","Embrapa CPATU - Bosque próximo ao Herbário.",-1.438055,-48.444444,"Árvore bastante ramificada, 15 m. Espécie plantada, utilizada no paisagismo.","Mimosa schomburgkii Benth.","",,"GBIF"
"","Cenargen","CEN","86009","Mimosa schomburgkii","","Fabaceae","Mimosa","schomburgkii","","Benth.","M. A. da Silva",2011,"","7403","","Maria Aparecida da Silva - IBGE",2011,8,13,"Brazil","Df","BRASILIA","Reserva Ecológica do IBGE. Folha SD-23-Y-C. Antigo viveiro, próximo à ponte do corujão, córrego Roncador.",-15.936944,-47.885555,"Cultivada. IBGE Nº 75336 - Doação do Herbário IBGE - Reserva Ecológica do IBGE - Plantas do Brasil - Distrito Federal.","Mimosa schomburgkii Benth.","",,"GBIF"
"","JBRJ","RB","RB00612147","Mimosa schomburgkii","","Fabaceae","Mimosa","schomburgkii","","Benth.","Robson Ribeiro",,"","385","","E.M.Saddi; Leandro Cardoso, Ludmila Sampaio & Cristopher Cesar",2010,3,30,"Brazil","Piauí","São João do Piauí","Parcela de Monitoramento C9 do empreendimento da Linha de Transmissão LT 500 Kv Colinas <U+0096> São João do Piauí.",-8.3225,-42.309167,"Árvore em local aberto, tronco com corte interno amarelado, flores roseas.","Mimosa schomburgkii Benth.","",,"GBIF"
"","JBRJ","RB","RB00651053","Mimosa schomburgkii","","Fabaceae","Mimosa","schomburgkii","","Benth.","Robson Ribeiro",,"","385","","E.M.Saddi; Leandro Cardoso, Ludmila Sampaio e Cristopher Cesar",2010,3,30,"Brazil","Piauí","São João do Piauí","Parcela de Monitoramento C9 do empreendimento da Linha de Transmissão LT 500 Kv Colinas - São João do Piauí.",-8.3225,-42.309167,"Árvore em local aberto, tronco com corte interno amarelado, flores roseas.","Mimosa schomburgkii Benth.","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","49091","Mimosa schomburgkii","","Fabaceae","Mimosa","schomburgkii","","Benth.","Cordeiro, M.R.",,"","5010","","Cordeiro, M.R.",2010,10,29,"Brazil","Pará","Belém","EMBRAPA, estrada do 15 Cafezal.",,,"árvore, flor branca, 20m altura","Mimosa schomburgkii Benth.","",,"GBIF"
"","NY","NY","1019538","Mimosa schomburgkii","","Fabaceae","Mimosa","schomburgkii","","Benth.","J. Santos Silva",2011,"","1091","","R. D. Ribeiro",2009,4,8,"Brazil","Rio de Janeiro",,"Estrada que liga Cruzeiro a Pessegueiro.",-22.4160520953129,-42.9657513034783,,"Mimosa schomburgkii Benth.","",,"GBIF"
