"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Cenargen","CEN","110147","Mimosa sericantha","","Fabaceae","Mimosa","sericantha","","Benth.","M. Simon",2018,"","853","","Gustavo Paiva Evangelista Rocha",2018,3,29,"Brazil","To","NATIVIDADE","Conglomerado: TO-531. Subunidade , subparcela , indíviduo .",,,"Inventário Florestal Nacional (IFN).","Mimosa sericantha Benth.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133800","Mimosa sericantha","","Fabaceae","Mimosa","sericantha","","Benth.","Guedes, ML",2018,"","30754","","Guedes, ML; Lopes, EB; Araújo, FS",2018,9,1,"Brazil","Bahia","Correntina","Oeste, Ponto nº01.",-12.014167,-37.716389,"Folíolos cartáceos. Inflorescência terminal, espiga com flores róseas.","Mimosa sericantha Benth.","",,"GBIF"
"","Cenargen","CEN","108843","Mimosa sericantha","","Fabaceae","Mimosa","sericantha","","Benth.","M. Simon",2018,"","3423","","Marcelo Fragomeni Simon",2018,10,3,"Brazil","Ba","FORMOSA DO RIO PRETO","ESEC Serra Geral do Tocantins. Parcela de monitoramento da flora. 15 km NE do acampamento da Vila dos Prazeres.",-10.716111,-45.972777,"Arbusto delgado, pouco ramificado, 2 m. Filetes róseos. Frequente.","Mimosa sericantha Benth.","",,"GBIF"
"","UNITINS","HUTO","7624","Mimosa sericantha","","Fabaceae","Mimosa","sericantha","","Benth.",,,"","3423","","Simon, M.F.",2018,10,3,"Brazil","Bahia","Formosa do Rio Preto","ESEC Serra Geral do Tocantins. Parcela de monitoramento da flora. 15 km NE do acampamento da Vila dos Prazeres. Solo arenoso. Relevo plano",-10.716111,-45.972778,"Arbusto delgado, pouco ramificado, 2m. Filetes róseos. Frequente.; Cerrado sensu stricto","Mimosa sericantha Benth.","",,"GBIF"
"","JBRJ","RB","RB01414225","Mimosa sericantha","","Fabaceae","Mimosa","sericantha","","Benth.","M.F. Simon",,"","3423","","M.F. Simon; A.A. Santos; F.A. de Souza; J.C.O. Santana; M.S. Martins; R.O. de Aguiar e W.B. Silva",2018,10,3,"Brazil","Bahia","Formosa do Rio Preto","ESEC Serra Geral do Tocantins. Parcela de monitoramento da flora. 15 km NE do Acampamento da Vila dos Prazeres.",-10.716111,-45.972778,,"Mimosa sericantha Benth.","",,"GBIF"
"","UEFS","HUEFS","251784","Mimosa sericantha","","Fabaceae","Mimosa","sericantha","","Benth.",,,"","3423","","Simon, M.F.",2018,10,3,"Brazil","Bahia","Formosa do Rio Preto","ESEC Serra Geral do Tocantis. Parcela de monitoramento da flora, 15 Km NE do acampamento da Vila dos Prazeres.",-10.716111,-45.972778,"Cerrado sensu stricto.","Mimosa sericantha Benth.","",,"GBIF"
"","JBRJ","RB","RB01384060","Mimosa sericantha","","Fabaceae","Mimosa","sericantha","","Benth.","V.C.Souza",2017,"","40973","","V.C. Souza",2017,7,22,"Brazil","Bahia","Correntina","Estrada para Barreiras, cerca de 5km de Correntina.   (-13286556; -44642000)",,,,"Mimosa sericantha Benth.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","140113","Mimosa sericantha","","Fabaceae","Mimosa","sericantha","","Benth.","Souza, V.C.",2017,"","40973","","Souza, V.C.",2017,7,22,"Brazil","Bahia","Correntina","Estrada para Barreiras, cerca de 5 km de Correntina. Cerrado com solo arenoso.",,,"Erva robusta, ca. 1,2 m alt.; filetes róseos.","Mimosa sericantha Benth.","",,"GBIF"
"","Cenargen","CEN","108571","Mimosa sericantha","","Fabaceae","Mimosa","sericantha","","Benth.","M. Simon",2018,"","712","","Natália Rodrigues Bijos",2017,7,17,"Brazil","To","PONTE ALTA DO BOM JESUS","Conglomerado: TO-562. Subunidade 3. Coleta extra.",,,"Projeto Inventário Florestal Nacional (IFN). Arbusto de base reta. Fruto maduro com dimensges de 0,2 x 1,2 cm, consistência seca . Fuste de casca externa grossa, do tipo rugosa.","Mimosa sericantha Benth.","",,"GBIF"
"","Cenargen","CEN","94115","Mimosa sericantha","","Fabaceae","Mimosa","sericantha","","Benth.","L. M. Borges",2015,"","732","","Guilherme de M. Antar",2015,1,30,"Brazil","To","MATEIROS","Estação Ecologica Serra Geral do Tocantins, caminho para o Rio Verdinho",-11.04,-46.589722,"Cálice, corola e estames rosados. Doação do Herbário SPF","Mimosa sericantha Benth.","",,"GBIF"
