"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UCS","HUCS","44536","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","Grings, M.",,"","1886","","Grings, M.",2016,9,14,"Brazil","Rio Grande do Sul","Caxias do Sul","Bairro Santa Fé",,,"população jovem da espécie arbórea com floração amarela abundante.; em área com vegetação secundária pioneira ao lado de área verde com fragmento florestal","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","UFRGS","ICN","179270","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","Grings, M",,"","1850","","Grings, M",2014,8,25,"Brazil","Rs","Carlos Barbosa","na RS-470, chegada na cidade a partir de Garibaldi",,,"arvoreta de 5m de altura; flores amarelas; em borda de floresta próximo da rodovia","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","UCS","HUCS","18786","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","Grings, M.",2014,"","s.n.","","Grings, M.",2014,12,1,"Brazil","Rio Grande do Sul","Caxias do Sul","Bairro Nossa Senhora da Saúde",-29.144436,-51.204964,"arvoreta de 4m de altura, frutificando, craspédios de cor marrom; isolada a meio a estágio inicial de regeneração, próximo a área verde","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","JBRJ","RB","RB01385464","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","M.Grings",2014,"","s.n.","","M.Grings",2014,12,1,"Brazil","Rio Grande do Sul","Caxias do Sul","Bairro Nossa Senhora da Saúde",-29.144444,-51.205,,"Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","26089","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","M. Grings",2014,"",,"","M. Grings",2014,12,1,"Brazil","Rs","Caxias do Sul","Bairro Nossa Senhora da Saúde",-29.144444,-51.205,"arvoreta de 4 m de altura, frutificando, craspédios de cor marrom. Isolada em meio a estágio inicial de regeneração próximo a área verde.","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","UCS","HUCS","48351","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","Gonzatti, F.",2013,"","994","","Gonzatti, F.",2013,12,26,"Brazil","Rio Grande do Sul","Garibaldi","Linha Presidente Soares Alta",,,"em lajeado, arvoretas","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","UFRGS","ICN","182306","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas",,,"","1677","","Grings, M",2012,8,19,"Brazil","Rs","Nova Petrópolis","Linha Imperial, próximo do CTG",,,"Isotypus no MBM, MO e Kew","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","K","Herbarium","K001088782","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas",,,"","1677","","Grings, M.",2012,12,19,"Brazil",,,"RS. Nova Petrópolis, Linha Imperial, próximo do CTG",,,"ICN 182306","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","MBM","MBM","110125","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","Ribas, OS; Grings, M",2013,"","1677","","Grings, M",2012,12,19,"Brazil","Rio Grande do Sul","Nova Petrópolis","Linha Imperial, Próximo do CTG",,,,"Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","MO","MO","101121807","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas",,,"","Grings 1677","","M. Grings",2012,12,19,"Brazil","Rio Grande do Sul",,"Linha Imperial, próximo do CTG.",,,,"Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","UCS","HUCS","41554","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","Grings, M.",,"","1522","","Grings, M.; Seger, D. .S.",2011,10,18,"Brazil","Rio Grande do Sul","Anta Gorda","na beira da RS 332",,,"Arvoreta de 5m de altura, com frutificação imatura. Herbário ICN 170666, paratypus.; população em formação pioneira na borda de estrada.","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","FUVATES","HVAT","383","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","M. Grings",2011,"","1522","","M. Grings; G. D. S. Seger",2011,10,18,"Brazil","Rio Grande do Sul","Anta Gorda","Na beira da RS 332.",-28.970278,-52.004722,"Arvoreta de 5m de altura, com frutificação imatura; Doação do Herbário ICN, registro ICN 170666Doação do Herbário ICN, registro ICN 170666; População em formação pioneira da estrada","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","UFRGS","ICN","170666","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","Grings, M",,"","1522","","Grings, M; Seger, GDS",2011,10,18,"Brazil","Rs","Anta Gorda","na beira da RS-332",,,"arvoreta de 5 metros de altura, com frutificação imatura; população em formação pioneira na borda da estrada","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","MBM","MBM","206215","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","Grings, M",,"","1522","","Grings, M",2011,10,18,"Brazil","Rio Grande do Sul","Anta Gorda","Na beira da BR-332",,,"Arvoreta de 5m de altura, com frutificação imatura.; População em formação pioneira na borda da estrada.","Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
"","MBM","MBM","410805","Mimosa sobralii","","Fabaceae","Mimosa","sobralii","","Grings & O.S. Ribas","Ribas, OS",2011,"","s.n.","","Cenci, BT",2011,11,1,"Brazil","Rio Grande do Sul","Nova Prata","Estrada Pinheiro Machado",,,,"Mimosa sobralii Grings & O.S. Ribas","",,"GBIF"
