"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Cenargen","CEN","82150","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke",,,"","1663","","Marcelo Fragomeni Simon",2012,9,26,"Brazil","Pa","BELEM","Várzea do Aurá, próximo a área experimental da Embrapa CPATU",-1.442222,-48.405277,"Árvore com 20 m de altura x 40 cm de DAP. Sapopema. Frutos e plântula coletadas no solo.","Mora paraensis (Ducke) Ducke","",,"GBIF"
"","UEPA","MFS","005501","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke",,,"","9","","Guabiraba-Ribeiro, G",2011,4,8,"Brazil","Amapá","Mazagão","Localidade de Maracá, Nas áreas do projeto FLORESTAM. Propriedade do senhor Celestino.",-0.114722,-51.291111,"Árvore com aproximadamente 20m de altura, ritidoma canceroso na cor beje, com lenticelas e placas de liquens. Raízes com sapopemas. Folhas compostas e frutos verdes quando imaturos do tipo legume.","Mora paraensis (Ducke) Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","230576","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","""Ramos, J.F.; Hamaguchi, J.O.""",2009,"","43","","Mike Hopkins",2008,1,,"Brazil","Amazonas",,"Lago Tupé (Reserva de Desenvolvimento Sustentável do Tupé) - área de Floresta de Igapó (água preta)",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","228686","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","Ramos, J.F.",2014,"","14624","","Mike Hopkins",2008,8,15,"Brazil","Amazonas",,"Flooded river margin, along Rio Negro.",-0.15,-67.07,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","MO","MO","101031771","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","J.F. Ramos",2014,"","Acevedo-Rodríguez 14624","","Pedro Acevedo-Rodríguez|C. Zartman",2008,8,15,"Brazil","Amazonas",,"Along Rio Negro.",0.15,-67.066667,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","JBRJ","RB","RB00299594","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","placa do JBRJ",,"","68","","Luciana F.G.da Silva,;  Camila da Matta & Ricardo Matheus",2005,10,5,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, canteiro 1-D. Jardim Botânico do Rio de Janeiro",,,"Árvore 10 m de altura, 25cm DAP,raiz tabular, tronco escamoso, folhas discolores verdes brilhantes, estéril, DNA 1774","Mora paraensis (Ducke) Ducke","",,"GBIF"
"","K","Herbarium","K000849156","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","Cordeiro, M.R.",,"","2484","","Cordeiro, M.R.",1998,5,26,"Brazil",,"Belém","Bujaru. Margem do rio Guamá.",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","72061","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke",,1997,"","83","","Câmara, P.S. et al.",1997,4,18,"Brazil","Amazonas","Manaus",,,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","MPEG","HERBMG","MG145983","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","Rosário, C.S.",,"",,"","Maciel, U.N.; Silva, A.S.L. da",1992,12,4,"Brazil","Pará",,"Afuá",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","MPEG","HERBMG","MG145968","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","Rosário, C.S.",,"",,"","Maciel, U.N.; Silva, A.S.L. da",1992,12,4,"Brazil","Pará",,"Afuá",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","133640","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke",,,"","308","","Mike Hopkins",1986,4,,"Brazil","Amazonas",,"Lago do Calado.",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","MPEG","HERBMG","MG123975","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","Silva, M.G. da",,"",,"","Gély, A.",1985,3,25,"Brazil","Pará",,"Barcarena",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","MPEG","HERBMG","MG130771","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke",,,"",,"","Almeida, S.S. de",1985,10,,"Brazil","Pará",,"Senador Jose Porfirio",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","MPEG","HERBMG","MG114312","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","Rosa, N.A.",,"",,"","Lins, A.L.F.A.; Rosa, N.A.",1984,6,12,"Brazil","Pará",,"Barcarena",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","MPEG","HERBMG","MG143860","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","Lima, H.C. de",,"",,"","Sobel, G.L.; Strudwick, J.J.",1984,10,27,"Brazil","Pará",,"Pará",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","US","Botany","3245961","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke",,,"","1169","","A. B. Anderson, J. J. Strudwick, G. L. Sobel, M. Goncalves, C. S. Rosário, R. P. Bahia, M. Pinto, P. Vaconcelos & P. Vaconcelos",1984,10,8,"Brazil","Pará",,"Dona alice dumalakis, ilha das oncas",-1.4167,-48.45,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","NY","NY","1161932","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke",,,"","1169","","A. B. Anderson",1984,10,8,"Brazil","Pará",,"Ilha das Onças, property of Dona Alice Dumalakis.",-1.42,-48.45,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","K","Herbarium","K000849157","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke",,,"","1169","","Rosário, C.; Sobel, G.; Gonçalves, M.; Baia, R.; Vasconcelos, P.C.; Pinto, M.G.; Strudwick, J.; Anderson, A.B.",1984,10,8,"Brazil",,"Barcarena","Ilha das Onças, property of Dona Alice Dumalakis.",-1.42,-48.45,"No specific name. No known uses. Not planted, weeded","Mora paraensis (Ducke) Ducke","",,"GBIF"
"","MPEG","HERBMG","MG111222","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke",,,"",,"","Anderson, A.B.; Rosário, C.S.",1984,12,,"Brazil","Pará",,"Barcarena",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
"","MPEG","HERBMG","MG134389","Mora paraensis","","Fabaceae","Mora","paraensis","","(Ducke) Ducke","Silva, M.G. da",,"",,"","Silva, N.T. da",1983,10,31,"Brazil","Pará",,"Almeirim",,,,"Mora paraensis (Ducke) Ducke","",,"GBIF"
