"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","201441","Ormosia minor","","Fabaceae","Ormosia","minor","","Vogel","Silva, BG",2018,"","433","","Silva, BG; Bissoli, VF; Duarte, LSC",2018,4,26,"Brazil","São Paulo","Jundiaí",,-23.413194,-47.569864,,"Ormosia minor Vogel","",,"GBIF"
"","UNICAMP","UEC","189055","Ormosia minor","","Fabaceae","Ormosia","minor","","Vogel",,,"","188","","Silva, BG; Koch, I; Castello, ACD; Vidal Junior, JD",2015,1,6,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho",-24.065278,-47.999167,"Árvore, 12 m de altura e 18,5 cm de DAP; Floresta Ombrófila Densa","Ormosia minor Vogel","",,"GBIF"
"","Cenargen","CEN","93095","Ormosia minor","","Fabaceae","Ormosia","minor","","Vogel","H. C. Lima",2017,"","14","","T. P. Pires",2013,3,25,"Brazil","Sp","JUNDIAI","Serra do Japi, marco geodésico; -23.244764 N; +46.941157 L (coordenada: medida).",,,"Projeto de Coleta de Sementes do Jardim Botânico de Jundiaí, coordenadas do material: 23K 301441, 7428101. Doação do Herbário IAC 54.138.","Ormosia minor Vogel","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","123617","Ormosia minor","","Fabaceae","Ormosia","minor","","Vogel",,,"","1005","","Colletta, G.D. ; Souza, V.C.",2013,4,29,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra.",,,"Trepadeira","Ormosia minor Vogel","",,"GBIF"
"","NY","NY","1009366","Ormosia minor","","Fabaceae","Ormosia","minor","","Vogel","B. M. Torke",2015,"","3531","","P. Fiaschi",2011,1,22,"Brazil","Espírito Santo",,"Chaves. ES-080 (estrada não-pavimentada ligando a ES-261 à cidade de Santa Leopoldina), 8 km S da ES-261, num ramal de 1 km de extensão rumo à Cachoeira do REcanto, no Rio da Prata (afluente do Rio Santa Maria).",-20.00128,-40.54603,,"Ormosia minor Vogel","",,"GBIF"
"","UNICAMP","UEC","199814","Ormosia minor","","Fabaceae","Ormosia","minor","","Vogel","Reis, TR",2012,"","14","","Reis, TR; Silva, ED; Lima, JL; Purgato, NS; Galvão, JC",2011,6,1,"Brazil","São Paulo","Jundiaí","Marco Geodésico.",,,"Árvore, 5m. Vegetativo.","Ormosia minor Vogel","",,"GBIF"
"","UNICAMP","UEC","199813","Ormosia minor","","Fabaceae","Ormosia","minor","","Vogel","Reis, TR",2012,"","16","","Reis, TR; Silva, ED; Lima, JL; Purgato, NS; Galvão, JC",2011,6,1,"Brazil","São Paulo","Jundiaí","Caminho para o Marco Geodésico.",,,"Árvore, 5m. Frutos.","Ormosia minor Vogel","",,"GBIF"
"","UNICAMP","UEC","192516","Ormosia minor","","Fabaceae","Ormosia","minor","","Vogel","Reis, TR",2012,"","8a","","Purgato, NCS; Silva, ED",2011,6,1,"Brazil","São Paulo","Jundiaí","Brasil, São Paulo, Jundiaí, Serra do Japi.",,,,"Ormosia minor Vogel","",,"GBIF"
"","UNICAMP","UEC","200157","Ormosia minor","","Fabaceae","Ormosia","minor","","Vogel",,,"","M152","","Padgurschi, MCG; Belinello, R",2009,,,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar",-23.4,-45.183333,"Parcela M - Projeto Biota-FAPESP. Árvore com 8 metros de altura. Frequência da espécie na parcela: n=9","Ormosia minor Vogel","",,"GBIF"
"","UNICAMP","UEC","186034","Ormosia minor","","Fabaceae","Ormosia","minor","","Vogel","Silva, E",2009,"","78","","Padgurschi, MCG; Tamashiro, JY; Belinello, R",2008,7,12,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K",-23.325,-45.068333,"Árvore, ca. 12m, material vegetativo. Projeto Biota Gradiente Funcional: Parcela K, indivíduo K0083; Floresta Ombrófila Densa Montana","Ormosia minor Vogel","",,"GBIF"
