"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","F","Botany","V0059574F","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"","1504","","B. A. Krukoff",1931,11,,"Brazil",,,,-10.8339,-52.8731,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","MO","MO","100426439","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd","H. C. de Lima (RB)",1986,"","Krukoff 1504","","Boris A. Krukoff",1931,11,,"Brazil","Mato Grosso",,"Near Tabajara, upper Machado River Region.",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","MO","MO","3213006","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd","H.C. de Lima",1986,"","Krukoff 1509","","Boris A. Krukoff",1931,11,,"Brazil","Mato Grosso",,"Near Tabajara, upper Machado River region.",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","NY","NY","26569","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"","1504","","B. A. Krukoff",1931,11,,"Brazil","Rondônia",,"Near Tabajara, upper Machado River region.",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","NHMUK","BOT","BM000931912","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"","1504","","Boris Alexander Krukoff",1931,12,11,"Brazil",,,,-10.764,-53.0839,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","MO","MO","100426435","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd","H. C. de Lima (RB)",1986,"","Krukoff 1596","","Boris A. Krukoff",1931,12,,"Brazil","Mato Grosso",,"Source of the Jaturana River. Machado River region.",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","US","Botany","1660064","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"","1504","","B. A. Krukoff",1931,12,3,"Brazil","Mato Grosso",,"Near Tabajara, upper Machado River Region.",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","NY","NY","01045055","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd","V. E. Rudd",1981,"","1509","","B. A. Krukoff",1931,12,3,"Brazil","Rondônia",,"near Tabajara, upper Machado River region.",-8.93419,-62.0581,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","NY","NY","01045008","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd","V. E. Rudd",1981,"","1596","","B. A. Krukoff",1931,12,21,"Brazil","Rondônia",,"Source of the Jatuaraha River, Machado River region.",-9.12,-62.17,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","A","A","barcode-00064317","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"","1504","","B. A. Krukoff",1931,12,3,"Brazil","Mato Grosso",,"Near Tabajara, upper Machado River region, terra firma",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","NHMUK","BOT","BM013717117","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"",,,,,,,,,,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"","NHMUK","BOT","BM013717118","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"",,,,,,,,,,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"",,"Botany","L.1063737","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"","Stahel G",,,,"Suriname",,,"km 175",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"",,"Botany","L.1063739","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"","Krukoff BA",,,,"Brazil","Mato Grosso",,"Basin of Rio Madeira Rio Madeira",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"",,"Botany","L.1064031","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"","Stahel G",,,,"Suriname",,,"km 175",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"",,"Botany","L.1063738","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"","Krukoff BA",,,,"Brazil","Mato Grosso",,"Basin of Rio Madeira Rio Madeira",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"",,"Botany","U.1317653","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"","Krukoff BA",,,,"Brazil","Mato Grosso",,"Basin of Rio Madeira Rio Madeira",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"",,"Botany","U.1317652","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"","Krukoff BA",,,,"Brazil","Mato Grosso",,"near Tabajara on the upper Machado",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"",,"Botany","U  0003590","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"","Krukoff BA",,,,"Brazil","Mato Grosso",,"State of Matto Grosso: near Tabajara, upper Machado River region.",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"",,"Botany","U  0278491","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"","Stahel G",,,,"Suriname",,,"km 175",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"",,"Botany","U  0055000","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"","Stahel G",,,,"Suriname",,,"km 175",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
"",,"Botany","U  0003591","Paramachaerium krukovii","","Fabaceae","Paramachaerium","krukovii","","Rudd",,,"",,"","Krukoff BA",,,,"Brazil","Mato Grosso",,"State of Matto Grosso: near Tabajara, upper Machado River region.",,,,"Paramachaerium krukovii Rudd","",,"GBIF"
