"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFRB","HURB","25027","Parapiptadenia blanchetii","","Fabaceae","Parapiptadenia","blanchetii","","(Benth.) Vaz & M.P.Lima",,,"","16","","Cerqueira, G.C.S.; Mota, J.S.; Lima, G.B.O.; Brito, A.C.S. & Cruz, G.S.",2019,9,27,"Brazil","Bahia","Santa Terezinha","Barragem Casa Forte;",,,"arbórea, ca. 3-4m, frutos tipo vargem","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","135249","Parapiptadenia blanchetii","","Fabaceae","Parapiptadenia","blanchetii","","(Benth.) Vaz & M.P.Lima","Guedes, ML",2019,"","3","","Santos, C; Cerqueira, LO; Costa, G; Marins, MLL",2018,10,15,"Brazil","Bahia","Cabaceiras","Do Paraguaçu, Aporá, zona Rural de Cabaceiras do Paraguaçu.",,,"Folhas alternas, compostas, fruto tipo leguminoso.","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","",,"GBIF"
"","UEFS","HUEFS","236373","Parapiptadenia blanchetii","","Fabaceae","Parapiptadenia","blanchetii","","(Benth.) Vaz & M.P.Lima",,,"","13634","","Melo, E.",2017,11,2,"Brazil","Bahia","Morro de Chapéu","Chapada Diamantina. Cachoeira Domingos Lopes.",-11.562778,-40.903611,"Mata ciliar e cerrado em torno.","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153693","Parapiptadenia blanchetii","","Fabaceae","Parapiptadenia","blanchetii","","(Benth.) Vaz & M.P.Lima","H.C. Lima",,"","1290","","Santos, E.A.",2016,2,24,"Brazil","Bahia","SANTA TEREsINHA","Conglomerado BA_855_P8-1-7-12",-12.771944,-39.523333,"<ll>dwc_commonname:</ll>","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153752","Parapiptadenia blanchetii","","Fabaceae","Parapiptadenia","blanchetii","","(Benth.) Vaz & M.P.Lima","H.C. Lima",,"","1350","","Santos, E.A.",2016,2,29,"Brazil","Bahia","FEIRA DE SANTANA","Conglomerado BA_670_F-3-8-53",-12.266667,-38.966667,"<ll>dwc_commonname:</ll>","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153828","Parapiptadenia blanchetii","","Fabaceae","Parapiptadenia","blanchetii","","(Benth.) Vaz & M.P.Lima","H.C. Lima",,"","1426","","Santos, E.A.",2016,3,7,"Brazil","Bahia","serra preta","Conglomerado BA_668_P39-1-1-1",-12.160278,-39.331667,"<ll>dwc_commonname:</ll>","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","153809","Parapiptadenia blanchetii","","Fabaceae","Parapiptadenia","blanchetii","","(Benth.) Vaz & M.P.Lima","H.C. Lima",,"","1407","","Santos, E.A.",2016,3,4,"Brazil","Bahia","serra preta","Conglomerado BA_668_P33-1-10-68",-12.160278,-39.331667,"<ll>dwc_commonname:</ll>","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","120260","Parapiptadenia blanchetii","","Fabaceae","Parapiptadenia","blanchetii","","(Benth.) Vaz & M.P.Lima","Guedes, ML",2015,"","s.n.","","Costa, TF; et al.",2014,7,26,"Brazil","Bahia","Santa Teresinha","Recôncavo Sul, Próximo á cidade.",-12.766667,-39.516667,"de ca 6 m de altura. Foliólulos cartáceos, de base assimétrica. Frutos passados.","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","110530","Parapiptadenia blanchetii","","Fabaceae","Parapiptadenia","blanchetii","","(Benth.) Vaz & M.P.Lima","Guedes, ML",2013,"","20750","","Guedes, ML; Silva, MS dos; et al.",2013,8,17,"Brazil","Bahia","Santa Teresinha","Recôncavo Sul, próximo à cidade.",-12.766667,-39.516667,"de ca 8 m de altura. Folhas com foliólolos, cartáceos discolores. Fruto legume.","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","",,"GBIF"
"","UESB","HUESB","8956","Parapiptadenia blanchetii","","Fabaceae","Parapiptadenia","blanchetii","","(Benth.) Vaz & M.P.Lima","Queiroz, L.P.",2013,"","181","","Brandão, G.S.; Silva, G.S.; Silva, G.S.",2013,12,17,"Brazil","Bahia","Boa Nova","Parque Nacional de Boa Nova",,,"Trepadeira. Folhas compostas alternas. Caule anguloso com espinhos e lenticelas.; Mata Atlântica.","Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima","",,"GBIF"
