"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01415398","Peltogyne excelsa","","Fabaceae","Peltogyne","excelsa","","Ducke",,,"","917","","D.S. Costa; A.S. Lima; E.C. Oliveira; J. Caruta; M.A. Oliveira & W. Castro",2016,3,30,"Brazil","Rondônia","Itapuã Do Oeste","Floresta Nacional do Jamari, Concessão MADEFLONA, 28,7 Km a partir do Km 602 da BR-364 em Itapuã do Oeste: 18,7 Km na Estrada Principal",-9.181111,-63.017222,"Árvore 25 m de alt. Estéril","Peltogyne excelsa Ducke","",,"GBIF"
"","JBRJ","RB","RB00902892","Peltogyne excelsa","","Fabaceae","Peltogyne","excelsa","","Ducke","Dexter, K.G.",,"","6951","","Dexter, K.G.; Correa, C.",2014,7,1,"Brazil","Amazonas","Manaus","Reserva Adolfo Ducke, North of Manaus, PPBIO plot LO6:2500.",-2.960556,-59.928056,"15m alt., 9,4cm DBH, flaking grayish white bark - Material no Banco de DNA","Peltogyne excelsa Ducke","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","191390","Peltogyne excelsa","","Fabaceae","Peltogyne","excelsa","","Ducke","Martins, L.H.P.",,"","392","","Mike Hopkins",1997,8,6,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke, Próx. picada do Acará.",-2.883333,-59.97,,"Peltogyne excelsa Ducke","",,"GBIF"
"","UEFS","HUEFS","200376","Peltogyne excelsa","","Fabaceae","Peltogyne","excelsa","","Ducke",,,"","392","","Souza, M.A.D.",1997,8,6,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Próx. picada do Acará.",-2.883333,-59.966667,"Floresta de Vertente.","Peltogyne excelsa Ducke","",,"GBIF"
"","MPEG","HERBMG","MG161276","Peltogyne excelsa","","Fabaceae","Peltogyne","excelsa","","Ducke","Martins, L.H.P.",,"",,"","Silva, C.F. da",1997,8,6,"Brazil","Amazonas",,"Manaus",-2.883333,-59.966667,,"Peltogyne excelsa Ducke","",,"GBIF"
"","JBRJ","RB","RB00146274","Peltogyne excelsa","","Fabaceae","Peltogyne","excelsa","","Ducke","L.H.P. MARTINS",,"","392","","M.D.A. DE SOUZA; C.F. DA SILVA , E.DA.C. PEREIRA",1997,8,6,"Brazil","Amazonas","Itacoatiara","RESERVA FLORESTAL DUCKE , KM 26 . PRÓX. PICADA DO ACARÁ.",-2.883333,-59.966667,"ÁRVORE . INFLORESCENCIA VERDE-CLARA . CÁLICE ESVERDEADA , PÉTALAS , ESTAMES E ELTILETE AMARELO-ESVERDEADO -CLAROS . PERFUME SUAVE . MUITO NÉCTAR . ANTERAS AMARELADAS","Peltogyne excelsa Ducke","",,"GBIF"
"","JBRJ","RB","RB00146260","Peltogyne excelsa","","Fabaceae","Peltogyne","excelsa","","Ducke","L.H. P. MARTINS",,"","392","","M.D.A.    DE  SOUZA; C.F. DA SILVA , E.DA C. PEREIRA",1997,8,6,"Brazil","Amazonas","Itacoatiara","RESERVA FLORESTAL DUCKE , KM 26 . PRÓX. PICADA DO ACARÁ . .",-2.883333,-59.966667,"ÁRVORE ,. INFLORESCENCIA VERDE-CLARA . CÁLICE ESVERDEADA , PÉTALAS , ESTAMES E CÁLICE AMARELO-ESVERDEADO -CLAROS . PERFUME SUAVE . MUITO NÉCTAR .ANTERAS AMARELADAS .","Peltogyne excelsa Ducke","",,"GBIF"
"","NY","NY","1135689","Peltogyne excelsa","","Fabaceae","Peltogyne","excelsa","","Ducke",,,"","392","","M. A. D. de Souza",1997,8,6,"Brazil","Amazonas",,"Próx. picada do Acará.",-2.883333,-59.966667,,"Peltogyne excelsa Ducke","",,"GBIF"
"",,"Botany","U.1316928","Peltogyne excelsa","","Fabaceae","Peltogyne","excelsa","","Ducke","Martins LHP",,"",,"","Souza MAD de; Pereira EC; Silva CF da",1997,8,6,"Brazil","Amazonas",,,-2.883333,-59.966667,,"Peltogyne excelsa Ducke","",,"GBIF"
"","Instituto de Botânica","SP","341737","Peltogyne excelsa","","Fabaceae","Peltogyne","excelsa","","Ducke","Martins, LHP",,"","392","","Souza, MAD; Silva, CF; Pereira, EC",1997,8,6,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, Itacoatiara, km 26, próximo da picada do Acará, floresta de vertente",-2.883333,-59.966667,,"Peltogyne excelsa Ducke","",,"GBIF"
