"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Jataí","HJ","8496","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","Luzia Francisca de Souza",,"","5860","","Souza, L.F.",2013,3,3,"Brazil","Goiás","Aporé","próximo GO 260",-18.963889,-51.925278,,"Piptadenia macradenia Benth.","",,"GBIF"
"","UEFS","HUEFS","196562","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.",,,"","71","","Borges, L.M.",2012,3,18,"Brazil","Minas Gerais","Santana do Riacho","Serra do Sipó. Estrada IBAMA- Distrito do Sipó (antigo Cardeal Mota), margem esquerda, em frente á chacara Vila Anstral.",,,,"Piptadenia macradenia Benth.","",,"GBIF"
"","UEFS","HUEFS","196967","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.",,,"","71","","Borges, L.M.",2012,3,18,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. Estrada IBAMA - Distrito Serra do Cipó (Antigo Cardeal Mota), margem esquerda, em frente a chacara Vila Anstal.",,,,"Piptadenia macradenia Benth.","",,"GBIF"
"","MBM","MBM","390446","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","Borges, LM",2012,"","71","","Borges, LM",2012,3,18,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Estrada IBAMA - Distrito de Serra do Cipó (antifo Cardeal Mota), margem esquerda, em frente à chácara Vila Anstral",,,"Árvore ca. 5m. Flores com perianto verde; filetes e estilete rosas choque, alvos ou rosa clareando em direção ao ápice.","Piptadenia macradenia Benth.","",,"GBIF"
"","JBRJ","RB","RB00738659","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","L.M. Borges",2012,"","71","","L.M. Borges; A. Oriani, M.L.O. Trovó, P.T. Sano",2012,3,18,"Brazil","Minas Gerais","Minas Gerais","Santana do Riacho, Serra do Cipó. Estrada IBAMA - Distrito do Sipó (antigo Cardeal Mota), margem esquerda, em frente à chacara Vila Anstal.",,,"Árvore cerca de 5 metros de altura. Flôres com perianto verde, filetes e estilete rosa choque, alvos ou rosa clareando em direção ao ápice","Piptadenia macradenia Benth.","",,"GBIF"
"","UEFS","HUEFS","160771","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","L.P.de Queiroz",2011,"","2935","","Cardoso, D.",2010,5,3,"Brazil","Rondônia","Campo Novo de Rondônia","BR-421 sentido Campo Novo-Montre Negro.",-10.561944,-63.585,"Floresta estacional.","Piptadenia macradenia Benth.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","136833","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.",,,"","2935","","Cardoso, D",2010,5,3,"Brazil","Rondônia","Campo Novo de Rondônia",,-10.561944,-63.585,,"Piptadenia macradenia Benth.","",,"GBIF"
"","UEFS","HUEFS","196966","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.",,,"","79","","Borges, L.M.",2006,2,5,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. Estrada IBAMA - Distrito Serra do Cipó (Antigo Cardeal Mota), margem esquerda, em frente a Chácara Vila Anstal.",,,,"Piptadenia macradenia Benth.","",,"GBIF"
"","USP","SPF","158323","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","Borges, LM",2012,"","79","","Borges, LM",2006,2,5,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó",,,,"Piptadenia macradenia Benth.","",,"GBIF"
"","USP","SPF","184069","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","Borges, LM",2012,"","71","","Borges, LM",2006,2,4,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó",,,,"Piptadenia macradenia Benth.","",,"GBIF"
"","NY","NY","02702155","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.",,,"","71","","L. M. Borges",2006,2,4,"Brazil","Minas Gerais",,"Serra do Cipó. Estrada IBAMA-Distrito Serra do Cipó (Antigo Cardeal Mota), margem esquerda, em frente à chacara Vila Anstal.",,,,"Piptadenia macradenia Benth.","",,"GBIF"
"","UNICAMP","UEC","146686","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","Ribeiro, PG",2016,"","3499","","Pereira, BAS; Oliveira, NR; Alvarenga, D; Haidar, RF",2005,8,31,"Brazil","Goiás","Goianápolis","Floresta estacional decidual em solo podzólico. Relevo suave ondulado.",-16.545,-49.135,"Árvore decidual, copa ampla, aberta; 7,0 m de altura e 15 cm DAP. Frutos imaturos verde-amarelados. Freqüente.","Piptadenia macradenia Benth.","",,"GBIF"
"","USP","SPF","185676","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","Lopes, AV",2003,"","295","","Valente, A",2003,2,24,"Brazil","Minas Gerais","São João Nepomuceno","Serra dos Núcleos",,,,"Piptadenia macradenia Benth.","",,"GBIF"
"","MO","MO","1448568","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","M. Nee",1999,"","Nee 48772","","Michael H. Nee|E. Chávez|A. Becerra",1998,3,27,"Bolivia, Plurinational State of","Santa Cruz",,"7.3 km from Santa Cruz-Samaipata highway, leaving at Tarumá, on dirt road along Río Salado and oil pipeline. Slope, with dryish forest.",-18.1,-63.5,,"Piptadenia macradenia Benth.","",,"GBIF"
"","USP","SPF","138015","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","Nee, M",1999,"","48772","","Nee, M",1998,3,27,"Bolivia, Plurinational State of","Santa Cruz",,"Andrés Ibáñez.",-18.1,-63.5,,"Piptadenia macradenia Benth.","",,"GBIF"
"","UNICAMP","UEC","085015","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.",,,"","2965","","Pereira, BAS; Alvarenga, D",1996,4,25,"Brazil","Goiás","Formosa","Parque do Itiquira, Floresta Estacional no interior do Parque do Itiquira.",-15.333333,-47.25,"Árvore ca. 7 m. de altura. Espigas alvacentas.","Piptadenia macradenia Benth.","",,"GBIF"
"","MBM","MBM","306611","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","Cordeiro, I",,"","3705","","Pirani, JR",1996,4,2,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó",,,,"Piptadenia macradenia Benth.","",,"GBIF"
"","NY","NY","00934783","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.",,,"","2965","","B. A. S. Pereira",1996,4,25,"Brazil","Goiás",,"No interior do Parque do Itiquira",-15.33,-47.25,,"Piptadenia macradenia Benth.","",,"GBIF"
"","K","Herbarium","K000849878","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","Codeiro, I.",,"","3705","","Pirani, J.R.; Mello-Silva, R.; Cordeiro, I.; Forzza, R.C.; Meguro, M.",1996,4,2,"Brazil",,"Santana do Riacho","Cardeal Mota, Serra do Cipó, Morro da Pedreira, segundo grupo (grande afloramento de metacalcário).",-19.33,-43.67,,"Piptadenia macradenia Benth.","",,"GBIF"
"","NY","NY","00934836","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","P. G. Ribeiro",2015,"","2583","","R. C. de Mendonça",1996,8,15,"Brazil","Goiás",,"Morro à esquerda entre Niquelandia e a Companhia de Níquel Tocantins (CNT), ca. de 4 km da CNT",-14.3906,-48.4369,,"Piptadenia macradenia Benth.","",,"GBIF"
"","UNICAMP","UEC","74870","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","Ribeiro, PG",2016,"","2691","","Pereira, BAS; Alvarenga, D; Oliveira, FCA",1995,3,14,"Brazil","Goiás","Padre Bernado","Estrada Padre Bernardo/Niquelandia, KM 20., Cerrado.",,,"Arvoreta ca. 4m altura. flores amareladas. Cerrado.","Piptadenia macradenia Benth.","",,"GBIF"
"","NY","NY","00934781","Piptadenia macradenia","","Fabaceae","Piptadenia","macradenia","","Benth.","P. G. Ribeiro",2015,"","2691","","B. A. S. Pereira",1995,3,14,"Brazil","Goiás",,"Estrada Padre Bernardo/Niquelândia, km. 20.",-15.20039,-48.453339,,"Piptadenia macradenia Benth.","",,"GBIF"
