"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","125325","Poecilanthe itapuana","","Fabaceae","Poecilanthe","itapuana","","G.P.Lewis","Sousa, TS",2016,"","10","","Sousa, TS",2016,8,13,"Brazil","Bahia","Salvador","Parque das Dunas, Proximidades da Mata Fechada",-12.920278,-38.3275,"Terrícola.Folhas verdes. Arvoreta, ca.4 m. Casca pouco rugosa. Forófito de Brassavola tuberculata hook. Datum: WGS-84. &nf;; Mata de restinga","Poecilanthe itapuana G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","213872","Poecilanthe itapuana","","Fabaceae","Poecilanthe","itapuana","","G.P.Lewis","L.P.de Queiroz",2018,"","322","","São-Mateus, W.M.B.",2015,1,20,"Brazil","Bahia","Salvador","Bairro Stella Maris, logo depois do Farol de Itapoan, sentido praia do Flamengo.",-12.945278,-38.342222,"Restinga arbustiva sobre dunas.","Poecilanthe itapuana G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","214928","Poecilanthe itapuana","","Fabaceae","Poecilanthe","itapuana","","G.P.Lewis",,,"","16114","","Queiroz, L.P.de",2015,1,20,"Brazil","Bahia","Salvador","Stella Maris.",-12.946389,-38.342778,"Arbustal em moitas sobre solo arenoso (areias quartzosas).","Poecilanthe itapuana G.P.Lewis","",,"GBIF"
"","JBRJ","RB","RB01173493","Poecilanthe itapuana","","Fabaceae","Poecilanthe","itapuana","","G.P.Lewis","L.P. de Queiroz",,"","16114","","L.P. de Queiroz; D. Cardoso; C. Vivas & São-Mateus",2015,1,20,"Brazil","Bahia","Salvador","Stella Maris",-12.946389,-38.342778,,"Poecilanthe itapuana G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","238899","Poecilanthe itapuana","","Fabaceae","Poecilanthe","itapuana","","G.P.Lewis",,,"","3512","","Cardoso, D.",2015,1,10,"Brazil","Bahia","Salvador","Restinga entre o Farol de Itapuã e UNIDUNAS.",-12.945278,-38.341944,,"Poecilanthe itapuana G.P.Lewis","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","131847","Poecilanthe itapuana","","Fabaceae","Poecilanthe","itapuana","","G.P.Lewis",,,"","3512","","Cardoso, D; Ramos, G; Araújo, LC",2015,1,10,"Brazil","Bahia","Salvador","Restinga entre o Farol de Itapu? e UNIDUNAS.",-12.945278,-38.341944,"com até 5 m alt., crescendo sobre as dunas de areia branca. Folhas com folíolos cartáceos e naviculados. Flores com cálice verde-amarronzado e pétalas e estames brancos; o estandarte com guia floral vináceo. Foto. DNA. Flores e botões","Poecilanthe itapuana G.P.Lewis","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","135354","Poecilanthe itapuana","","Fabaceae","Poecilanthe","itapuana","","G.P.Lewis","Cardoso, D; Ramos, G",2015,"","87","","Ramos, G; Cardoso, D",2015,1,10,"Brazil","Bahia","Salvador","Dunas de restinga próximo ao Unidunas.",,,"ca. 2 m. Corola branca, mácula púrpura no estandarte; cálice verde. Folíolos discolores.","Poecilanthe itapuana G.P.Lewis","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","120996","Poecilanthe itapuana","","Fabaceae","Poecilanthe","itapuana","","G.P.Lewis","Guedes, ML",2015,"","23470","","Guedes, ML; Costa, MA; Costa, TF",2015,5,2,"Brazil","Bahia","Conde","Cavalo Russo.",-11.75,-7.6,"Folhas pinadas com mais de 4 folíolos, folíolos coriáceos, discolores. Frutos imaturos.","Poecilanthe itapuana G.P.Lewis","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","58988","Poecilanthe itapuana","","Fabaceae","Poecilanthe","itapuana","","G.P.Lewis","Guedes, M.L.",2015,"","23470","","Guedes, M.L.",2015,5,2,"Brazil","Bahia","Conde","litoral norte, Cavalo Russo.",-11.75,-37.6,"Arbusto. Flores pinadas com mais de 4 folíolos, folíolos coriáceos, discolores. Frutos imaturos.; Restinga.","Poecilanthe itapuana G.P.Lewis","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","113283","Poecilanthe itapuana","","Fabaceae","Poecilanthe","itapuana","","G.P.Lewis","Guedes, ML",2014,"","21329","","Guedes, ML; Costa, TF",2014,4,5,"Brazil","Bahia","Barra do Itariri","Estrada na entrada das malvinas.",,,"De ca 6m. Folhas com folíolos coriáceos, discolores. Frutos jovens.","Poecilanthe itapuana G.P.Lewis","",,"GBIF"
