"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","245966","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","L.P.de Queiroz",2019,"","4441","","Cardoso, D.",2018,2,20,"Brazil","Bahia","Barra","Ibiraba, Comunidade Paulista, plot #2 Projeto Nordeste.",-10.785278,-42.775556,"Caatinga arbustiva sobre dunas de areia branca.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","245930","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","L.P.de Queiroz",2019,"","4405","","Cardoso, D.",2018,2,19,"Brazil","Bahia","Barra","Ibiraba, Comunidade de Icatu, plot #1 Projeto Nordeste.",-10.786944,-42.819167,"Caatinga arbustiva sobre dunas de areia branca.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","245942","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","L.P.de Queiroz",2019,"","4417","","Cardoso, D.",2018,2,20,"Brazil","Bahia","Barra","Ibiraba, Comunidade Paulista, plot #2 Projeto Nordeste.",-10.786944,-42.769722,"Caatinga arbustiva sobre dunas de areia branca.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","245964","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","L.P.de Queiroz",2019,"","4439","","Cardoso, D.",2018,2,20,"Brazil","Bahia","Barra","Ibiraba, Comunidade Paulista, plot #2 Projeto Nordeste.",-10.785278,-42.775556,"Caatinga arbustiva sobre dunas de areia branca.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","205341","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","1520","","Neves, D.M.",2013,7,31,"Brazil","Bahia","Barra","Duna no distrito de Ibiraba. Área TreeAtlan BAibir",-10.79,-42.821944,"Caatinga arenícola","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","JBRJ","RB","RB00868319","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","L.P. Queiroz",,"","1520","","D.M. Neves; L.P. Queiroz; K.G. Dexter; T. Baker",2013,7,31,"Brazil","Bahia","Barra","Duna no distrito de Ibiraba. Área TreeAtlan BAibir.",-10.79,-42.821944,"Árvore 4m com poucas folhas. Frutos colhidos no chão. Folhas coriáceas","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","IPA","IPA","87335","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","Queiroz, L.P. de",2010,"","14681","","Queiroz, L.P. de; Ribeiro, P.G.; Cardoso, D.; Salas, R.M.; Ribeiro, P.G.; Cardoso, D.; Salas, R.M.",2010,5,19,"Brazil","Bahia","Barra","Ibiraba(Icatu), ca. 37 km N de Barra.",-10.788333,-42.821389,"Árvore ca. 4m de altura, copa aberta, esgalhada. Folhas coriáceas. Frutos paleáceos (amarelo-claro). Foto. DNA.; Caatinga sobre dunas arenosas, ca. 30-40m de altura. Vegetação em moitas.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","22173","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","Queiroz, LP",2010,"","14681","","Queiroz, LP; Ribeiro, PG; Cardoso, D; Salas, RM",2010,5,19,"Brazil","Bahia","Icatu","Ibiraba (Icatu), Barra: Ibiraba (Icatu), ca. 37km N de Barra.",-10.788333,-42.821389,"Árvore ca. 4,0m alt., copa aberta, esgalhada. Folhas coriáceas. Frutos paleáceos (amarelo-claros).DNA.; Árvore ca. 4,0m alt., copa aberta, esgalhada. Folhas coriáceas. Frutos paleáceos (amarelo-claros).DNA.; Caatinga sobre dunas areno","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UNICAMP","UEC","172462","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","Queiroz, LP",2010,"","14681","","Queiroz, LP; Salas, RM; Ribeiro, PG; Cardoso, D",2010,5,19,"Brazil","Bahia","Barra","Ibiraba (Icatu), ca. 37km N de Barra.",-10.788333,-42.821389,"Árvore, ca. 4m de altura. Copa aberta, esgalhada. Folhas coriáceas. Frutos paleáceos (amarelo-claros).; Caatinga sobre dunas arenosas, ca 30-40m de altura. Vegetação em moitas.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UFPB","JPB","53510","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","Queiroz, LP de",2010,"","14681","","Queiroz, LP de; Salas, RM; Ribeiro, PG; Cardoso, D",2010,5,19,"Brazil","Bahia","Barra: Ibiraba (Icatu)","Ca. 37 Km N de Barra.",-10.788333,-42.821389,"; HABITAT: Caatinga sobre dunas arenosas, ca. 30-40 m alt. Vegetação em moitas.; DESC: Árvore ca. 4,0 m alt., copa aberta, espalhada. Folhas coriáceas. Frutos paleáceos (amarelo-claros). Foto. DNA.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","160781","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","2945","","Cardoso, D.",2010,5,20,"Brazil","Bahia","Barra","Distrito de Ibiraba (Icatu), a ca. 40 Km da cidade de Barra, duna do alto do cruzeiro em frente da vila.",-10.788333,-42.821389,"Vegetação de caatinga arbustiva, com poucas árvores esparsas, sobre duna de ca. 30 m alt.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","161735","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","14681","","Queiroz, L.P.de",2010,5,19,"Brazil","Bahia","Barra","Ibiraba (Icatu), ca. 37 Km N de Barra.",-10.788333,-42.821389,"Caatinga sobre dunas arenosas, ca 30-40 m alt. Vegetação em moitas.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","161733","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","14679","","Queiroz, L.P.de",2010,5,19,"Brazil","Bahia","Barra","Ibiraba (Icatu), ca. 37 Km N de Barra.",-10.788333,-42.821389,"Caatinga sobre dunas arenosas, ca 30-40 m alt. Vegetação em moitas.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","161774","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","14720","","Queiroz, L.P.de",2010,5,22,"Brazil","Bahia","Pilão Arcado","Estrada Pilão Arcado para o Brejo do Zacarias.",-10.161944,-42.889444,"Caatinga sobre solo de areia quartzosa, vegetação agrupada, dossel a ca. 4,0 m alt.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","JBRJ","RB","RB00658409","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","2945","","Cardoso, D; L.P. de Queiroz, R.M. Salas & P.G. Ribeiro",2010,5,20,"Brazil","Bahia","Barra","Distrito de Ibiraba ( Icatu), a ca. 40 Km da cidade de Barra, duna do alto do cruzeiro em frente da vila. .",,,"Árvore com 2,5 -4,5 m alt, bem ramificada, muito comum na área. Folhas cartaceas em braquiblastos. Frutos imaturos verdes a marrom-claro. Foto DNA.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","NY","NY","1551185","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","2945","","D. B. O. S. Cardoso",2010,5,20,"Brazil","Bahia",,"Distrito de Ibiraba (Icatu), a ca. 40 km da cidade de Barra, duna ao alto do cruzeiro em frente da vila.",-10.7883,-42.8214,,"Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","136830","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","2945","","Cardoso, D",2010,5,20,"Brazil","Bahia","Barra","Distrito de Ibiraba (Icatu)",-10.788333,-42.804722,,"Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","19129","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","L.P.de Queiroz",2010,"","14681","","L.P. de Queiroz; R.M.Salas, P.G.Ribeiro & D.Cardoso",2010,5,19,"Brazil","Bahia","Barra","Ibiraba (Icatu) ca. 37 Km N de Barra",-10.788333,-42.821389,"Árvore ca. 4 m alt., copa aberta, esgalhada; folhas coriáceas; frutos paleáceos (amarelo-claros). DNA.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","15004","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","1772","","Prata, AP; Costa, SM; Nascimento - Júnior, JE",2009,11,8,"Brazil","Bahia","Pilão Arcado","Brejo da Serra, Tanque de Brejo da Serra.",-10.0012,-42.3015,"Arvoreta, 3 m.; Arvoreta, 3 m.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","15000","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","1776","","Prata, AP; Costa, SM; Nascimento - Júnior, JE",2009,11,11,"Brazil","Bahia","Pilão Arcado","Dunas de Salinas",-10.0012,-42.3015,"Flor amarela; Flor amarela","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","15083","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","1838","","Prata, AP; Costa, SM; Nascimento - Júnior, JE",2009,11,14,"Brazil","Bahia","Barra","Morrinho",-11.089444,-43.141389,"Árvore, ca. 3 m. Flores amarelo-esbranquiçadas.; Árvore, ca. 3 m. Flores amarelo-esbranquiçadas.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","18347","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","2147","","Prata, AP; Costa, SM; Nascimento - Júnior, JE",2009,11,,"Brazil","Bahia","Pilão Arcado","Lagoa do Jatobá, Dourados",-10.0012,-42.3015,,"Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","169597","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis",,,"","1838","","Prata, A.P.",2009,11,14,"Brazil","Bahia","Barra","Morrinho.",,,,"Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
"","UEFS","HUEFS","122309","Pterocarpus monophyllus","","Fabaceae","Pterocarpus","monophyllus","","B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","R.M.Santos",2007,"","1372","","Santos, R.M.",2007,6,19,"Brazil","Bahia","Pilão Arcado","Dunas.",-10.119722,-42.890833,"Caatinga de areia.","Pterocarpus monophyllus B.B.Klitgaard, L.P.de Queiroz & G.P.Lewis","",,"GBIF"
