"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","249244","Pterocarpus ternatus","","Fabaceae","Pterocarpus","ternatus","","Rizzini",,,"","16617","","Queiroz, L.P.de",2019,5,7,"Brazil","Bahia","Morro do Chapéu","Sítio Arqueológico (Lajes), entrando para Sul a ca. 20 km W de Morro do Chapéu na BA-052 (estrada do Feijão).",-11.498056,-41.332222,"Floresta estacional decidual com dossel ca. 4 m alt. Solo arenoso com afloramentos de arenito/quartzito.","Pterocarpus ternatus Rizzini","",,"GBIF"
"","UEFS","HUEFS","245798","Pterocarpus ternatus","","Fabaceae","Pterocarpus","ternatus","","Rizzini","L.P.de Queiroz",2019,"","4273","","Cardoso, D.",2018,2,11,"Brazil","Bahia","Morro do Chapéu","Lages, ca. 25 km no lado esquerdo da BA-052 sentido Irecê, plot #1 Projeto Nordeste.",-11.4925,-41.331111,"Caatinga arbustiva sobre solo arenoso.","Pterocarpus ternatus Rizzini","",,"GBIF"
"","JBRJ","RB","RB01409266","Pterocarpus ternatus","","Fabaceae","Pterocarpus","ternatus","","Rizzini","H.C. Lima",2018,"","1702","","T.M. Moraes",2018,4,7,"Brazil","Bahia","Mansidão","Com. Buritizinho. Conglomerado BA-404. Subunidade 1. Subparcela 5. Indivíduo 1. Extra.",-11.266667,-44.533333,,"Pterocarpus ternatus Rizzini","",,"GBIF"
"","UEFS","HUEFS","233297","Pterocarpus ternatus","","Fabaceae","Pterocarpus","ternatus","","Rizzini","L.P.Queiroz",2017,"","345","","Moonlight, P.W.",2017,3,3,"Brazil","Bahia","Morro do Chapéu","ca. 100m W of BA-052 road at km 289.",-11.491111,-41.331389,"Directly from soil in sandy caatinga, full sun.","Pterocarpus ternatus Rizzini","",,"GBIF"
"","UEFS","HUEFS","225775","Pterocarpus ternatus","","Fabaceae","Pterocarpus","ternatus","","Rizzini",,,"","16368","","Queiroz, L.P.de",2016,11,30,"Brazil","Bahia","Umburanas","19,3 Km do entrocamento para Umburanas.",-10.571111,-41.303611,,"Pterocarpus ternatus Rizzini","",,"GBIF"
"","UEFS","HUEFS","225901","Pterocarpus ternatus","","Fabaceae","Pterocarpus","ternatus","","Rizzini",,,"","16494","","Queiroz, L.P.de",2016,12,1,"Brazil","Bahia","Umburanas","Trilha de Minas do Mimoso para o Alegre.",-10.308889,-41.429444,"Afloramento rochoso.","Pterocarpus ternatus Rizzini","",,"GBIF"
"","Empresa Brasileira de Pesquisa Agropecuária","HTSA","6268","Pterocarpus ternatus","","Fabaceae","Pterocarpus","ternatus","","Rizzini","Queiroz, L.P. de",,"","457","","Martins.C.T.V.D",2015,2,28,"Brazil","Bahia","Juazeiro","Serra do Mulato",,,"Frutos imaturos verdes.","Pterocarpus ternatus Rizzini","",,"GBIF"
"","UESB","HUESB","9511","Pterocarpus ternatus","","Fabaceae","Pterocarpus","ternatus","","Rizzini","ESPÍRITO-SANTO, F.S.",2014,"","6","","Dourado, A.C.P.",2014,3,25,"Brazil","Bahia","Contendas do Sincorá","Floresta Nacional Contendas do Sincorá",,,"Árvore, ca. 6m alt. Folhas compostas.; Caatinga.","Pterocarpus ternatus Rizzini","",,"GBIF"
"","UEFS","HUEFS","120787","Pterocarpus ternatus","","Fabaceae","Pterocarpus","ternatus","","Rizzini","D.Cardoso",2010,"","90","","Damascena, L.",2006,8,26,"Brazil","Bahia","Morro do Chapéu","Parque Estadual de Morro do Chapéu: Lages.",-11.493056,-41.328889,"Caatinga arbustiva","Pterocarpus ternatus Rizzini","",,"GBIF"
"","UEFS","HUEFS","92344","Pterocarpus ternatus","","Fabaceae","Pterocarpus","ternatus","","Rizzini","L.P.de Queiroz",2011,"","55265","","Harley, R.M.",2004,12,5,"Brazil","Bahia","Rio de Contas","Serra do Rio de Contas. Proximidades de Boa Sentença, Morro da Morceguinha.",-13.824167,-41.582222,"Caatinga arbórea, com rochas quartzíticas e de arenito metamórfica.","Pterocarpus ternatus Rizzini","",,"GBIF"
