"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","IPA","IPA","93425","Senegalia piauhiensis","","Fabaceae","Senegalia","piauhiensis","","(Benth.) Seigler & Ebinger","Bocage, A.",2019,"","4","","Gonçalves, P.H.S.",2019,1,,"Brazil","Pernambuco","Buíque","Vale do Catimbau, Comunidade Sítio Igrejinha",,,"Material botânico em estudo na UFRPE, Dept. de Biologia para fim de pesquisa, teses de doutorado e dissertação de mestrado sob a orientação do Prof. Ulisses Paulino de Albuquerque.; Arbórea. Flores amarelas. Fruto tipo legume, marrom.","Senegalia piauhiensis (Benth.) Seigler & Ebinger","",,"GBIF"
"","UEFS","HUEFS","249011","Senegalia piauhiensis","","Fabaceae","Senegalia","piauhiensis","","(Benth.) Seigler & Ebinger",,,"","1392","","Moonlight, P.W.",2019,2,20,"Brazil","Bahia","Macaúbas","Nordeste plot MAC-01, Fazenda Roberto ca. 2km down dirt road N from Macaubas. 500m SW as the crow flies from the end of the road",-13.001389,-42.706944,"Caatinga with a canopy ca. 4-6m. Relatively open at ground level with sparse herbs and succulents. Few lianas, occasional epitphytes (Tillandsia). Dominated by Handroanthus with some areas dominated by Anadenanthera.","Senegalia piauhiensis (Benth.) Seigler & Ebinger","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","134609","Senegalia piauhiensis","","Fabaceae","Senegalia","piauhiensis","","(Benth.) Seigler & Ebinger","Guedes, ML",2019,"","31572","","Guedes, ML; Oliveira, MA de J; Alunos da Disciplina Paisagismo IBIO",2019,5,11,"Brazil","Bahia","Maracás","Fazenda Lagedo do Gavião.",-13.716667,-40.6,"Folíolos discolores. Inflorescência panícula de espigas com flores cremes.","Senegalia piauhiensis (Benth.) Seigler & Ebinger","",,"GBIF"
"","UEFS","HUEFS","238316","Senegalia piauhiensis","","Fabaceae","Senegalia","piauhiensis","","(Benth.) Seigler & Ebinger",,,"","336","","Santos, J.M.",2019,5,30,"Brazil","Pernambuco","Sertânia","Serra das Umburanas",-8.401111,-37.6175,"Savana Estépica, Planossolo Háplico Eutrófico","Senegalia piauhiensis (Benth.) Seigler & Ebinger","",,"GBIF"
"","UEFS","HUEFS","233286","Senegalia piauhiensis","","Fabaceae","Senegalia","piauhiensis","","(Benth.) Seigler & Ebinger","L.P.de Queiroz",2019,"","145","","Ramos, D.M.",2018,1,19,"Brazil","Pe","Petrolina",,-9.046944,-40.319722,"Caatinga","Senegalia piauhiensis (Benth.) Seigler & Ebinger","",,"GBIF"
"","UEFS","HUEFS","246174","Senegalia piauhiensis","","Fabaceae","Senegalia","piauhiensis","","(Benth.) Seigler & Ebinger","L.P.de Queiroz",2019,"","4647","","Cardoso, D.",2018,3,29,"Brazil","Bahia","Canudos","Estação Biológica de Canudos, Toca Velha, Fundação Biodiversitas, plot #1 Projeto Nordeste.",-9.971111,-39.155556,"Caatinga sobre solo arenoso branco.","Senegalia piauhiensis (Benth.) Seigler & Ebinger","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133369","Senegalia piauhiensis","","Fabaceae","Senegalia","piauhiensis","","(Benth.) Seigler & Ebinger","Guedes, ML",2018,"","30600","","Guedes, ML; Alunos de Botânica Econômica",2018,6,28,"Brazil","Bahia","Tucano","Epicentro Marizá.",-11.0175,-39.134722,"espinescente. Inflorescência espigas terminais, flores pequenas, cremes.","Senegalia piauhiensis (Benth.) Seigler & Ebinger","",,"GBIF"
"","UESC","UESC","24345","Senegalia piauhiensis","","Fabaceae","Senegalia","piauhiensis","","(Benth.) Seigler & Ebinger","Guedes, M.L.",2018,"","30600","","Guedes, M.L.",2018,6,28,"Brazil","Bahia","Tucano",,-11.0175,-38.984722,"Árvore: espinescente.","Senegalia piauhiensis (Benth.) Seigler & Ebinger","",,"GBIF"
"","UNIVASF","HVASF","23255","Senegalia piauhiensis","","Fabaceae","Senegalia","piauhiensis","","(Benth.) Seigler & Ebinger","R.T. Queiroz",2017,"","281","","D.S. Fernandes",2017,1,20,"Brazil","Bahia","Sento Sé","Área Proposta para o Parque Nacional do Boqueirão da Onça, Comunidade Brejo da Brásida,Trilha Vicinal a Grota da Santana",-10.277444,-41.614694,"Árvore, ca. de 2m alt, em plena floração, inflorescência em amento, flores alvo-amareladas, polistêmones.","Senegalia piauhiensis (Benth.) Seigler & Ebinger","",,"GBIF"
"","UEFS","HUEFS","244006","Senegalia piauhiensis","","Fabaceae","Senegalia","piauhiensis","","(Benth.) Seigler & Ebinger","L.P.de Queiroz",2018,"","6165","","Melo, P.H.A.",2017,1,27,"Brazil","Bahia","Cafarnaum","Margem esquerda da BR 122, a 22 Km de Cafarnaum sentido Morro do Chapéu. Morro com afloramentos de calcário em vertentes, paredões e grandes blocos abatidos.",-11.536111,-41.387222,"Caatinga arbóreo-arbustiva e formação aberta do carste. Envolto por caatinga alterada, pastagens e áreas agrícolas.","Senegalia piauhiensis (Benth.) Seigler & Ebinger","",,"GBIF"
