"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","196915","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby",,,"","6616","","Rezende, SG; Justo, AG",2018,2,21,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.076389,-43.6875,"Arbóreo; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","191068","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby",,2018,"","111","","Vieira, KIC; Resende, HC; Werneck, HA",2018,4,21,"Brazil","Minas Gerais","Mariana","Camargos, Estrada fazenda das palhas",-20.318694,-43.411333,"Flor amarela; Campo de flores crescendo sobre solo rochoso","Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
"","FUNED","FUNED-POL","4818","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby",,,"",,"","Kamilla Castelan",2018,4,21,"Brazil","Mg","Mariana","Fazenda - Estrada campo",,,,"Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
"","UFOP","OUPR","31525","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby","Pedrosa, L.G.",2018,"","s.n.","","Nascimento, A.M.; Pedrosa, L.G.",2018,5,18,"Brazil","Minas Gerais","Ouro Preto","Campus da UFOP, Canga atrás do biotério",-20.383333,-43.5,"Frutos maduros castanho escuros","Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197756","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby",,,"","6832","","Rezende, SG; Justo, AG",2018,5,17,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.109167,-43.657778,"Árvore; Capão de mata sobre canga","Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197919","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby",,,"","6926","","Rezende, SG; Justo, AG",2018,8,28,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.036111,-43.681111,"Árvore; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
"","UFOP","OUPR","31515","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby","Figueiredo, M.A.",2019,"","66","","Figueiredo, M.A.",2018,9,27,"Brazil","Minas Gerais","Ouro Preto","Parque Natural Municipal das Andorinhas, Serra da Brígida",,,"Árvore, aproximadamente 3m, flores amarelas. Vegetação predominantemente herbáceo arbustiva, campo rupestre ferruginoso","Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
"","UFOP","OUPR","32593","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby","Pedrosa, L.G.",2018,"","1207","","Pedrosa, L.G.",2018,12,13,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha do pico.",,,"Arbusto, ca. 1,5m. Flores amarelas, estípulas em forma de rim. Capão de mata/ campo rupestre.","Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
"","UFV","VIC","48620","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby","Reis-Silva, G.A.",2017,"","189","","Reis-Silva, G.A.; Braga, N.; Pedrosa, L.",2017,3,29,"Brazil","Minas Gerais","Ouro Preto","Serra das Andorinhas, APA",-20,-43,"Arvoreta, flores amarelas, estípulas reniformes","Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","190170","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby",,2017,"","575","","Quaresma, AS; Oliveira, CT",2017,5,24,"Brazil","Minas Gerais","Conceição do Mato Dentro",,,,"Campo rupestre quartizítico.","Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","195469","Senna reniformis","","Fabaceae","Senna","reniformis","","(G.Don) H.S.Irwin & Barneby",,,"","882","","Quaresma, AS",2017,6,20,"Brazil","Minas Gerais","Itabira","Serra dos Alves",-19.461389,-43.460833,"Campo rupestre quatzítico.","Senna reniformis (G.Don) H.S.Irwin & Barneby","",,"GBIF"
