"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Cenargen","CEN","94840","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","A. J. Barreto dos Santos",2013,"","238","","Gustavo Paiva Evangelista Rocha",2013,5,9,"Brazil","Ro","PORTO VELHO","Área de Preservação Permanente do reservatório da UHE Jirau, margem direita do Rio Madeira",-9.661667,-58.908888,"Cálice e corola creme, anteras marrons. Aroma adocicado.","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","251200","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","Simon, M.F.",2012,"","1457","","Mike Hopkins",2012,4,12,"Brazil","Rondônia",,"Ao longo da BR - 364, 61 km Leste de Jaci Paraná, ramal 500 m ao Sul.",-8.971389,-63.99,,"Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","251107","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","Simon, M.F.",2012,"","16198","","Mike Hopkins",2012,4,24,"Brazil","Rondônia",,"Estrada rio Madeira - povoado São Lourenço, km 02.",-9.597222,-65.03,,"Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Cenargen","CEN","81986","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","M. Simon",2012,"","16198","","Glocimar Pereira-Silva",2012,4,24,"Brazil","Ro","PORTO VELHO","Estrada rio Madeira - povoado São Lourenço, km 02.",-9.597222,-65.033055,"Botges florais verde. Área de influência indireta.","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Cenargen","CEN","82488","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","M. Simon",2012,"","1457","","Marcelo Fragomeni Simon",2012,4,12,"Brazil","Ro","PORTO VELHO","Ao longo da BR - 364, 61 km Leste de Jaci Paraná, ramal 500 m ao Sul.",-8.971389,-63.987777,"Árvore inerme 10m. Tronco cinza claro. Exudato após o corte cor de mel abundante, em gotas. Em botão. Abundante em floresta perturbada.","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","JBRJ","RB","RB00762277","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","M. F. Simon",,"","1457","","M. F. Simon",2012,4,12,"Brazil","Rondônia","Porto Velho","Ao longo da BR-364, 61 km Leste de Jaci-Paraná, ramal 500m ao sul.;.",-8.966667,-63.983333,"Árvore inerme 10m. Tronco cinza claro. Exudato após o corte cor de mel abundante em gotas. Em botão. Abundante em floresta perturbada.;","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","JBRJ","RB","RB00829895","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","M.F. Simon",,"","16198","","G. Pereira-Silva; et al",2012,4,24,"Brazil","Rondônia","Porto Velho","Estrada rio Madeira - povoado São Lourenço, km 02.",-9.597222,-65.033056,"Árvore com cerca de 25m de altura; botões florais verdes; frequente","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","NY","NY","02144739","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni",,,"","1457","","M. F. Simon",2012,4,12,"Brazil","Rondônia",,"Ao longo da BR 364, 61 km leste de Jaci Paraná, ramal 500 m ao Sul.",-8.9714,-63.9878,,"Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","NY","NY","02144738","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni",,,"","16198","","G. Pereira-Silva",2012,4,24,"Brazil","Rondônia",,"Estrada rio Madeira - povoado São Lourenço, km 02.",-9.5972,-65.0331,,"Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","251335","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","Simon, M.F.",2012,"","1606","","Mike Hopkins",2012,6,28,"Brazil","Rondônia",,"Ao longo do ramal em direção à vila S. Lourenço, 10 km ao S do porto.",-9.563333,-65.04,,"Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Cenargen","CEN","82098","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","M. Simon",2012,"","1606","","Marcelo Fragomeni Simon",2012,6,28,"Brazil","Ro","PORTO VELHO","Ao longo do ramal em direção à vila S. Lourenço, 10 km ao S do porto.",-9.563333,-65.035,"Árvore com 10 m de altura x 15 cm de DAP. Casca cinza claro. Exudato marrom. Frutos imaturos. Comum em floresta perturbada.","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","NY","NY","02144737","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni",,,"","1606","","M. F. Simon",2012,6,28,"Brazil","Rondônia",,"Ao longo do ramal em direção à vila S. Lourenco, 10 km ao S do porto.",-9.5633,-65.035,,"Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Cenargen","CEN","84020","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","M. Simon",2014,"","16268","","Glocimar Pereira-Silva",2012,8,13,"Brazil","Ro","PORTO VELHO","Linha de transmissão Jirau/Stº Antonio, ponto 15.",-9.166111,-64.201111,,"Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Cenargen","CEN","80627","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","M. Simon",2012,"","1230","","Marcelo Fragomeni Simon",2011,3,28,"Brazil","Ro","PORTO VELHO","Fragmento florestal 1km ao norte do trevo de Nova Mutum-Paraná. Linha de Transmissão Jirau-Porto Velho.",-9.276944,-64.555277,"Árvore 10m, inerme. Botges florais. Frutos coletados no chão.","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","UEFS","HUEFS","195975","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni",,,"","1343","","Simon, M.F.",2011,7,16,"Brazil","Rondônia","Porto Velho","Povoado de Jaci Paraná, 1 km ao sul, linha de transmissão da UHE Jirau - Porto Velho.",-9.264167,-64.409444,"Floresta de terra firme,preservada.","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Cenargen","CEN","80739","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","M. Simon",2012,"","1343","","Marcelo Fragomeni Simon",2011,7,16,"Brazil","Ro","PORTO VELHO","Povoado de Jaci Paraná, 1 km ao sul, linha de transmissão Jirau-Porto Velho.",-9.264167,-64.409444,"Árvore 15m, DAP 20cm, inerme. Frutos imaturos.","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","UEFS","HUEFS","194411","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni",,,"","3478","","Santos, A.A.",2011,8,27,"Brazil","Rondônia","Porto Velho","Entrada norte da UHE Jirau, antigo acesso aos alojamentos.",-9.287778,-64.594167,,"Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Cenargen","CEN","80971","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","Erik J. M. Koenen",2012,"","3478","","Aécio Amaral-Santos",2011,8,27,"Brazil","Ro","PORTO VELHO","Entrada norte da UHE Jirau, antigo acesso aos alojamentos.",-9.287778,-64.594166,"Área de influência direta da UHE Jirau.","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","JBRJ","RB","RB00766969","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","E. Koenen",,"","3478","","A.A. Santos; et al",2011,8,27,"Brazil","Rondônia","Porto Velho","Entrada norte da UHE Jirau, antigo acesso aos alojamentos.",-9.287778,-64.594167,"Árvore com 8m de altura. Frutos maduros marrons. Ocasional","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","Cenargen","CEN","77682","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","M. Simon",2012,"","15692","","Glocimar Pereira-Silva",2010,8,24,"Brazil","Ro","PORTO VELHO","Área da reserva do Polo Nova Mutum Paraná.",-9.3,-64.565,"Área de influência indireta.","Stryphnodendron duckeanum Occhioni","",,"GBIF"
"","JBRJ","RB","RB00811287","Stryphnodendron duckeanum","","Fabaceae","Stryphnodendron","duckeanum","","Occhioni","Marcelo Fragomeni Simon",,"","15692","","Glocimar Pereira-Silva; Antônio José Barreto dos Santos & Gledson Alves Moreira",2010,8,24,"Brazil","Rondônia","Porto Velho","Área da Reserva do Polo Nova Mutum Paraná.",-9.3,-64.565,"Árvore com cerca de 8 metros de altura. Frutos maduros marrom. Carp. nº 7684","Stryphnodendron duckeanum Occhioni","",,"GBIF"
