"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","126470","Swartzia arenophila","","Fabaceae","Swartzia","arenophila","","R. B. Pinto, Torke & Mansano","Mansano, VF",2019,"","25227","","Guedes, ML; Alunos de Botânica BIOC05",2016,10,23,"Brazil","Bahia","Conde","Ilha das Ostras, Mata do Raposo.",-11.8,-37.6,"Folhas com pinas coriáceas, discolores, margem revoluta. Fruto jovem.","Swartzia arenophila R. B. Pinto, Torke & Mansano","",,"GBIF"
"","UEFS","HUEFS","178622","Swartzia arenophila","","Fabaceae","Swartzia","arenophila","","R. B. Pinto, Torke & Mansano",,,"","980","","Popovkin, A.V.",2011,11,18,"Brazil","Bahia","Mata de São João","Linha Verde.",-12.5,-37.983333,"Restinga.","Swartzia arenophila R. B. Pinto, Torke & Mansano","",,"GBIF"
"","UNICAMP","UEC","155572","Swartzia arenophila","","Fabaceae","Swartzia","arenophila","","R. B. Pinto, Torke & Mansano","Mansano, VF",2016,"","137","","Pinto, RB; Arantes, TC",2010,7,23,"Brazil","Bahia",,"Baixios, BA-099, Km 107. Beira da estrada. Substrato areno-argiloso, branco-averelhado.",-12.004167,-37.810833,"ARvoreta ca 2,5m. Flores de pétala branca, filetes creme, anteras amarelas. Gineceu verde.","Swartzia arenophila R. B. Pinto, Torke & Mansano","",,"GBIF"
"","UNICAMP","UEC","156038","Swartzia arenophila","","Fabaceae","Swartzia","arenophila","","R. B. Pinto, Torke & Mansano","Mansano, VF",2016,"","115","","Pinto, RB; Arantes, TC",2010,7,21,"Brazil","Bahia",,"Massarandupió, dunas de areia branca",-12.319444,-37.88,"Arbusto ca 2m. Caulifloria. 1 pétala branca. Estames com filetes verde-limão, anteras amarelas. Ovário glabro verde.","Swartzia arenophila R. B. Pinto, Torke & Mansano","",,"GBIF"
"","UNICAMP","UEC","156039","Swartzia arenophila","","Fabaceae","Swartzia","arenophila","","R. B. Pinto, Torke & Mansano","Mansano, VF",2016,"","137","","Pinto, RB; Arantes, TC",2010,7,23,"Brazil","Bahia",,"Baixios, BA-099, Km 107. Beira da estrada. Substrato areno-argiloso, branco-averelhado.",-12.004167,-37.810833,"ARvoreta ca 2,5m. Flores de pétala branca, filetes creme, anteras amarelas. Gineceu verde.","Swartzia arenophila R. B. Pinto, Torke & Mansano","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","145718","Swartzia arenophila","","Fabaceae","Swartzia","arenophila","","R. B. Pinto, Torke & Mansano","V. F. Mansano",,"","137","","R. B. Pinto",2010,7,23,"Brazil","Bahia","BAIXIO","BA-099, KM 107. Beira de estrada.",-12.004167,-37.810833,,"Swartzia arenophila R. B. Pinto, Torke & Mansano","",,"GBIF"
"","MO","MO","100509018","Swartzia arenophila","","Fabaceae","Swartzia","arenophila","","R. B. Pinto, Torke & Mansano","V. F. Mansano (RB)",2013,"","Pinto 137","","R. B. Pinto|T. C. Arantes",2010,7,23,"Brazil","Bahia",,"Baixio. BA-099, Km 107. Beira de estrada. Substrato areno-argiloso, branco-averelhado.",-12.004167,-37.810833,,"Swartzia arenophila R. B. Pinto, Torke & Mansano","",,"GBIF"
"","MO","MO","100509007","Swartzia arenophila","","Fabaceae","Swartzia","arenophila","","R. B. Pinto, Torke & Mansano","Pinto et al., TYPE/It:MO",,"","Pinto 115","","R. B. Pinto|T. C. Arantes",2010,7,21,"Brazil","Bahia",,"Massarandupió. Dunas de areia branca.",-12.301944,-37.88,,"Swartzia arenophila R. B. Pinto, Torke & Mansano","",,"GBIF"
"","JBRJ","RB","RB00595589","Swartzia arenophila","","Fabaceae","Swartzia","arenophila","","R. B. Pinto, Torke & Mansano","R.B.Pinto & V.F. Mansano",,"","115","","R.B.Pinto; T.C.Arantes",2010,7,21,"Brazil","Bahia","Bahia","MassarandupiÃ³. Dunas de areia branca.",-12.301944,-37.88,"Arbusto ca 2m. Caulifloria. 1 pétala branca. Estames com filetes verde-limão, anteras amarelas. Ovário glabro verde.","Swartzia arenophila R. B. Pinto, Torke & Mansano","",,"GBIF"
"","JBRJ","RB","RB00595588","Swartzia arenophila","","Fabaceae","Swartzia","arenophila","","R. B. Pinto, Torke & Mansano","R.B.Pinto & V.F. Mansano",,"","116","","R.B.Pinto; T.C.Arantes",2010,7,21,"Brazil","Bahia","Bahia","MassarandupiÃ³. Dunas de areia branca.",-12.301667,-37.879722,"Arbusto ca 2m. Caulifloria. 1 pétala branca. Estames com filetes verde-limão, anteras amarelas. Ovário glabro verde.","Swartzia arenophila R. B. Pinto, Torke & Mansano","",,"GBIF"
