"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00903026","Swartzia corrugata","","Fabaceae","Swartzia","corrugata","","Benth.","Dexter, K.G.",,"","7102","","Dexter, K.G.; Souza, P.",2014,7,11,"Brazil","Amazonas","Manaus","Reserva Adolfo Ducke, North of Manaus, PPBIO plot LO4:500.",-2.960556,-59.928056,"15m alt., 12,4cm DBH, flaking brown bark - Material no Banco de DNA","Swartzia corrugata Benth.","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","15109","Swartzia corrugata","","Fabaceae","Swartzia","corrugata","","Benth.",,,"","726","","Marra, DM; Neves, AF; Souza, IG",2011,9,16,"Brazil",,,"Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",-2.432417,-60.2884,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 11.9 cm","Swartzia corrugata Benth.","",,"GBIF"
"","JBRJ","RB","RB00854464","Swartzia corrugata","","Fabaceae","Swartzia","corrugata","","Benth.","Benjamin M. Torke",,"","1272","","Benjamin M. Torke; Vidal Mansano, Chieno Suemitsu, Poliana Ramos & Miguel Canto",2011,11,22,"Brazil","Pará","Pará","road to Campo Gerais from Oriximina, ca. 10 km NE of PA-254.",-1.218056,-55.766389,"Sapling, ca. 2 m tall, leaves coriaceous, bullate-rugose above from impressed venation, sterile; SILICA COLLECTION","Swartzia corrugata Benth.","",,"GBIF"
"","NY","NY","03474729","Swartzia corrugata","","Fabaceae","Swartzia","corrugata","","Benth.","B. M. Torke",2011,"","1272","","B. M. Torke",2011,11,22,"Brazil","Pará",,"road to Campo Gerais from Oriximina, ca. 10 km NE of PA-254",-1.2181,-55.7664,,"Swartzia corrugata Benth.","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","3560","Swartzia corrugata","","Fabaceae","Swartzia","corrugata","","Benth.",,2009,"","1096","","Junqueira, AB; Ramos, JF",2009,12,14,"Brazil",,,"Porto Trombetas, Floresta Nacional Saracá-Taquera. Área de atividade da Mineração Rio Norte S/A. Sítio arqueológico ""Cipoal do Araticum"".",-2.288194,-56.837528,"; HABITAT: Floresta secundária sobre solo antropogênico (Terra Preta de Índio). Dossel e subosque com elevada dominância de lianas.; DESC: Árvore; 9 m.","Swartzia corrugata Benth.","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","1219","Swartzia corrugata","","Fabaceae","Swartzia","corrugata","","Benth.",,2010,"","21","","Stropp, J; Assunção, P",2007,7,,,,,"próximo a Escola Indígena Baniwa Coripaco Pamaali.",,,"Árvore Nº 664.; HABITAT: Floresta de terra-firme.","Swartzia corrugata Benth.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","224974","Swartzia corrugata","","Fabaceae","Swartzia","corrugata","","Benth.","Albuquerque, D.C.",2007,"","3167","","Mike Hopkins",2007,8,13,"Brazil","Pará",,"Estrada da base Capiranga",,,,"Swartzia corrugata Benth.","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","2515","Swartzia corrugata","","Fabaceae","Swartzia","corrugata","","Benth.",,2007,"","3167","","Amaral, IL do; Ramos, MB; Oliveira, JG de; Souza, S",2007,8,13,,,,"Estrada da base Capiranga",,,"; DESC: Árvore de 29m de altura, DAP 21 cm. Infrutescência verde, frutos jovens de cor verde escuro velutinos.","Swartzia corrugata Benth.","",,"GBIF"
"","MBM","MBM","314164","Swartzia corrugata","","Fabaceae","Swartzia","corrugata","","Benth.",,,"","81","","Soler, JG",2003,11,19,"Brazil","Roraima","Caracaraí","Próximo a Vila de Caicubi",,,"Base reta. Titidoma avermelhado. Casca morta marrom. Casca viva amarelada. Alburno amarelo. Terra firma","Swartzia corrugata Benth.","",,"GBIF"
"","JBRJ","RB","RB00183946","Swartzia corrugata","","Fabaceae","Swartzia","corrugata","","Benth.",,,"","81","","Juan G. Soler A.; Ernane Fontes Barbosa",2003,11,19,"Brazil","Roraima","Caracaraí","Próx. a Vila de Caicubi.",-1.178611,-62.089167,"Base reta. Ritidoma avermelhado. Casca marrom. Casca viva amarelada. Alburno amarelo.","Swartzia corrugata Benth.","",,"GBIF"
