"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","14481","Swartzia longistipitata","","Fabaceae","Swartzia","longistipitata","","Ducke",,,"","98","","Marra, DM; Neves, AF",2015,8,1,"Brazil",,,"Floresta de terra-firme (ca. 250 hectares) atingida por uma tempestade de vento ocorrida no ano de 2005; lado direito do ramal, transecto grande",-2.948703,-60.451397,"; HABITAT: Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 250 hectares) atingida por uma tempestade de vento ocorrida no ano de 2005; DESC: árvore; DAP = 18.4 cm","Swartzia longistipitata Ducke","",,"GBIF"
"","JBRJ","RB","RB00903019","Swartzia longistipitata","","Fabaceae","Swartzia","longistipitata","","Ducke","Dexter, K.G.",,"","7094","","Dexter, K.G.; Souza, P.",2014,7,11,"Brazil","Amazonas","Manaus","Reserva Adolfo Ducke, North of Manaus, PPBIO plot LO4:1500.",-2.960556,-59.928056,"4m alt., 1,4cm DBH, brown bark - Material no Banco de DNA","Swartzia longistipitata Ducke","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","15473","Swartzia longistipitata","","Fabaceae","Swartzia","longistipitata","","Ducke",,,"","1090","","Marra, DM; Neves, AF; Souza, IG",2012,9,2,"Brazil",,,"Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987",-3.655867,-61.254617,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 27.5 cm","Swartzia longistipitata Ducke","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","15442","Swartzia longistipitata","","Fabaceae","Swartzia","longistipitata","","Ducke",,,"","1059","","Marra, DM; Neves, AF; Souza, IG",2012,9,2,"Brazil",,,"Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987",-3.655214,-61.254997,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 12.8 cm","Swartzia longistipitata Ducke","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","15529","Swartzia longistipitata","","Fabaceae","Swartzia","longistipitata","","Ducke",,,"","1146","","Marra, DM; Neves, AF; Souza, IG",2012,9,3,"Brazil",,,"Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987",-3.659114,-61.252689,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 43 cm","Swartzia longistipitata Ducke","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","15848","Swartzia longistipitata","","Fabaceae","Swartzia","longistipitata","","Ducke",,,"","1465","","Marra, DM; Neves, AF; Pereira, S L",2012,9,23,"Brazil",,,"Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987",-3.676178,-61.256008,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 20.2 cm","Swartzia longistipitata Ducke","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","15864","Swartzia longistipitata","","Fabaceae","Swartzia","longistipitata","","Ducke",,,"","1481","","Marra, DM; Neves, AF; Pereira, S L",2012,9,23,"Brazil",,,"Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987",-3.677356,-61.257942,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 17.9 cm","Swartzia longistipitata Ducke","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","14562","Swartzia longistipitata","","Fabaceae","Swartzia","longistipitata","","Ducke",,,"","179","","Marra, DM; Neves, AF; Souza, IG",2011,4,5,"Brazil",,,"Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",-2.406581,-60.308775,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 10.5 cm","Swartzia longistipitata Ducke","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","14847","Swartzia longistipitata","","Fabaceae","Swartzia","longistipitata","","Ducke",,,"","464","","Marra, DM; Neves, AF; Souza, IG",2011,5,26,"Brazil",,,"Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",-2.425564,-60.297903,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 30.1 cm","Swartzia longistipitata Ducke","",,"GBIF"
"","Instituto Federal de Educação, Ciência e Tecnologia","EAFM","14765","Swartzia longistipitata","","Fabaceae","Swartzia","longistipitata","","Ducke",,,"","382","","Marra, DM; Neves, AF; Souza, IG",2011,5,25,"Brazil",,,"Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",-2.418336,-60.301975,"; HABITAT: Floresta de terra-firme; DESC: árvore, DAP = 10.3 cm","Swartzia longistipitata Ducke","",,"GBIF"
