"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","16020","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Geovane S. Siqueira",2019,"","1316","","Siqueira, G.S.",2019,8,22,"Brazil","Es","VILA VALÉRIO","próx. a casa do Córr. Tesouro, mata ciliar. Outro nome comum: Grão-de-bode",,,"Col. Adic.: Moises Ribeiro, Ronielio T. de Sá Souza <ll>dwc_commonname:</ll> Banana de quati","Swartzia oblata R.S.Cowan","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","5356","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Moreira, SN",2016,"","1862","","Moreira, SN; Pereira, E",2016,1,13,"Brazil","Minas Gerais","Conceição do Mato Dentro","Cava Sul - Anglo American",-18.912049,-43.41864,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","MBML","MBML-HERBARIO","50355","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,,"","259","","A.D. Ferreira; P.J. Coelho",2015,4,11,"Brazil","Espírito Santo","Santa Teresa","RPPN Vale do Sol, Floresta Ombrófila Densa, borda da mata, morro do eucalipto ""cachorro"", floresta topo do morro",,,"Árvore 4m, DAP 5cm, caulifloria, flores com pétalas brancas, botões marrons, única árvore vista","Swartzia oblata R.S.Cowan","",,"GBIF"
"","JBRJ","RB","RB00852021","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V.F.MANSANO",2017,"","1758","","Neves, D.M.; Lima, H.C.; Queiroz, L.P.; Pennington, R.T.; Lewis, G.P.; Vivas, C.V.; Paixao, J.L.",2014,3,14,"Brazil","Bahia","Santa Cruz Cabrália","Santa Cruz Cabrália. Estrada para Guaiu +/- km 2.",-16.125278,-38.971111,"Arvore 8m","Swartzia oblata R.S.Cowan","",,"GBIF"
"","UFRB","HURB","5671","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V.F. Mansano",2014,"","2362","","Aona, L.Y.S.; Biggs, N.; Lucas, E.",2013,3,10,"Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica, trilha do Pico do Urubu;",-13.593056,-39.716667,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","UEFS","HUEFS","203579","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V.F.Mansano",2019,"","2794","","Aona, L.Y.S.",2013,5,22,"Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica de Wenceslau Guimarães, trilha Cachoeira da nascente do Rio das Almas, interior da mata preservada, evidência de corte de árvores.",-13.599722,-39.718333,"Floresta Ombrófila Densa (mata atlântica).","Swartzia oblata R.S.Cowan","",,"GBIF"
"","UNICAMP","UEC","173060","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Pinto, RB",2012,"","337","","Pinto, RB",2012,2,26,"Brazil","São Paulo","Picinguaba","Ao lado do portão da Pousada Betânia. Mata Atlântica",-23.3325,-44.881111,"Árvore ca. 5m. Flores com pétala branca, filetes brancos, anteras creme. Ovário com pilosidade dourada.","Swartzia oblata R.S.Cowan","",,"GBIF"
"",,,,"Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,,"",,"","R.A.F. Lima",2012,6,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",-24.18,-47.92,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"",,,,"Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,,"",,"","R.A.F. Lima",2012,6,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",-24.18,-47.92,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","161061","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,2013,"","1677","","Souza, FS; Miranda, E",2012,9,1,"Brazil","Minas Gerais","Itabira","Serra dos Alves, Rio tanque, floresta estacional semidecidual inicial.",-19.456667,-43.461944,"Diagnóstico ambiental. Árvore 10 m com frutos imaturos verdes no caule.; Floresta estacional semidecidual inicial.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","IF","SPSF","48247","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","D.A.Folli",2010,"","6558","","D.A.Folli",2010,3,3,"Brazil","Es","Rio Bananal","Córrego Primavera",-19.231944,-40.355556,"COLETA: Planta de porte arbóreo, terrestre. Botão verde claro, flor branca.&nf;Altura 10m, Fuste a 6m, CAP Fuste 120cm, Diametro da copa 10m.&nf;Nome Vulgar - Banana de Quati; GEOGRAFIA: Mata Ciliar.;","Swartzia oblata R.S.Cowan","",,"GBIF"
"","Reserva Natural Vale","CVRD","12940","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Domingos A. Folli",2010,"","6558","","Folli, D.A.",2010,3,3,"Brazil","Es","RIO BANANAL",,-19.231521,-40.355127,"<ll>dwc_commonname:</ll> Banana de quati","Swartzia oblata R.S.Cowan","",,"GBIF"
"","JBRJ","RB","RB00900940","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","D.A. Folli",2010,"","6558","","D.A. Folli",2010,3,3,"Brazil","Espírito Santo","Rio Bananal","Córrego primavera.",,,"Terrestre; porte arbóreo, 10m, fuste 6m, CAP 120cm, copa 10m; botão verde claro; flor branca; exsudação incolor; descamação ausente","Swartzia oblata R.S.Cowan","",,"GBIF"
"","JBRJ","RB","RB00597365","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","R.B.Pinto & V.F.Mansano",2010,"","144","","R.B.Pinto; V.F.Mansano & A.T.Fonseca",2010,8,26,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia, Próximo a Casa do Pesquisador. Estrada para o PrevFogo, beira da estrada.",-22.453889,-44.606944,"Arvoreta ca 2m.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","JBRJ","RB","RB01362224","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","L.S. Leoni",2009,"","144","","J.P.D. Heleno; F. Marcolino",2009,3,20,"Brazil","Minas Gerais","Fervedouro","Córrego Ararica. Zona de amortecimento do PESB. Área de vegetação alterada, próximo ao córrego d´água.",,,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","MBML","MBML-HERBARIO","38845","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V. F. Mansano/14-X-2014",,"","6006","","A. P. Fontana; P. Maas, H. Maas, L. Westra, U. Scharf, T. van Andal, M. Jansen & G. Bernard.",2009,5,5,"Brazil","Espírito Santo","Santa Teresa","Valsugana Velha, Estação Biológica de Santa Lúcia, trilha do Túmulo.",-19.995278,-43.521389,"Arvoreta, ca. 4m. Cauleflora. Inflorescências sub-eretas. Flores com sépalas verdes e pétalas brancas.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","UFES","VIES","18777","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Mansano, V.F.",2014,"","3431","","Gomes, J.M.L.; Valadares, R.T.",2009,8,30,"Brazil","Espírito Santo","Presidente Kennedy",,,,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","126682","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Sem Informação",,"","520","","Perdiz, R. de O.",2009,9,12,"Brazil","Bahia","arataca","Serra do Novo Javi.",-15.161944,-39.343611,"DNA.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","JBRJ","RB","RB00601758","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V. F. Mansano",2010,"","520","","R. de O. Perdiz; J. Paixão, L. Gomes & L. Daneu",2009,9,12,"Brazil","Bahia","Arataca",,,,"Árvore 8 m de altura. Folíolos discolores. Flores em botão ferrugíneas. Flores abertas alvas. DNA.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","USP","SPF","193891","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Mansano, VF",2014,"","520","","Perdiz, RO",2009,9,12,"Brazil","Bahia","Arataca","Serra do Novo Javi.",-15.161944,-39.343611,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","127088","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V. F. Mansano",,"","1960","","Matos, F. B.",2009,11,10,"Brazil","Bahia","PRADO","Parque Nacional do Descobrimento. Mussununga arbórea (solo arenoso); entrada à direita no Km 18 da estrada principal que atravessa o Parque. Interior da mata.",-17.183333,-39.333333,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","JBRJ","RB","RB00761791","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V. F. Mansano",,"","1960","","F. B. Matos et. al.;",2009,11,10,"Brazil","Bahia","Prado","Parque Nacional do Descobrimento; entrada a direita no km 18 da estrada que corta o parque.; interior de mata.",-17.183333,-39.333333,"Árvore ca 8m alt.;","Swartzia oblata R.S.Cowan","",,"GBIF"
"","UNICAMP","UEC","172640","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Silva, ED",2008,"","1094","","Silva, ED",2008,2,23,"Brazil","São Paulo","Ubatuba","Parque Estadual da Serra do Mar, Fazenda Capricórnio.",-23.398889,-45.0775,"Árvore 12m, botões amarronzados.; Trilha do Picadão da Divisa.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","85364","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Mansano, VF",2009,"","113","","Ramos, C.H.A.; Guedes, ML; Alves, L. de J.",2008,3,22,"Brazil","Bahia","Itagibá","Litoral Sul, Mata próximo do Alojamento",-14.176389,-39.731944,"de ca 10 m de altura. Folhas com folíolos cartáceos, discolores. Inflorescência axilar, botões ferrugíneos, pétalas alvas. Freqüente.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","USP","SPF","201819","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Mansano, VF",2016,"","254","","Santos, MF",2008,3,13,"Brazil","Minas Gerais","Itambé do Mato Dentro","APA Morro da Pedreira",-19.431861,-43.432861,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","7237","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V. F. Mansano",,"","1287","","R. S. Pinheiro",2008,5,5,"Brazil","Bahia","URUÇUCA","Rod. Uruçuca/Lagoa Encantada ao Norte.",,,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","127684","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,2013,"","3092","","Rezende, SG; Siqueira, PC",2008,10,20,"Brazil","Minas Gerais","Santa Luzia","Vespasiano., Próximo à linha verde.",-19.710278,-43.936111,"Pastagem, arbóreo.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","IAC","IAC","49169","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","E. Ramos et al.",2007,"","374","","E. Ramos; H.R. Gonçalves & S. Santos",2007,1,5,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela F",-23.380958,-45.079201,"Subparcela 25 indivíduo F0329","Swartzia oblata R.S.Cowan","",,"GBIF"
"","IAC","IAC","48424","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","E.D. Silva",2008,"","180","","E. Ramos & H.R. Gonçalves",2007,2,10,"Brazil","São Paulo","Ubatuba","entrada da Pousada Betânia",-23.435126,-45.064912,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","80696","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Mansano, VF",2009,"","2129","","Barbosa, E; Silva, JM",2007,3,20,"Brazil","Paraná","Guaraqueçaba","Fazenda Vale Verde",,,"4 m. Flor alva.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","8252","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Mansano, VF",2009,"","2129","","Barbosa, E.; Silva, J.M.",2007,3,20,"Brazil","Paraná","Guaraqueçaba","Fazenda Vale Verde.",,,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","UCS","HUCS","31196","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Hatschbach, G.",2007,"","2129","","Barbosa, E.; Silva, J.M.",2007,3,20,"Brazil","Paraná","Guaraqueçaba","Fazenda Vale Verde",,,"Herbario MBM; Floresta Atlântica","Swartzia oblata R.S.Cowan","",,"GBIF"
"","Reserva Natural Vale","CVRD","10037","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Geovane S. Siqueira",2007,"","378","","Luz, A.A. da",2007,3,20,"Brazil","Mg","SANTA RITA DO ITUETO",,,,"<ll>dwc_commonname:</ll> Banana de quati","Swartzia oblata R.S.Cowan","",,"GBIF"
"","MNHN","P","P00871175","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,,"",,"","Silva, E.D.",2007,3,7,"Brazil","São Paulo",,,-23.33778,-45.83611,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","MNHN","P","P00871177","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,,"",,"","Silva, E.D.",2007,3,7,"Brazil","São Paulo",,,-23.33778,-45.83611,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","JBRJ","RB","RB00900883","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","G.S. Siqueira",,"","378","","A.A. da Luz",2007,3,20,"Brazil","Minas Gerais","Santa Rita do Itueto","Córrego Queijada.",,,"Terrestre; porte arbóreo, 8m, fuste 2m, CAP 50cm, copa 5m; botão verde, flor branca; exsudação incolor; descamação ausente","Swartzia oblata R.S.Cowan","",,"GBIF"
"","NY","NY","02694517","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,,"","692","","E. D. da Silva",2007,3,7,"Brazil","São Paulo",,"Nucleo Picinguaba, Parque Estadual da Serra do Mar, Trilha do Jatobá.",-23.3378,-45.8361,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","NY","NY","02694518","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,,"","692","","E. D. da Silva",2007,3,7,"Brazil","São Paulo",,"Nucleo Picinguaba, Parque Estadual da Serra do Mar, Trilha do Jatobá.",-23.3378,-45.8361,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","MO","MO","101052922","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","E.D. Silva",2007,"","Silva 692","","E. D. Silva",2007,3,7,"Brazil","São Paulo",,"Núcleo Picinguaba, Parque Estadual da Serra do Mar, Trilha do Jatobá",-23.337778,-45.836111,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","UEFS","HUEFS","126976","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V.F.Mansano",2014,"","4987","","Jardim, J.G.",2007,5,3,"Brazil","Bahia","Wenceslau Guimarães","Estação Biológica Estadual Nova Esperança; Trilha para do Rio Água vermelha.",-13.595278,-39.719444,"Floresta ombrófila densa.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","147307","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,2013,"","4672","","Tameirão Neto, E",2007,6,,"Brazil","Minas Gerais","Governador Valadares","UHE Baguari, Ilha Bonaparte, Coleta na entrada da Usina.",-19.57,-42.089722,"Arbóreo; Floresta estacional semidecidual, arbóreo.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","UFES","VIES","33270","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan",,,"","32","","Moreira, L.N.",2007,6,25,"Brazil","Espírito Santo","Cachoeiro de Itapemirim","Floresta Nacional Pacotuba.",,,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","IAC","IAC","49177","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","E.D. Silva",2007,"","382","","E. Ramos; H.R. Gonçalves; J.A.M.A. Gomes; F.J. Benedetti & S. Santos",2007,8,7,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Núcleo Picinguaba/PESM, Parcela F",-23.380922,-45.078888,"Subparcela 32 indivíduo F0436","Swartzia oblata R.S.Cowan","",,"GBIF"
"","JBRJ","RB","RB00531068","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V.de F.Mansano",,"","1203","","S.de V.A.Pessoa; A.Pintor,  A.T.Oliveira & J.Dias",2007,8,21,"Brazil","Rio de Janeiro","Silva Jardim","Fazenda Santo antônio do Maratuá. Em pasto no sapé de remanescente florestal.",,,"Árvore, ca. 6m de altira, heliófila, folhas discolores verdes, frutos maduros marrom escuro.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","90294","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Mansano, VF",2009,"","2972","","Queiroz, EP; Lorenzi, H; Jardim, JG",2007,10,21,"Brazil","Bahia","Itabuna","Litoral Sul",,,"ca. 20 m. Folíolos cartáceos pubérulos, ferrugíneos abaxialmente. Botões dourados. Pétalas alvas.","Swartzia oblata R.S.Cowan","",,"GBIF"
"","JBRJ","RB","RB01134966","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","V.F. Mansana",,"","290","","L.M. Boges; M.F. Santos",2007,12,18,"Brazil","Bahia","Itambé","Santana do Rio Preto ( Cabeça de boi ), serra do Cipó. Estrada das Posses, a partir da casa de José Fernandes, rumo a mata do Cachoeirão.",,,,"Swartzia oblata R.S.Cowan","",,"GBIF"
"","USP","SPF","201820","Swartzia oblata","","Fabaceae","Swartzia","oblata","","R.S.Cowan","Mansano, VF",2016,"","290","","Borges, LM",2007,12,18,"Brazil","Minas Gerais","Itambé do Mato Dentro","Serra do Cipó",,,,"Swartzia oblata R.S.Cowan","",,"GBIF"
