"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00945227","Swartzia parvipetala","","Fabaceae","Swartzia","parvipetala","","(R.S.Cowan) Mansano","V.F.MANSANO",,"","3927","","J.E.Q. Faria",2014,3,15,"Brazil","Goiás","Alto Horizonte","Região da Sururuca. Fazenda Cajás.",,,"Árvore 8 m, botão verde","Swartzia parvipetala (R.S.Cowan) Mansano","",,"GBIF"
"","JBRJ","RB","RB01121536","Swartzia parvipetala","","Fabaceae","Swartzia","parvipetala","","(R.S.Cowan) Mansano","V.F.MANSANO",,"","4037","","J.E.Q. Faria",2014,4,22,"Brazil","Goiás","Alto Horizonte","Região da Sururuca, fazenda Carajás, proprietário senhor Jair Eustáquio.",-14.196667,-49.295555,"Árvore ca de 8 m de alt, botões florais verdes, flores cremes co estigmas verdes.","Swartzia parvipetala (R.S.Cowan) Mansano","",,"GBIF"
"","Cenargen","CEN","89076","Swartzia parvipetala","","Fabaceae","Swartzia","parvipetala","","(R.S.Cowan) Mansano","R. de Paula",2013,"","122","","Rodolfo de Paula Oliveira",2013,2,27,"Brazil","Df","BRASILIA","Fazenda Sucupira (C. Riacho Fundo)",-15.906388,-48.012777,,"Swartzia parvipetala (R.S.Cowan) Mansano","",,"GBIF"
"","UEFS","HUEFS","149439","Swartzia parvipetala","","Fabaceae","Swartzia","parvipetala","","(R.S.Cowan) Mansano","V.F.Mansano",2014,"","2529","","Cardoso, D.",2009,4,25,"Brazil","Goiás","Alto Paraíso de Goiás","ca. 5 Km de Alto Paraíso de Goiás em estrada de terra para Nova Roma.",-14.105833,-47.489444,"Campo cerrado com árvores esparsas.","Swartzia parvipetala (R.S.Cowan) Mansano","",,"GBIF"
"","JBRJ","RB","RB00608333","Swartzia parvipetala","","Fabaceae","Swartzia","parvipetala","","(R.S.Cowan) Mansano","V. F. Mansano",2011,"","2529","","D. Cardoso; Et al",2009,4,25,"Brazil","Goiás","Alto Paraíso de Goiás","Ca. 5 km de Alto Paraíso de Goiás em estrada de terra para Nova Roma.",-14.105833,-47.489444,"Arbusto com ca. 2.5 m de altura. Folhas com folíolos cartáceos. Flores com cálice verde-amarronzado e pétala e estames brancos. Foto: DNA","Swartzia parvipetala (R.S.Cowan) Mansano","",,"GBIF"
"","Cenargen","CEN","99258","Swartzia parvipetala","","Fabaceae","Swartzia","parvipetala","","(R.S.Cowan) Mansano","B. M. T. Walter",2017,"","14817","","Glocimar Pereira-Silva",2009,11,26,"Brazil","To","BABACULANDIA","Estrada de acesso ao rio Tocantins, a leste da ferrovia Norte Sul, ao sul da Ilha de São José.",-7.3225,-47.6,"Frutos para a carpoteca. Área de influência direta (lago).","Swartzia parvipetala (R.S.Cowan) Mansano","",,"GBIF"
"","Cenargen","CEN","97329","Swartzia parvipetala","","Fabaceae","Swartzia","parvipetala","","(R.S.Cowan) Mansano","B. M. T. Walter",2017,"","5097","","Anderson Cássio Sevilha",2008,12,13,"Brazil","Mg","RIO PARDO DE MINAS","Próximo à casa caída.",-15.968055,-42.603333,"Botges florais castanhos.","Swartzia parvipetala (R.S.Cowan) Mansano","",,"GBIF"
"","Cenargen","CEN","99453","Swartzia parvipetala","","Fabaceae","Swartzia","parvipetala","","(R.S.Cowan) Mansano","B. M. T. Walter",2017,"","13832","","Glocimar Pereira-Silva",2008,12,4,"Brazil","To","PALMEIRAS DO TOCANTINS","Margem direita do rio Tocantins.",-6.6275,-47.485,"Área de influência direta (lago).","Swartzia parvipetala (R.S.Cowan) Mansano","",,"GBIF"
"","Cenargen","CEN","67559","Swartzia parvipetala","","Fabaceae","Swartzia","parvipetala","","(R.S.Cowan) Mansano","V. F. Mansano",2011,"","11317","","Glocimar Pereira-Silva",2007,3,8,"Brazil","Ma","ESTREITO","Canteiro de obras próximo a pedreira.",-6.590278,-47.455833,"Área de influência direta (canteiro).","Swartzia parvipetala (R.S.Cowan) Mansano","",,"GBIF"
"","Cenargen","CEN","71367","Swartzia parvipetala","","Fabaceae","Swartzia","parvipetala","","(R.S.Cowan) Mansano","V. F. Mansano",2011,"","11595","","Glocimar Pereira-Silva",2007,3,26,"Brazil","To","PARANA","Estrada de acesso à vila Rosário km 14 (próximo a curso d'água)",-12.876388,-48.178611,"Área de influência indireta.","Swartzia parvipetala (R.S.Cowan) Mansano","",,"GBIF"
