"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UEFS","HUEFS","251996","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms",,,"","PAL01_127127","","Lui, Y.",2018,3,4,"Brazil","Piauí","Altos","Access by BR 343 (Federal Highway) in Km 323",-5.020833,-42.595556,"Semideciduous seasonal forest","Swartzia psilonema Harms","",,"GBIF"
"","UEFS","HUEFS","233604","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms","R.T.Pennington",2017,"","650","","Moonlight, P.W.",2017,3,30,"Brazil","Ceará","Crateús","Serra das Almas, around plot 1.",-5.146667,-40.928333,"Dry forest with canopy of 5-10m. Dense shrub layer (mostly Croton sp). Sparse herb layer and sparse bromeliad ground cover. Deep clay-sand soil.","Swartzia psilonema Harms","",,"GBIF"
"","UEFS","HUEFS","233579","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms","R.T.Pennington",2017,"","625","","Moonlight, P.W.",2017,3,29,"Brazil","Ceará","Crateús","Serra das Almas, around plot 1.",-5.146667,-40.928333,"Dry forest with canopy of 5-10m. Dense shrub layer (mostly Croton sp). Sparse herb layer and sparse bromeliad ground cover. Deep clay-sand soil.","Swartzia psilonema Harms","",,"GBIF"
"","UEFS","HUEFS","235480","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms",,,"","8","","Mizushima, M.",2017,4,1,"Brazil","Ceará","Cratéus","Serra das Almas",,,"Caatinga","Swartzia psilonema Harms","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","128684","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms","Guedes, ML",2017,"","001","","Gontijo, BA",2017,5,29,"Brazil","Piauí","Valença do Piauí",,,,"Ramos com folhas e frutos. Doação do Laboratório de Produtos Florestais Brasília-Brasil.","Swartzia psilonema Harms","",,"GBIF"
"","UEFS","HUEFS","229060","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms","V.F.Mansano",2017,"","14","","Torres, J.E.L.",2016,8,12,"Brazil","Pernambuco","Exu","Serra das Abelhas.",,,,"Swartzia psilonema Harms","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","21702","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms","V.F.Mansano",2017,"","14","","J.E.L.Torres; W.B.Santos (Parcela C60 ind. 6964 )",2016,8,12,"Brazil","Pernambuco","Exu","serra das Abelhas",,,"Árvore ca. 16 m alt. e CAP 44 cm; casca morta clara; folhas verde claro; fruto imaturos verdes.","Swartzia psilonema Harms","",,"GBIF"
"","IPA","IPA","90290","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms","Equipe do Herbário-IPA",2015,"","69","","Costa, T.L. da; Chagas, M.A.; Chagas, M.A.",2015,4,16,"Brazil","Ceará","Araripe","Chapada do Araripe, Serra de São Vicente.",,,"Material em estudo na UFRPE, doutorado em Botânica - ""Investigação de Capacidade de Fixação de Nitrogênio"" - da aluna Tânia Lucia da Costa, sob a orientação do Prof. Everardo Valadares de Sá Barreto Sampaio.; Árvore ca. 2,5 - 3,0 m de","Swartzia psilonema Harms","",,"GBIF"
"","JBRJ","RB","RB00953091","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms",,,"","1070","","L.J.T. Cardoso; P. Farag, P. Gomes & J. Ferreirinha",2015,4,29,"Brazil","Ceará","Milagres","Serra entre os Municípios de Barro e Milagres, estrada de chão a partir da BR-116, coordenada aproximada (WGS84). Savana-estépica arborizada com solo arenoso a pedregoso.",-7.239167,-38.873889,"Copa ampla e de boa sombra. Ritidoma escamoso, ramos jovens com grandes espinhos, Folhas membranáceas e discolores. Flores alaranjadas. Frutos comestíveis, de polpa alva e sabor adocicado. Amarelados quando maduros.  Árvore com mais de 100 anos segundo os moradores locais.","Swartzia psilonema Harms","",,"GBIF"
"","UEFS","HUEFS","221715","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms","V.F.Mansano",2019,"","9364","","Fontana, A.P.",2015,5,13,"Brazil","Pernambuco","Bodocó","Chapada do Araripe, Serra Nova",-7.701944,-39.860833,"Savana Estépica. Neossolo Litólico Eutrófico","Swartzia psilonema Harms","",,"GBIF"
"","JBRJ","RB","RB00990685","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms",,,"","1086","","L.J.T. Cardoso; S. Neves",2015,7,9,"Brazil","Maranhão","Grajaú","Próximo a cidade de Grajaú, entre a BR-226 e a MA-006.",,,"Espécie comum nas matas de galeria, florestas estacionais (semidecidual e decidual) e no contato destas com a savana e com a savana-estépica nessa região do Maranhão. Folhas membranáceas, discolores. Frutos imaturos verdes. RBcarpo 7874","Swartzia psilonema Harms","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","122073","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms","Guedes, ML",2015,"","23985","","Guedes, ML; Chagas, F das; Silveira, ER",2015,10,5,"Brazil","Maranhão","Barra do Corda","Loteamento Cidade Universitária.",-5.544167,-45.266389,"de ca 6,5 m de altura. Folhas pinadas, folíolos membranáceos, discolores, vilosos. Frutos com imaturos tomentosos.","Swartzia psilonema Harms","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","57054","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms","Moura, R.",2014,"","455","","Batista, W.",2014,5,27,"Brazil","Ceará","Nova Olinda","congl. 359, sub. 1, árv. 22.&nf;Terreno plano e solo argiloso. Espécie bem ocorrente no local.",-7.199994,-39.600025,"Inventário Florestal Nacional - CE; Árvore, fruto preto.; Mata Atlântica.","Swartzia psilonema Harms","",,"GBIF"
"","UEFS","HUEFS","211582","Swartzia psilonema","","Fabaceae","Swartzia","psilonema","","Harms","V.F.Mansano",2017,"","1322","","Nascimento, F.H.F.",2014,6,27,"Brazil","Piauí","Castelo do Piauí","Amostragem lateral à estrada de terra que segue para as torres de transmissão.",-5.383056,-41.411389,"Transição Caatinga-Cerrado.","Swartzia psilonema Harms","",,"GBIF"
