"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01398271","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","Ramos, J.F",,"","41","","Flores, B.M.; Brito, R.C. de & Carneiro, A.B.",2014,1,22,"Brazil","Amazonas","Barcelos","Entre a boca dos rios Itu e Aracá.",-0.703611,-62.978056,"Árvore.","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","JBRJ","RB","RB01302261","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima",,,"","921","","E.D. Cruz",2014,6,4,"Brazil","Pará","Moju","Campo Experimental da Embrapa, ramal da Betânica",-2.126667,-48.788055,,"Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","Cenargen","CEN","95852","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima",,,"","921","","Eniel David Cruz",2014,6,4,"Brazil","Pa","MOJU","Campo Experimental da Embrapa, ramal da Betânia",-2.126667,-48.788055,"Solo alagado no inverno. DAP=39,4cm; AC=8m; AT=15m. Doação do Herbário IAN - Belém - Pará - Brasil. Registro: 193488.","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","MPEG","HERBMG","MG211835","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","Huamantupa, I.",,"",,"","Silva, C.A.S. da",2013,9,27,"Brazil","Pará",,"Aurora do Pará",,,,"Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","MPEG","HERBMG","MG211834","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","Huamantupa, I.",,"",,"","Silva, C.A.S. da",2013,9,27,"Brazil","Pará",,"Aurora do Pará",,,,"Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","MPEG","HERBMG","MG211987","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","Huamantupa, I.",,"",,"","Silva, C.A.S. da",2013,10,28,"Brazil","Pará",,"Ipixuna do Pará",,,,"Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","JBRJ","RB","RB01398250","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","Ramos, J.F",2016,"","1531","","Perdiz,R.O.; Marinho, T. & Coêlho, V.G.",2012,8,1,"Brazil","Roraima","Rorainópolis","Igarapé do Xiparinã. Cadeado II.",-0.616111,-61.496944,"arvoreta submersa. vestígio de látex vermelho no corte dos ramos vegetativos. Folíolos verdes na face adaxial e dourados na face abaxial. Cálice creme-alvacento. Filetes verde-amarelados. Anteras amarelas","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","249563","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","Mari, M.L.G.",2011,"","3275","","Mike Hopkins",2011,5,10,"Brazil","Amazonas",,"Cacau-Pirêra",-3.306028,-60.09,,"Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","UEFS","HUEFS","221662","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima",,,"","7216","","Lima, H.C.de",2011,8,11,"Brazil","Amazonas","Barcelos","Médio rio Negro; entre Paraíso e Carvoeiro, antes da boca do rio Branco.",-1.393611,-61.799444,"Mata baixa de várzea, solo arenoso.","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","JBRJ","RB","RB00650056","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","Haroldo C. Lima & L.Cardoso",,"","7216","","Haroldo C. de Lima; A. Quinet & M.D. Moraes",2011,8,11,"Brazil","Amazonas","Barcelos","Médio rio Negro; entre Paraíso e Carvoeiro, antes da boca do rio Branco. Mata baixa de várzea, solo arenoso.",-1.393611,-61.799444,"Árvore com 4-10 metros de altura. Folhas discolores, com face dorsal verde-aureo. Tronco com casca lisa e alvacenta, parcialmente submerso. Frutos passados pardacentos. Frequente.","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","NY","NY","02692439","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima",,,"","7216","","H. C. Lima",2011,8,11,"Brazil","Amazonas",,"Médio rio Negro; entre Paraíso e Carvoeiro, antes da boca do rio Branco. Mata baixa de várzea, solo arenoso.",-1.393611,-61.799444,,"Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","MPEG","HERBMG","MG225291","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","Lima, H.C. de",,"",,"","Lima, H.C. de; Quinet, A.; Moraes, M.D.",2011,8,11,"Brazil","Amazonas",,"Médio rio Negro",-1.393611,-61.799444,,"Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","JBRJ","RB","RB00716864","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","H.C.de Lima",2018,"","2920","","D.C. Zappi; et alli",2010,8,26,"Brazil","Roraima","Rorainópolis","Descendo o rio Xipariná.",-1.018611,-61.828056,"Árvore de 25 m. alt.; Infrutescências castanhas; Frutos jovens verdes.","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","JBRJ","RB","RB01398242","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima",,2018,"","2089","","Hopkins, M.J.G.; Prance, G.T.",2010,8,7,"Brazil","Roraima","Rorainópolis","Perto da boca do Rio com o Jauaperi.",-1.032222,-61.325833,"Árvore. Folhas discolores. Inflorescências eretas com sépalas verdes; Estames amarelos; Cheiro de rosa.","Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","MO","MO","100936505","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","H. van der Werff (MO)",2015,"","Hopkins 2089","","Michael J.G. Hopkins|et al.",2010,8,7,"Brazil","Roraima",,"Rio Xipariná.",1.056389,-61.549722,,"Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
"","MPEG","HERBMG","MG188862","Tachigali goeldiana","","Fabaceae","Tachigali","goeldiana","","(Huber) L.G.Silva & H.C.Lima","Huamantupa, I.",,"",,"","Coelho, L.",1998,7,24,"Brazil","Amazonas",,"Novo Airão",,,,"Tachigali goeldiana (Huber) L.G.Silva & H.C.Lima","",,"GBIF"
