"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Cenargen","CEN","110071","Tachigali rubiginosa","","Fabaceae","Tachigali","rubiginosa","","(Mart. ex Tul.) Oliveira-Filho","H. C. Lima",2018,"","2965","","Lutero Lerner - IFN",2018,8,1,"Brazil","Go","IPAMERI","Conglomerado: GO-741. Subunidade 02, subparcela 01, indivíduo 01.",,,"Projeto Inventário Florestal Nacional (IFN). Árvore com 6,2 m de altura, 9,6 cm de DAP, base reta. Casca externa cinza, fina, fissurada, desprendimento da casca do tipo placas lenhosas, casca interna rosa.","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","134223","Tachigali rubiginosa","","Fabaceae","Tachigali","rubiginosa","","(Mart. ex Tul.) Oliveira-Filho","Guedes, ML",2019,"","30905","","Guedes, ML; Lopes, EB; Araújo, FS",2018,9,5,"Brazil","Mato Grosso","Barra do Garças","Caminho para Serra do Taquaral.",-15.764722,-52.295556,"Folhas com folíolos cartáceos, discolores, face abaxial vilosa. Inflorescência com flores em botões.","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","",,"GBIF"
"","JBRJ","RB","RB01408351","Tachigali rubiginosa","","Fabaceae","Tachigali","rubiginosa","","(Mart. ex Tul.) Oliveira-Filho","M.F. Simon",,"","3566","","M.F. Simon; A.A. Santos; F.A. de Souza; J.C.O. Santana; M.S. Martins; R.O. de Aguiar; W.B. Silva",2018,10,5,"Brazil","Bahia","Formosa do Rio Preto","ESEC, Serra geral do Tocantins, acampamento da Vila dos Prazeres.",-10.7925,-46.080833,,"Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","",,"GBIF"
"","UFU","HUFU","77549","Tachigali rubiginosa","","Fabaceae","Tachigali","rubiginosa","","(Mart. ex Tul.) Oliveira-Filho",,,"","719","","Hemsing, P.K.B.; Dias, A.G.",2018,10,15,"Brazil","Minas Gerais","Uberlândia","Bacia do Rio Uberabinha",,,"Árvore. ca. 6m. Estames amarelos, cálice verde.; Cerradão.","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","",,"GBIF"
"","Cenargen","CEN","108987","Tachigali rubiginosa","","Fabaceae","Tachigali","rubiginosa","","(Mart. ex Tul.) Oliveira-Filho","M. Simon",2018,"","3566","","Marcelo Fragomeni Simon",2018,10,5,"Brazil","Ba","FORMOSA DO RIO PRETO","ESEC Serra Geral do Tocantins, acampamento da Vila dos Prazeres.",-10.7925,-46.080833,"Árvore 8 m. Botges verde-claros. Ocasional.","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","",,"GBIF"
"","UNITINS","HUTO","7612","Tachigali rubiginosa","","Fabaceae","Tachigali","rubiginosa","","(Mart. ex Tul.) Oliveira-Filho",,,"","3566","","Simon, M.F.",2018,10,5,"Brazil","Bahia","Formosa do Rio Preto","ESEC Serra Geral do Tocantins, acampamento da Vila dos Prazeres. Relevo plano. Solo arenoso",-10.7925,-46.080833,"Árvore 8 m. botões verde-claros. Ocasional.; Cerradão","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","",,"GBIF"
"","UEFS","HUEFS","251778","Tachigali rubiginosa","","Fabaceae","Tachigali","rubiginosa","","(Mart. ex Tul.) Oliveira-Filho",,,"","3566","","Simon, M.F.",2018,10,5,"Brazil","Bahia","Formosa do Rio Preto","ESEC Serra Geral do Tocantis, acampamento da Vila dos Prazeres. Cabeceira do Rio Novo.",-10.7925,-46.080833,"Cerradão.","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","23120","Tachigali rubiginosa","","Fabaceae","Tachigali","rubiginosa","","(Mart. ex Tul.) Oliveira-Filho","M.L.Fonseca",2018,"","23","","L.L. Guimarães; L.L.Bergamini; M.L.Fonseca; B.T.P.M.Góes",2018,10,23,"Brazil","Goiás","Nova Roma","Entorno do PARNA da Chapada dos Veadeiros. Propriedade do Sr. José, estrada de acesso para o interior do Parque.",-13.845,-46.9825,"Árvore ca. 9 m altura e 45 cm DAP. Heliófita. Casca predomimantemente gretada, em alguns pontos lisa. Presença de galha no caule. Folhas cartáceas, discolores verdes, face abaxial velutina dourada. Cálice cor verde. Corola creme, estam","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","",,"GBIF"
"","JBRJ","RB","RB01373503","Tachigali rubiginosa","","Fabaceae","Tachigali","rubiginosa","","(Mart. ex Tul.) Oliveira-Filho","H.C. de Lima",,"","8562","","Haroldo C. de Lima; B. Merchor-Castro, J.J. Mendes & J.N. Alves",2017,10,20,"Brazil","Distrito Federal","Brasília","Gama, Parque Vivencial do Gama, trilha para a sede do parque. Cerradão.",-16.041667,-48.053611,"Árvore com 16 m alt. Tronco com casca sulcado-escamosa, pardo-acinzentada, DAP ca. 35 cm. Inflorescências erétas, flores perfumadas, cálice alvo-amarelado e esverdeado na base, pétalas e estames amarelos. Frequente. Amostras em sílica-gel e flores em alcool 70. Fotos HCL e BMC.","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","",,"GBIF"
"","JBRJ","RB","RB01373514","Tachigali rubiginosa","","Fabaceae","Tachigali","rubiginosa","","(Mart. ex Tul.) Oliveira-Filho","H.C. de Lima",,"","8574","","Haroldo C. de Lima; A. N. Lima, C.S. Carvalho, T.A. Maia & B. Merchor-Castro",2017,10,23,"Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, Centro Administrativo, ao lado do prédio do Herbário. Arboreto.",-15.948055,-47.878611,"Árvore com 18 m alt. Tronco com casca sulcado-escamosa, pardo-acinzentada, DAP ca. 60 cm, ramificada ca. 1 m alt. Inflorescência eréta, flores com cálice alvo-esverdeado, canescente, pétalas e estames amarelos. Árvore remanescente. Amostras em sílica-gel; flores em alcool 70. Fotos HCL e ANL.","Tachigali rubiginosa (Mart. ex Tul.) Oliveira-Filho","",,"GBIF"
