"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MBML","MBML-HERBARIO","53137","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg","Fraga/2018",,"","632","","F. Z. Saiter; D.S. Sylva, J.M. Rodrigues",2017,10,15,"Brazil","Espírito Santo","Cariacica","Alto Roda D#?#Água, estrada que margeia a REBIO Duas Bocas.",-20.3125,-40.493056,"Arbusto com 2 m de altura com flores amarelo-esverdeadas.","Macrocarpaea glaziovii Gilg","",,"GBIF"
"","JBRJ","RB","RB01162870","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg","Elsie F. Guimarães & T. S. Mendes",2016,"","905","","P. Rosa; C. Baez, T. Lima, D. Maurenza, R. Negrão, L. Moraes, M. Moraes, G. Overney",2016,8,8,"Brazil","Rio de Janeiro","Silva Jardim","Serra de Macaé de Cima, localidade de Macaé de Cima, início da trilha do vale do rio das Flores para a cumeada das velutinas. Mata nebular, em direção ao pico da velutina. APA Macaé de Cima",-22.436389,-42.505,"Terrícola, beira da picada para o pico da velutina. Caule verde, folhas discolores verdes. Flores com cálice verde-claro, pétalas alvas.","Macrocarpaea glaziovii Gilg","",,"GBIF"
"","JBRJ","RB","RB01174622","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg","E.F. Guimarães",2016,"","19400","","G.Martinelli; D.Maurenza, R.Negrão,M.Moraes",2016,8,10,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, nascente do Rio das Flores, acima do Sítio Sophronitis. mata atlântica de altitude. APA de Macaé de Cima",-22.435833,-42.524722,"arbusto, 1,40m, ciófila; folhas verdes, concolores; flores em botões de cor verde-claro; frutos imaturos de cor verde, quando maduros de cor castanho.","Macrocarpaea glaziovii Gilg","",,"GBIF"
"","JBRJ","RB","RB01200231","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg","H.C. de Lima",,"","8451","","Haroldo C. de Lima; J.M.A. Braga, L.J.T. Cardoso, C. de Carvalho & W. da Silva",2016,11,3,"Brazil","Rio de Janeiro","Petrópolis","Estrada do Imperador, próximo a Vargem Grande. Mata de altitude. Reserva Biológica do Tinguá",-22.482778,-43.267778,"Arbusto com 1,5 m alt. Inflorescências com ramos opostos-cruzados, flores com cálice verde e corola alvo-esverdeada. Ocasional em locais úmidos.","Macrocarpaea glaziovii Gilg","",,"GBIF"
"","Pontifícia Universidade Católica do Rio de Janeiro","FCAB","7573","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg","H.C. de Lima",2016,"","8451","","Haroldo C. de Lima; J.M.A. Braga; L.J.T. Cardoso; C. de Carvalho; W. da Silva",2016,11,3,"Brazil","Rio de Janeiro","Petropólis","Reserva Biológica do Tinguá., Estrada do Imperador, próximo a Vargem Grande.",-22.482778,-43.277778,"Arbusto com 1,5 m alt. inflorescências com ramos opostos-cruzados, flores com cálice verde e corola alvo-esverdeada. Ocasional em locais úmidos.; Mata de altitude.","Macrocarpaea glaziovii Gilg","",,"GBIF"
"","JBRJ","RB","RB00871942","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg","C.N.Fraga (via foto)",2014,"","1513","","M. S. Wängler; V. S. Ferreira, E.L. Jacques, C.F.de Andrade & J.F.C.Santos",2014,3,13,"Brazil","Rio de Janeiro","Miguel Pereira","Estrada do Imperador. Na beira da estrada. REBIO Tinguá",-22.486389,-43.305278,"Frutos castanhos","Macrocarpaea glaziovii Gilg","",,"GBIF"
"","JBRJ","RB","RB00904941","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg","M. M. Saavedra",2014,"","s/n","","Scarponi, T. M.; Nascimento, L. S.;  Ammon, R. A. & Hottz, D.",2014,8,13,"Brazil","Rio de Janeiro","Nova Friburgo","Conglomerado 14-2-10-68-R. UTM E(768691m) N(7519456m). Fuso do GPS (23K).",,,"Arbusto com 1,6 metros de altura, base reta. Flor branca.","Macrocarpaea glaziovii Gilg","",,"GBIF"
"","UFES","VIES","34075","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg","Zorzanelli, J.P.F.",2015,"","823","","Zorzanelli, J.P.F.; Silva, A.E. & Pinto-Junior, H.V.",2013,9,14,"Brazil","Espírito Santo","Ibitirama","Parque Nacional do Caparaó.",,,,"Macrocarpaea glaziovii Gilg","",,"GBIF"
"","UFES","VIES","30204","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg","Zorzanelli, J.P.F.",2012,"","83","","Zorzanelli, J.P.F.; Carvalho Filho, J.H.",2011,8,26,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Macrocarpaea glaziovii Gilg","",,"GBIF"
"","JBRJ","RB","RB00915704","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg","E.F. Guimarães",,"","681","","R. de O. Perdiz; L.C. Gomes; L. Daneu; G. Carvalho",2010,5,22,"Brazil","Bahia","Barro Preto","Serra da Pedra Lascada.",-14.770833,-39.536111,"Arvoreta 6m de altura. Flores em botão. Em clareira. Mesma espécie do invíduo RP 692, este um arbusto","Macrocarpaea glaziovii Gilg","",,"GBIF"
"","MO","MO","100432472","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg",,,"","Grant 10-4641","","Jason R. Grant|et al.",2010,11,22,"Brazil","Rio de Janeiro",,"Cidade do Rio de Janeiro, Parque Nacional da Tijuca, estrada do Sumaré.",-12.454722,-43.241667,,"Macrocarpaea glaziovii Gilg","",,"GBIF"
"","NY","NY","1281299","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg",,,"","10-4641","","J. R. Grant",2010,11,22,"Brazil","Rio de Janeiro",,"Cidade de Rio de Janeiro, Parque Nacional da Tijuca, estrada do Sumaré.",-22.95622,-43.24175,,"Macrocarpaea glaziovii Gilg","",,"GBIF"
"","NY","NY","1281298","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg",,,"","10-4640","","J. R. Grant",2010,11,22,"Brazil","Rio de Janeiro",,"Cidade de Rio de Janeiro, Parque Nacional da Tijuca, estrada do Sumaré.",-22.94869,-43.22036,,"Macrocarpaea glaziovii Gilg","",,"GBIF"
"","NY","NY","1281296","Macrocarpaea glaziovii","","Gentianaceae","Macrocarpaea","glaziovii","","Gilg",,,"","10-4639","","J. R. Grant",2010,11,20,"Brazil","Rio de Janeiro",,"Cidade de Rio de Janeiro, Parque Nacional da Tijuca, estrada do Sumaré.",-22.95622,-43.28936,,"Macrocarpaea glaziovii Gilg","",,"GBIF"
